backend,revision,cell,component,ms
cpu,base,Eu151 F=6 16³ contact,per_iteration_total,15.395
cpu,base,Eu151 F=6 16³ contact,energy_gradient!,2.663
cpu,base,Eu151 F=6 16³ contact,project x2,0.459
cpu,base,Eu151 F=6 16³ contact,sobolev precond,0.429
cpu,base,Eu151 F=6 16³ contact,two-loop dir,9.902
cpu,base,Eu151 F=6 16³ contact,line-search eval x1,1.493
cpu,base,Eu151 F=6 16³ contact,residual,0.449
cpu,base,Eu151 F=6 16³ +DDI,per_iteration_total,16.742
cpu,base,Eu151 F=6 16³ +DDI,energy_gradient!,4.285
cpu,base,Eu151 F=6 16³ +DDI,project x2,0.516
cpu,base,Eu151 F=6 16³ +DDI,sobolev precond,0.596
cpu,base,Eu151 F=6 16³ +DDI,two-loop dir,10.008
cpu,base,Eu151 F=6 16³ +DDI,line-search eval x1,1.823
cpu,base,Eu151 F=6 16³ +DDI,residual,-0.486
cpu,base,Eu151 F=6 24³ contact,per_iteration_total,49.108
cpu,base,Eu151 F=6 24³ contact,energy_gradient!,11.193
cpu,base,Eu151 F=6 24³ contact,project x2,1.226
cpu,base,Eu151 F=6 24³ contact,sobolev precond,2.503
cpu,base,Eu151 F=6 24³ contact,two-loop dir,31.485
cpu,base,Eu151 F=6 24³ contact,line-search eval x1,6.811
cpu,base,Eu151 F=6 24³ contact,residual,-4.109
cpu,base,Eu151 F=6 24³ +DDI,per_iteration_total,52.425
cpu,base,Eu151 F=6 24³ +DDI,energy_gradient!,13.33
cpu,base,Eu151 F=6 24³ +DDI,project x2,1.63
cpu,base,Eu151 F=6 24³ +DDI,sobolev precond,3.474
cpu,base,Eu151 F=6 24³ +DDI,two-loop dir,31.463
cpu,base,Eu151 F=6 24³ +DDI,line-search eval x1,8.361
cpu,base,Eu151 F=6 24³ +DDI,residual,-5.834
gpu,base,Eu151 F=6 16³ contact,per_iteration_total,4.822
gpu,base,Eu151 F=6 16³ contact,energy_gradient!,1.419
gpu,base,Eu151 F=6 16³ contact,project x2,0.114
gpu,base,Eu151 F=6 16³ contact,sobolev precond,0.454
gpu,base,Eu151 F=6 16³ contact,two-loop dir,2.0
gpu,base,Eu151 F=6 16³ contact,line-search eval x1,1.397
gpu,base,Eu151 F=6 16³ contact,residual,-0.563
gpu,base,Eu151 F=6 16³ +DDI,per_iteration_total,5.278
gpu,base,Eu151 F=6 16³ +DDI,energy_gradient!,1.848
gpu,base,Eu151 F=6 16³ +DDI,project x2,0.112
gpu,base,Eu151 F=6 16³ +DDI,sobolev precond,0.451
gpu,base,Eu151 F=6 16³ +DDI,two-loop dir,1.988
gpu,base,Eu151 F=6 16³ +DDI,line-search eval x1,1.818
gpu,base,Eu151 F=6 16³ +DDI,residual,-0.94
gpu,base,Eu151 F=6 24³ contact,per_iteration_total,5.046
gpu,base,Eu151 F=6 24³ contact,energy_gradient!,1.453
gpu,base,Eu151 F=6 24³ contact,project x2,0.129
gpu,base,Eu151 F=6 24³ contact,sobolev precond,0.453
gpu,base,Eu151 F=6 24³ contact,two-loop dir,2.143
gpu,base,Eu151 F=6 24³ contact,line-search eval x1,1.43
gpu,base,Eu151 F=6 24³ contact,residual,-0.563
gpu,base,Eu151 F=6 24³ +DDI,per_iteration_total,5.697
gpu,base,Eu151 F=6 24³ +DDI,energy_gradient!,1.901
gpu,base,Eu151 F=6 24³ +DDI,project x2,0.126
gpu,base,Eu151 F=6 24³ +DDI,sobolev precond,0.457
gpu,base,Eu151 F=6 24³ +DDI,two-loop dir,2.133
gpu,base,Eu151 F=6 24³ +DDI,line-search eval x1,1.855
gpu,base,Eu151 F=6 24³ +DDI,residual,-0.775
cpu,opt,Eu151 F=6 16³ contact,per_iteration_total,6.503
cpu,opt,Eu151 F=6 16³ contact,energy_gradient!,2.687
cpu,opt,Eu151 F=6 16³ contact,project x2,0.458
cpu,opt,Eu151 F=6 16³ contact,sobolev precond,0.427
cpu,opt,Eu151 F=6 16³ contact,two-loop dir,2.225
cpu,opt,Eu151 F=6 16³ contact,line-search eval x1,1.535
cpu,opt,Eu151 F=6 16³ contact,residual,-0.83
cpu,opt,Eu151 F=6 16³ +DDI,per_iteration_total,9.09
cpu,opt,Eu151 F=6 16³ +DDI,energy_gradient!,3.492
cpu,opt,Eu151 F=6 16³ +DDI,project x2,0.463
cpu,opt,Eu151 F=6 16³ +DDI,sobolev precond,0.422
cpu,opt,Eu151 F=6 16³ +DDI,two-loop dir,2.247
cpu,opt,Eu151 F=6 16³ +DDI,line-search eval x1,1.784
cpu,opt,Eu151 F=6 16³ +DDI,residual,0.681
cpu,opt,Eu151 F=6 24³ contact,per_iteration_total,27.472
cpu,opt,Eu151 F=6 24³ contact,energy_gradient!,12.177
cpu,opt,Eu151 F=6 24³ contact,project x2,1.211
cpu,opt,Eu151 F=6 24³ contact,sobolev precond,2.752
cpu,opt,Eu151 F=6 24³ contact,two-loop dir,6.813
cpu,opt,Eu151 F=6 24³ contact,line-search eval x1,7.547
cpu,opt,Eu151 F=6 24³ contact,residual,-3.028
cpu,opt,Eu151 F=6 24³ +DDI,per_iteration_total,32.303
cpu,opt,Eu151 F=6 24³ +DDI,energy_gradient!,14.688
cpu,opt,Eu151 F=6 24³ +DDI,project x2,1.224
cpu,opt,Eu151 F=6 24³ +DDI,sobolev precond,2.785
cpu,opt,Eu151 F=6 24³ +DDI,two-loop dir,6.755
cpu,opt,Eu151 F=6 24³ +DDI,line-search eval x1,8.655
cpu,opt,Eu151 F=6 24³ +DDI,residual,-1.803
gpu,opt,Eu151 F=6 16³ contact,per_iteration_total,4.187
gpu,opt,Eu151 F=6 16³ contact,energy_gradient!,1.358
gpu,opt,Eu151 F=6 16³ contact,project x2,0.112
gpu,opt,Eu151 F=6 16³ contact,sobolev precond,0.034
gpu,opt,Eu151 F=6 16³ contact,two-loop dir,1.952
gpu,opt,Eu151 F=6 16³ contact,line-search eval x1,1.358
gpu,opt,Eu151 F=6 16³ contact,residual,-0.628
gpu,opt,Eu151 F=6 16³ +DDI,per_iteration_total,5.033
gpu,opt,Eu151 F=6 16³ +DDI,energy_gradient!,1.775
gpu,opt,Eu151 F=6 16³ +DDI,project x2,0.113
gpu,opt,Eu151 F=6 16³ +DDI,sobolev precond,0.034
gpu,opt,Eu151 F=6 16³ +DDI,two-loop dir,1.944
gpu,opt,Eu151 F=6 16³ +DDI,line-search eval x1,1.757
gpu,opt,Eu151 F=6 16³ +DDI,residual,-0.591
gpu,opt,Eu151 F=6 24³ contact,per_iteration_total,3.526
gpu,opt,Eu151 F=6 24³ contact,energy_gradient!,1.377
gpu,opt,Eu151 F=6 24³ contact,project x2,0.13
gpu,opt,Eu151 F=6 24³ contact,sobolev precond,0.053
gpu,opt,Eu151 F=6 24³ contact,two-loop dir,2.124
gpu,opt,Eu151 F=6 24³ contact,line-search eval x1,1.383
gpu,opt,Eu151 F=6 24³ contact,residual,-1.54
gpu,opt,Eu151 F=6 24³ +DDI,per_iteration_total,5.712
gpu,opt,Eu151 F=6 24³ +DDI,energy_gradient!,1.809
gpu,opt,Eu151 F=6 24³ +DDI,project x2,0.132
gpu,opt,Eu151 F=6 24³ +DDI,sobolev precond,0.053
gpu,opt,Eu151 F=6 24³ +DDI,two-loop dir,2.171
gpu,opt,Eu151 F=6 24³ +DDI,line-search eval x1,1.785
gpu,opt,Eu151 F=6 24³ +DDI,residual,-0.237
