t,N,N0,Nth,T,eta
0.000000e+00,1.400000e+06,0.000000e+00,1.400000e+06,5.000000e-05,6.762876e+00
2.466667e-02,1.296702e+06,0.000000e+00,1.296702e+06,4.289807e-05,7.782793e+00
4.933333e-02,1.234612e+06,0.000000e+00,1.234612e+06,3.896225e-05,8.459211e+00
7.400000e-02,1.191310e+06,0.000000e+00,1.191310e+06,3.632681e-05,8.955175e+00
9.866667e-02,1.158302e+06,0.000000e+00,1.158302e+06,3.436292e-05,9.342510e+00
1.233333e-01,1.131617e+06,0.000000e+00,1.131617e+06,3.279659e-05,9.658292e+00
1.480000e-01,1.109162e+06,0.000000e+00,1.109162e+06,3.149615e-05,9.921277e+00
1.726667e-01,1.089716e+06,0.000000e+00,1.089716e+06,3.038158e-05,1.014447e+01
1.973333e-01,1.072501e+06,0.000000e+00,1.072501e+06,2.939719e-05,1.033868e+01
2.220000e-01,1.056992e+06,0.000000e+00,1.056992e+06,2.851092e-05,1.051005e+01
2.466667e-01,1.042831e+06,0.000000e+00,1.042831e+06,2.770487e-05,1.066145e+01
2.713333e-01,1.029759e+06,0.000000e+00,1.029759e+06,2.696256e-05,1.079635e+01
2.960000e-01,1.017582e+06,0.000000e+00,1.017582e+06,2.626916e-05,1.091852e+01
3.206667e-01,1.006146e+06,0.000000e+00,1.006146e+06,2.561683e-05,1.102960e+01
3.453333e-01,9.953385e+05,0.000000e+00,9.953385e+05,2.500128e-05,1.113009e+01
3.700000e-01,9.850680e+05,0.000000e+00,9.850680e+05,2.441622e-05,1.122162e+01
3.946667e-01,9.752590e+05,0.000000e+00,9.752590e+05,2.385562e-05,1.130604e+01
4.193333e-01,9.658487e+05,0.000000e+00,9.658487e+05,2.331709e-05,1.138373e+01
4.440000e-01,9.567877e+05,0.000000e+00,9.567877e+05,2.279923e-05,1.145475e+01
4.686667e-01,9.480345e+05,0.000000e+00,9.480345e+05,2.229863e-05,1.152020e+01
4.933333e-01,9.395520e+05,0.000000e+00,9.395520e+05,2.181236e-05,1.158110e+01
5.180000e-01,9.313084e+05,0.000000e+00,9.313084e+05,2.133987e-05,1.163726e+01
5.426667e-01,9.232777e+05,0.000000e+00,9.232777e+05,2.088042e-05,1.168866e+01
5.673333e-01,9.154369e+05,0.000000e+00,9.154369e+05,2.043170e-05,1.173619e+01
