t,N,N0,Nth,T,eta
0.000000e+00,1.400000e+06,0.000000e+00,1.400000e+06,5.000000e-05,6.762876e+00
2.466667e-02,1.301735e+06,0.000000e+00,1.301735e+06,4.288416e-05,7.898615e+00
4.933333e-02,1.247971e+06,0.000000e+00,1.247971e+06,3.926441e-05,8.641595e+00
7.400000e-02,1.212730e+06,0.000000e+00,1.212730e+06,3.700951e-05,9.183824e+00
9.866667e-02,1.187058e+06,0.000000e+00,1.187058e+06,3.544288e-05,9.606175e+00
1.233333e-01,1.167040e+06,0.000000e+00,1.167040e+06,3.427649e-05,9.950033e+00
1.480000e-01,1.150681e+06,0.000000e+00,1.150681e+06,3.336780e-05,1.023843e+01
1.726667e-01,1.136855e+06,0.000000e+00,1.136855e+06,3.263581e-05,1.048589e+01
1.973333e-01,1.124869e+06,0.000000e+00,1.124869e+06,3.202937e-05,1.070259e+01
2.220000e-01,1.114271e+06,0.000000e+00,1.114271e+06,3.151643e-05,1.089524e+01
2.466667e-01,1.104754e+06,0.000000e+00,1.104754e+06,3.107656e-05,1.106817e+01
2.713333e-01,1.096101e+06,0.000000e+00,1.096101e+06,3.069427e-05,1.122497e+01
2.960000e-01,1.088152e+06,0.000000e+00,1.088152e+06,3.035736e-05,1.136871e+01
3.206667e-01,1.080787e+06,0.000000e+00,1.080787e+06,3.005778e-05,1.150137e+01
3.453333e-01,1.073913e+06,0.000000e+00,1.073913e+06,2.979005e-05,1.162427e+01
3.700000e-01,1.067459e+06,0.000000e+00,1.067459e+06,2.954889e-05,1.173883e+01
3.946667e-01,1.061367e+06,0.000000e+00,1.061367e+06,2.932970e-05,1.184641e+01
4.193333e-01,1.055590e+06,0.000000e+00,1.055590e+06,2.912974e-05,1.194770e+01
4.440000e-01,1.050090e+06,0.000000e+00,1.050090e+06,2.894700e-05,1.204324e+01
4.686667e-01,1.044836e+06,0.000000e+00,1.044836e+06,2.877896e-05,1.213378e+01
4.933333e-01,1.039800e+06,0.000000e+00,1.039800e+06,2.862346e-05,1.222003e+01
5.180000e-01,1.034960e+06,0.000000e+00,1.034960e+06,2.847952e-05,1.230223e+01
5.426667e-01,1.030297e+06,0.000000e+00,1.030297e+06,2.834615e-05,1.238065e+01
5.673333e-01,1.025795e+06,0.000000e+00,1.025795e+06,2.822186e-05,1.245580e+01
5.920000e-01,1.021438e+06,0.000000e+00,1.021438e+06,2.810558e-05,1.252804e+01
6.166667e-01,1.017215e+06,0.000000e+00,1.017215e+06,2.799695e-05,1.259744e+01
6.413333e-01,1.013115e+06,0.000000e+00,1.013115e+06,2.789537e-05,1.266418e+01
6.660000e-01,1.009128e+06,0.000000e+00,1.009128e+06,2.779985e-05,1.272863e+01
6.906667e-01,1.005245e+06,0.000000e+00,1.005245e+06,2.770986e-05,1.279097e+01
7.153333e-01,1.001460e+06,0.000000e+00,1.001460e+06,2.762529e-05,1.285119e+01
7.400000e-01,9.977639e+05,0.000000e+00,9.977639e+05,2.754570e-05,1.290946e+01
7.646667e-01,9.941522e+05,0.000000e+00,9.941522e+05,2.747041e-05,1.296603e+01
7.893333e-01,9.906188e+05,0.000000e+00,9.906188e+05,2.739915e-05,1.302099e+01
8.140000e-01,9.871589e+05,0.000000e+00,9.871589e+05,2.733193e-05,1.307431e+01
8.386667e-01,9.837680e+05,0.000000e+00,9.837680e+05,2.726837e-05,1.312613e+01
8.633333e-01,9.804419e+05,0.000000e+00,9.804419e+05,2.720798e-05,1.317666e+01
8.880000e-01,9.771768e+05,0.000000e+00,9.771768e+05,2.715070e-05,1.322589e+01
9.126667e-01,9.739694e+05,0.000000e+00,9.739694e+05,2.709653e-05,1.327382e+01
9.373333e-01,9.708166e+05,0.000000e+00,9.708166e+05,2.704511e-05,1.332057e+01
9.620000e-01,9.677153e+05,0.000000e+00,9.677153e+05,2.699614e-05,1.336629e+01
9.866667e-01,9.646581e+05,0.000000e+00,9.646581e+05,2.693838e-05,1.339687e+01
1.011333e+00,9.616196e+05,0.000000e+00,9.616196e+05,2.684327e-05,1.337972e+01
1.036000e+00,9.584806e+05,0.000000e+00,9.584806e+05,2.665736e-05,1.326240e+01
1.060667e+00,9.551935e+05,0.000000e+00,9.551935e+05,2.645288e-05,1.315267e+01
1.085333e+00,9.517533e+05,0.000000e+00,9.517533e+05,2.623088e-05,1.305001e+01
1.110000e+00,9.481566e+05,0.000000e+00,9.481566e+05,2.599171e-05,1.295420e+01
1.134667e+00,9.444013e+05,0.000000e+00,9.444013e+05,2.573489e-05,1.286543e+01
1.159333e+00,9.404865e+05,0.000000e+00,9.404865e+05,2.546082e-05,1.278353e+01
1.184000e+00,9.364131e+05,0.000000e+00,9.364131e+05,2.517080e-05,1.270788e+01
1.208667e+00,9.321832e+05,0.000000e+00,9.321832e+05,2.486553e-05,1.263823e+01
1.233333e+00,9.278002e+05,0.000000e+00,9.278002e+05,2.454508e-05,1.257461e+01
1.258000e+00,9.232683e+05,0.000000e+00,9.232683e+05,2.421048e-05,1.251662e+01
1.282667e+00,9.185928e+05,0.000000e+00,9.185928e+05,2.386336e-05,1.246355e+01
1.307333e+00,9.137797e+05,0.000000e+00,9.137797e+05,2.350447e-05,1.241511e+01
1.332000e+00,9.088353e+05,0.000000e+00,9.088353e+05,2.313420e-05,1.237126e+01
1.356667e+00,9.037659e+05,0.000000e+00,9.037659e+05,2.275387e-05,1.233144e+01
1.381333e+00,8.985783e+05,0.000000e+00,8.985783e+05,2.236503e-05,1.229493e+01
1.406000e+00,8.932790e+05,0.000000e+00,8.932790e+05,2.196822e-05,1.226158e+01
1.430667e+00,8.878742e+05,0.000000e+00,8.878742e+05,2.156385e-05,1.223129e+01
1.455333e+00,8.823694e+05,0.000000e+00,8.823694e+05,2.115330e-05,1.220352e+01
1.480000e+00,8.767707e+05,0.000000e+00,8.767707e+05,2.073779e-05,1.217765e+01
1.504667e+00,8.710830e+05,0.000000e+00,8.710830e+05,2.031746e-05,1.215361e+01
1.529333e+00,8.653100e+05,0.000000e+00,8.653100e+05,1.989270e-05,1.213126e+01
1.554000e+00,8.594548e+05,0.000000e+00,8.594548e+05,1.946473e-05,1.210993e+01
1.578667e+00,8.535206e+05,0.000000e+00,8.535206e+05,1.903427e-05,1.208922e+01
1.603333e+00,8.475093e+05,0.000000e+00,8.475093e+05,1.860114e-05,1.206928e+01
1.628000e+00,8.414218e+05,0.000000e+00,8.414218e+05,1.816566e-05,1.204996e+01
1.652667e+00,8.352583e+05,0.000000e+00,8.352583e+05,1.772888e-05,1.203057e+01
1.677333e+00,8.290192e+05,0.000000e+00,8.290192e+05,1.729111e-05,1.201088e+01
1.702000e+00,8.227034e+05,0.000000e+00,8.227034e+05,1.685193e-05,1.199117e+01
1.726667e+00,8.163089e+05,0.000000e+00,8.163089e+05,1.641168e-05,1.197141e+01
