finalH,N0,T,cf
0.600000,0.00000e+00,1409.076,0.0000
0.578461,0.00000e+00,1347.618,0.0000
0.557695,0.00000e+00,1288.083,0.0000
0.537675,0.00000e+00,1230.448,0.0000
0.518373,0.00000e+00,1174.630,0.0000
0.499764,0.00000e+00,1120.557,0.0000
0.481823,0.00000e+00,1068.220,0.0000
0.464526,0.00000e+00,1017.545,0.0000
0.447851,0.00000e+00,968.461,0.0000
0.431773,0.00000e+00,920.962,0.0000
0.416273,0.00000e+00,874.981,0.0000
0.401330,0.00000e+00,830.454,0.0000
0.386923,0.00000e+00,787.379,0.0000
0.373033,0.00000e+00,745.684,0.0000
0.359641,0.00000e+00,705.331,0.0000
0.346731,0.00000e+00,666.304,0.0000
0.334284,0.00000e+00,628.531,0.0000
0.322283,0.00000e+00,592.013,0.0000
0.310714,0.00000e+00,556.692,0.0000
0.299560,0.00000e+00,522.541,0.0000
0.288806,0.00000e+00,489.539,0.0000
0.278438,0.00000e+00,457.637,0.0000
0.268443,0.00000e+00,426.835,0.0000
0.258806,0.00000e+00,397.076,0.0000
0.249515,0.00000e+00,368.368,0.0000
0.240558,0.00000e+00,340.658,0.0000
0.231922,5.67328e+04,303.093,0.1855
0.223597,1.00276e+05,273.413,0.3417
0.215570,1.24684e+05,250.129,0.4438
0.207831,1.39592e+05,229.987,0.5211
0.200370,1.48930e+05,211.761,0.5847
0.193177,1.54636e+05,194.820,0.6399
0.186242,1.57951e+05,178.854,0.6895
0.179557,1.59517e+05,163.642,0.7349
0.173111,1.59811e+05,149.067,0.7767
0.166896,1.59168e+05,135.050,0.8151
0.160905,1.56283e+05,121.527,0.8513
0.155129,1.52632e+05,108.438,0.8835
0.149560,1.48499e+05,95.722,0.9118
0.144191,1.42934e+05,86.760,0.9280
0.139015,1.36570e+05,81.773,0.9341
0.134024,1.30370e+05,78.471,0.9365
0.129213,1.24549e+05,76.096,0.9371
0.124574,1.19167e+05,74.125,0.9370
0.120102,1.14216e+05,72.473,0.9363
0.115791,1.09635e+05,71.121,0.9350
0.111634,1.05412e+05,69.796,0.9339
0.107627,1.01548e+05,68.513,0.9327
0.103763,9.79412e+04,67.383,0.9313
0.100038,9.46316e+04,66.176,0.9302
0.096447,9.15690e+04,64.973,0.9292
0.092985,8.87151e+04,63.863,0.9282
0.089647,8.60466e+04,62.743,0.9272
0.086428,8.35687e+04,61.597,0.9265
0.083326,8.12415e+04,60.530,0.9257
0.080334,7.90533e+04,59.532,0.9247
0.077451,7.69884e+04,58.528,0.9239
0.074670,7.50520e+04,57.518,0.9232
0.071990,7.32435e+04,56.479,0.9228
0.069405,7.15071e+04,55.612,0.9218
0.066914,6.98864e+04,54.634,0.9213
0.064512,6.83336e+04,53.716,0.9207
0.062196,6.68672e+04,52.832,0.9201
0.059963,6.54755e+04,51.960,0.9196
0.057810,6.41487e+04,51.155,0.9188
0.055735,6.28898e+04,50.269,0.9186
0.053734,6.16950e+04,49.385,0.9184
0.051805,6.05437e+04,48.656,0.9176
0.049946,5.94462e+04,47.880,0.9171
0.048153,5.84011e+04,47.081,0.9169
0.046424,5.73957e+04,46.326,0.9165
0.044757,5.64384e+04,45.556,0.9163
0.043151,5.55170e+04,44.855,0.9158
0.041602,5.46292e+04,44.145,0.9155
0.040108,5.37838e+04,43.419,0.9153
0.038668,5.29619e+04,42.744,0.9150
0.037280,5.21830e+04,42.062,0.9148
0.035942,5.14231e+04,41.448,0.9142
0.034652,5.06885e+04,40.821,0.9139
0.033408,4.99882e+04,40.172,0.9137
0.032208,4.93176e+04,39.525,0.9137
0.031052,4.86628e+04,38.908,0.9135
0.029937,4.80348e+04,38.301,0.9134
0.028863,4.74261e+04,37.713,0.9132
0.027827,4.68344e+04,37.154,0.9129
0.026828,4.62636e+04,36.576,0.9128
0.025865,4.57123e+04,36.002,0.9128
0.024936,4.51795e+04,35.459,0.9126
0.024041,4.46539e+04,34.982,0.9121
0.023178,4.41557e+04,34.439,0.9121
0.022346,4.36706e+04,33.895,0.9122
0.021544,4.31941e+04,33.403,0.9120
0.020770,4.27348e+04,32.898,0.9119
0.020025,4.22953e+04,32.367,0.9122
0.019306,4.18547e+04,31.962,0.9115
0.018613,4.14332e+04,31.493,0.9114
0.017945,4.10257e+04,31.024,0.9114
0.017300,4.06290e+04,30.541,0.9115
0.016679,4.02431e+04,30.074,0.9116
0.016081,3.98644e+04,29.631,0.9116
0.015503,3.94985e+04,29.213,0.9115
0.014947,3.91351e+04,28.818,0.9112
0.014410,3.87798e+04,28.451,0.9107
0.013893,3.84459e+04,27.998,0.9111
0.013394,3.81118e+04,27.602,0.9110
0.012913,3.77913e+04,27.177,0.9112
0.012450,3.74804e+04,26.754,0.9115
0.012003,3.71645e+04,26.430,0.9110
0.011572,3.68611e+04,26.058,0.9109
0.011157,3.65636e+04,25.715,0.9107
0.010756,3.62760e+04,25.349,0.9107
0.010370,3.59927e+04,25.002,0.9106
0.009998,3.57251e+04,24.601,0.9112
0.009639,3.54573e+04,24.252,0.9112
0.009293,3.51945e+04,23.909,0.9113
0.008959,3.49311e+04,23.610,0.9110
0.008638,3.46781e+04,23.297,0.9108
0.008327,3.44220e+04,23.021,0.9103
0.008028,3.41840e+04,22.694,0.9105
0.007740,3.39504e+04,22.360,0.9108
0.007462,3.37246e+04,22.023,0.9112
0.007195,3.34990e+04,21.695,0.9115
0.006936,3.32696e+04,21.443,0.9111
0.006687,3.30492e+04,21.169,0.9109
0.006447,3.28345e+04,20.904,0.9107
0.006216,3.26235e+04,20.628,0.9107
0.005993,3.24094e+04,20.379,0.9104
0.005777,3.22104e+04,20.091,0.9107
0.005570,3.20177e+04,19.800,0.9110
0.005370,3.18258e+04,19.513,0.9114
0.005177,3.16357e+04,19.253,0.9115
0.004991,3.14461e+04,19.004,0.9115
0.004812,3.12601e+04,18.775,0.9113
0.004640,3.10689e+04,18.587,0.9106
0.004473,3.08891e+04,18.355,0.9106
