alow,tsw,N0,T,cf
135.0,0.300,1.10122e+05,51.042,0.9447
135.0,0.397,1.10193e+05,50.759,0.9456
135.0,0.495,1.10205e+05,50.643,0.9460
135.0,0.592,1.10235e+05,50.533,0.9463
135.0,0.689,1.10296e+05,50.242,0.9472
135.0,0.787,1.10211e+05,50.596,0.9461
135.0,0.884,1.10391e+05,49.823,0.9485
135.0,0.982,1.10347e+05,49.917,0.9482
135.0,1.079,1.10317e+05,50.153,0.9475
135.0,1.176,1.10310e+05,50.124,0.9476
135.0,1.274,1.10297e+05,50.209,0.9473
135.0,1.371,1.10366e+05,49.879,0.9483
135.0,1.468,1.10408e+05,49.675,0.9490
135.0,1.566,1.10375e+05,49.827,0.9485
135.0,1.663,1.10415e+05,49.653,0.9490
135.0,1.761,1.10417e+05,49.630,0.9491
135.0,1.858,1.10451e+05,49.469,0.9496
135.0,1.955,1.10479e+05,49.412,0.9498
135.0,2.053,1.10520e+05,49.315,0.9500
135.0,2.150,1.10372e+05,50.306,0.9471
130.0,0.300,1.19141e+05,51.750,0.9466
130.0,0.397,1.19191e+05,51.458,0.9475
130.0,0.495,1.19180e+05,51.349,0.9478
130.0,0.592,1.19202e+05,51.236,0.9482
130.0,0.689,1.19242e+05,50.935,0.9490
130.0,0.787,1.19152e+05,51.295,0.9480
130.0,0.884,1.19316e+05,50.514,0.9503
130.0,0.982,1.19276e+05,50.611,0.9500
130.0,1.079,1.19210e+05,50.849,0.9493
130.0,1.176,1.19199e+05,50.818,0.9494
130.0,1.274,1.19173e+05,50.906,0.9491
130.0,1.371,1.19228e+05,50.568,0.9501
130.0,1.468,1.19248e+05,50.364,0.9507
130.0,1.566,1.19195e+05,50.519,0.9502
130.0,1.663,1.19224e+05,50.342,0.9507
130.0,1.761,1.19214e+05,50.319,0.9508
130.0,1.858,1.19234e+05,50.156,0.9512
130.0,1.955,1.19135e+05,50.097,0.9514
130.0,2.053,1.17427e+05,49.997,0.9510
130.0,2.150,1.12186e+05,50.305,0.9479
125.0,0.300,1.28903e+05,52.499,0.9484
125.0,0.397,1.28964e+05,52.198,0.9493
125.0,0.495,1.28938e+05,52.097,0.9495
125.0,0.592,1.28926e+05,51.980,0.9499
125.0,0.689,1.28969e+05,51.668,0.9507
125.0,0.787,1.28836e+05,52.036,0.9497
125.0,0.884,1.28989e+05,51.246,0.9519
125.0,0.982,1.28933e+05,51.345,0.9516
125.0,1.079,1.28844e+05,51.585,0.9509
125.0,1.176,1.28809e+05,51.553,0.9510
125.0,1.274,1.28742e+05,51.644,0.9507
125.0,1.371,1.28784e+05,51.299,0.9517
125.0,1.468,1.28787e+05,51.093,0.9522
125.0,1.566,1.28702e+05,51.252,0.9518
125.0,1.663,1.28705e+05,51.070,0.9523
125.0,1.761,1.28682e+05,51.049,0.9523
125.0,1.858,1.28696e+05,50.884,0.9527
125.0,1.955,1.28438e+05,50.823,0.9528
125.0,2.053,1.24611e+05,50.720,0.9517
125.0,2.150,1.13926e+05,50.305,0.9486
