ramp,K3,heat,N0,T,cf
lab,1.000e-42,0.020,1.453348e+04,5.530688e+01,0.9846
lab,1.000e-42,0.050,1.455114e+04,5.599055e+01,0.9840
lab,1.000e-42,0.100,1.457706e+04,5.714108e+01,0.9831
lab,3.000e-42,0.020,6.138191e+03,5.530927e+01,0.9643
lab,3.000e-42,0.050,6.141891e+03,5.599296e+01,0.9630
lab,3.000e-42,0.100,6.146543e+03,5.714355e+01,0.9608
lab,1.000e-41,0.020,2.296774e+03,5.531760e+01,0.9098
lab,1.000e-41,0.050,2.294252e+03,5.600141e+01,0.9067
lab,1.000e-41,0.100,2.289249e+03,5.715219e+01,0.9012
lab,3.000e-41,0.020,8.774941e+02,5.534140e+01,0.7938
lab,3.000e-41,0.050,8.732594e+02,5.602552e+01,0.7869
lab,3.000e-41,0.100,8.656215e+02,5.717687e+01,0.7750
lab,1.000e-40,0.020,2.844355e+02,5.542461e+01,0.5540
lab,1.000e-40,0.050,2.801018e+02,5.610990e+01,0.5411
lab,1.000e-40,0.100,2.723550e+02,5.726332e+01,0.5189
robust,1.000e-42,0.020,3.105083e+05,1.721759e+02,0.9827
robust,1.000e-42,0.050,3.021060e+05,1.647945e+02,0.9844
robust,1.000e-42,0.100,2.878447e+05,1.513777e+02,0.9872
robust,3.000e-42,0.020,3.088333e+05,1.707529e+02,0.9830
robust,3.000e-42,0.050,3.005218e+05,1.633729e+02,0.9847
robust,3.000e-42,0.100,2.863889e+05,1.499566e+02,0.9875
robust,1.000e-41,0.020,3.031414e+05,1.657905e+02,0.9841
robust,1.000e-41,0.050,2.951226e+05,1.584158e+02,0.9858
robust,1.000e-41,0.100,2.814041e+05,1.450014e+02,0.9885
robust,3.000e-41,0.020,2.881132e+05,1.517673e+02,0.9872
robust,3.000e-41,0.050,2.807523e+05,1.444080e+02,0.9886
robust,3.000e-41,0.100,2.679635e+05,1.309979e+02,0.9911
robust,1.000e-40,0.020,2.013484e+05,4.189102e+02,0.7186
robust,1.000e-40,0.050,1.934692e+05,4.269083e+02,0.6987
robust,1.000e-40,0.100,1.793654e+05,4.409050e+02,0.6612
