ramp,K3,tau,N0,T,cf
lab,1.000e-42,10.0,1.401616e+04,5.485388e+01,0.9844
lab,1.000e-42,15.0,1.452085e+04,5.485388e+01,0.9849
lab,1.000e-42,30.0,1.503997e+04,5.485388e+01,0.9855
lab,3.000e-42,10.0,5.964367e+03,5.485624e+01,0.9641
lab,3.000e-42,15.0,6.135349e+03,5.485624e+01,0.9651
lab,3.000e-42,30.0,6.310111e+03,5.485624e+01,0.9660
lab,1.000e-41,10.0,2.247373e+03,5.486451e+01,0.9101
lab,1.000e-41,15.0,2.298257e+03,5.486451e+01,0.9119
lab,1.000e-41,30.0,2.349948e+03,5.486451e+01,0.9137
lab,3.000e-41,10.0,8.633767e+02,5.488811e+01,0.7952
lab,3.000e-41,15.0,8.801728e+02,5.488810e+01,0.7983
lab,3.000e-41,30.0,8.971661e+02,5.488810e+01,0.8014
lab,1.000e-40,10.0,2.816275e+02,5.497061e+01,0.5577
lab,1.000e-40,15.0,2.871993e+02,5.497057e+01,0.5625
lab,1.000e-40,30.0,2.928160e+02,5.497054e+01,0.5673
nominal,1.000e-42,10.0,3.104935e+05,1.893791e+02,0.9574
nominal,1.000e-42,15.0,3.357710e+05,1.893736e+02,0.9605
nominal,1.000e-42,30.0,3.622713e+05,1.893693e+02,0.9633
nominal,3.000e-42,10.0,2.568534e+05,1.893895e+02,0.9489
nominal,3.000e-42,15.0,2.722519e+05,1.893833e+02,0.9517
nominal,3.000e-42,30.0,2.873895e+05,1.893781e+02,0.9541
nominal,1.000e-41,10.0,1.675260e+05,1.894263e+02,0.9238
nominal,1.000e-41,15.0,1.722987e+05,1.894172e+02,0.9257
nominal,1.000e-41,30.0,1.764984e+05,1.894098e+02,0.9274
nominal,3.000e-41,10.0,9.468957e+04,1.895364e+02,0.8724
nominal,3.000e-41,15.0,9.566833e+04,1.895213e+02,0.8736
nominal,3.000e-41,30.0,9.631641e+04,1.895066e+02,0.8743
nominal,1.000e-40,10.0,4.743220e+04,1.899830e+02,0.7727
nominal,1.000e-40,15.0,4.744919e+04,1.899341e+02,0.7729
nominal,1.000e-40,30.0,4.737237e+04,1.898877e+02,0.7728
robust,1.000e-42,10.0,2.604356e+05,1.890015e+02,0.9730
robust,1.000e-42,15.0,2.765464e+05,1.000000e-03,1.0000
robust,1.000e-42,30.0,3.170611e+05,1.386335e+02,0.9911
robust,3.000e-42,10.0,2.587439e+05,1.900184e+02,0.9723
robust,3.000e-42,15.0,2.719548e+05,1.000000e-03,1.0000
robust,3.000e-42,30.0,3.137096e+05,1.272101e+02,0.9930
robust,1.000e-41,10.0,2.530321e+05,1.931808e+02,0.9704
robust,1.000e-41,15.0,2.556294e+05,1.000000e-03,1.0000
robust,1.000e-41,30.0,3.012002e+05,8.575816e+01,0.9978
robust,3.000e-41,10.0,2.382561e+05,1.990591e+02,0.9657
robust,3.000e-41,15.0,2.547270e+05,2.004411e+02,0.9672
robust,3.000e-41,30.0,2.602703e+05,1.000000e-03,1.0000
robust,1.000e-40,10.0,1.682308e+05,3.876508e+02,0.7292
robust,1.000e-40,15.0,2.098478e+05,2.104105e+02,0.9546
robust,1.000e-40,30.0,2.213161e+05,2.220494e+02,0.9496
