N0,T,cf
5.99730e+04,48.333,0.9087
5.08835e+04,55.270,0.9086
2.48271e+05,56.949,0.9814
3.12632e+05,59.859,0.9880
1.64215e+04,49.010,0.6456
6.59130e+04,52.326,0.9141
3.52398e+04,59.794,0.8702
2.01329e+05,40.903,0.9732
1.05152e+05,42.598,0.9408
6.08693e+04,43.095,0.8994
9.26231e+04,53.555,0.9332
1.60361e+05,41.498,0.9538
8.30478e+04,41.046,0.9387
2.72660e+05,58.389,0.9847
2.35916e+05,59.404,0.9783
2.63995e+05,60.661,0.9792
2.29832e+05,52.876,0.9750
5.34168e+04,57.617,0.9232
2.18061e+05,44.539,0.9673
5.80770e+04,50.411,0.8975
5.97567e+04,44.675,0.8834
4.48103e+04,53.361,0.8813
2.59472e+05,52.906,0.9802
7.25893e+04,48.251,0.9071
1.49490e+05,53.017,0.9441
3.75596e+04,53.197,0.8143
2.89740e+05,45.937,0.9790
1.37558e+05,49.328,0.9648
2.09383e+05,51.580,0.9711
1.56981e+05,48.284,0.9635
2.44968e+05,49.388,0.9809
1.04963e+05,50.738,0.9359
5.68635e+04,56.899,0.9397
8.38802e+04,55.943,0.9312
2.27780e+04,49.230,0.8072
2.24596e+05,42.843,0.9672
9.06473e+04,60.002,0.9519
5.80343e+04,51.558,0.9162
4.97581e+04,36.641,0.8374
2.04453e+05,55.965,0.9741
2.98803e+04,54.773,0.7912
3.47660e+05,66.135,0.9872
6.88944e+04,50.769,0.9299
1.07902e+05,47.229,0.9525
5.69950e+04,50.383,0.9195
3.12710e+04,51.901,0.8752
5.02710e+04,45.310,0.8829
3.12457e+05,46.944,0.9775
1.63903e+05,49.641,0.9611
1.51303e+05,53.553,0.9532
2.02572e+04,49.336,0.6554
2.37401e+05,54.567,0.9795
1.01620e+05,48.272,0.9409
8.80300e+04,42.312,0.9339
2.13593e+05,45.670,0.9712
4.68242e+04,49.296,0.9003
3.27001e+04,50.740,0.8294
2.21055e+05,49.685,0.9788
2.37359e+05,41.438,0.9575
8.10548e+04,59.946,0.9453
1.96733e+04,56.719,0.7731
2.02630e+05,69.741,0.9788
2.46138e+05,48.032,0.9758
2.52290e+05,49.837,0.9804
2.58855e+04,55.063,0.8502
4.24483e+04,50.837,0.8623
2.97108e+04,50.731,0.8084
2.95021e+05,51.847,0.9818
1.90898e+04,49.523,0.7400
3.33781e+05,46.350,0.9794
4.01365e+05,52.954,0.9875
6.59599e+04,47.218,0.8964
1.87680e+05,46.235,0.9639
3.12847e+04,51.624,0.8338
1.39029e+04,43.175,0.5540
5.24993e+04,53.203,0.8879
6.61723e+04,48.936,0.9255
2.31024e+04,64.862,0.8277
4.32213e+04,50.054,0.8695
1.17526e+05,52.323,0.9562
4.79597e+04,61.256,0.9135
8.79863e+04,50.782,0.9322
2.23754e+05,46.651,0.9706
2.38360e+04,45.947,0.7631
9.07129e+04,49.406,0.9291
1.40761e+05,52.911,0.9708
1.09360e+05,56.327,0.9615
1.22401e+05,43.544,0.9462
4.31259e+04,66.840,0.9239
2.54282e+05,56.335,0.9805
7.83320e+04,59.900,0.9503
1.27236e+05,53.739,0.9609
2.45729e+05,47.651,0.9661
1.28120e+05,58.729,0.9732
