omega_final,tau_ms,N0,gain_over_hold,N0_hold
0.3500,0.0000,46963,1.051662,44656
0.3500,6.7265,48527,1.086684,44656
0.3500,16.8163,47983.4,1.074511,44656
0.3500,26.9061,48221.9,1.079852,44656
0.5000,0.0000,51115.3,1.144645,44656
0.5000,6.7265,49852.2,1.116359,44656
0.5000,16.8163,48703.5,1.090637,44656
0.5000,26.9061,48228.9,1.080008,44656
0.6500,0.0000,51569.9,1.154825,44656
0.6500,6.7265,49571.1,1.110065,44656
0.6500,16.8163,48515.5,1.086428,44656
0.6500,26.9061,47770.5,1.069744,44656
0.8000,0.0000,49797.7,1.115139,44656
0.8000,6.7265,48052.8,1.076066,44656
0.8000,16.8163,47511,1.063932,44656
0.8000,26.9061,46713.5,1.046074,44656
