T_over_Tc,N0,N_thermal,N0_over_N,mu
0.0500,9998.75,1.25,0.999875,11.761821
0.1000,9990,10,0.999000,11.757703
0.1500,9966.25,33.75,0.996625,11.746514
0.2000,9920,80,0.992000,11.724679
0.2500,9843.75,156.25,0.984375,11.688546
0.3000,9730,270,0.973000,11.634331
0.3500,9571.25,428.75,0.957125,11.558028
0.4000,9360,640,0.936000,11.455304
0.4500,9088.75,911.25,0.908875,11.321343
0.5000,8750,1250,0.875000,11.150632
0.5500,8336.25,1663.75,0.833625,10.936656
0.6000,7840,2160,0.784000,10.671432
0.6500,7253.75,2746.25,0.725375,10.344781
0.7000,6570,3430,0.657000,9.943114
0.7500,5781.25,4218.75,0.578125,9.447241
0.8000,4880,5120,0.488000,8.828038
0.8500,3858.75,6141.25,0.385875,8.036648
0.9000,2710,7290,0.271000,6.977245
0.9500,1426.25,8573.75,0.142625,5.397275
