t_s,N,T_uK,power_W
0.00000,3.5e+06,50,5.8
0.00800,1.4648e+06,36.2701,5.7664
0.01600,966267,28.5003,5.7328
0.02400,754811,23.3929,5.6992
0.03200,644816,19.9131,5.6656
0.04000,580601,17.4962,5.632
0.04800,539788,15.775,5.5984
0.05600,511952,14.5098,5.5648
0.06400,491800,13.5478,5.5312
0.07200,476459,12.7924,5.4976
0.08000,464283,12.1819,5.464
0.08800,454280,11.676,5.4304
0.09600,445824,11.2476,5.3968
0.10400,438504,10.8781,5.3632
0.11200,432041,10.5544,5.3296
0.12000,426240,10.2668,5.296
0.12800,420960,10.0084,5.2624
0.13600,416099,9.77375,5.2288
0.14400,411578,9.55883,5.1952
0.15200,407339,9.36045,5.1616
0.16000,403335,9.17599,5.128
0.16800,399530,9.00348,5.0944
0.17600,395893,8.84124,5.0608
0.18400,392403,8.68791,5.0272
0.19200,389039,8.5423,4.9936
0.20000,385786,8.40352,4.96
0.20800,382629,8.27077,4.9264
0.21600,379559,8.14335,4.8928
0.22400,376565,8.02063,4.8592
0.23200,373639,7.90218,4.8256
0.24000,370774,7.78757,4.792
0.24800,367964,7.67634,4.7584
0.25600,365204,7.56818,4.7248
0.26400,362490,7.46284,4.6912
0.27200,359816,7.36005,4.6576
0.28000,357180,7.25952,4.624
0.28800,354578,7.16109,4.5904
0.29600,352008,7.0646,4.5568
0.30400,349466,6.96987,4.5232
0.31200,346951,6.8767,4.4896
0.32000,344460,6.78501,4.456
0.32800,341991,6.69469,4.4224
0.33600,339543,6.60561,4.3888
0.34400,337114,6.51762,4.3552
0.35200,334701,6.43067,4.3216
0.36000,332304,6.3447,4.288
0.36800,329921,6.25958,4.2544
0.37600,327551,6.17524,4.2208
0.38400,325192,6.09164,4.1872
0.39200,322843,6.00873,4.1536
0.40000,320504,5.92639,4.12
0.40800,318172,5.84459,4.0864
0.41600,315846,5.76332,4.0528
0.42400,313527,5.68254,4.0192
0.43200,311213,5.60213,3.9856
0.44000,308902,5.52212,3.952
0.44800,306595,5.4425,3.9184
0.45600,304289,5.36319,3.8848
0.46400,301983,5.2841,3.8512
0.47200,299678,5.20527,3.8176
0.48000,297371,5.12668,3.784
0.48800,295062,5.04827,3.7504
0.49600,292749,4.96997,3.7168
0.50400,290439,4.89694,3.689
0.51200,288161,4.82904,3.667
0.52000,285919,4.76313,3.645
0.52800,283711,4.69877,3.623
0.53600,281532,4.63585,3.601
0.54400,279382,4.57425,3.579
0.55200,277256,4.51381,3.557
0.56000,275155,4.45445,3.535
0.56800,273074,4.39609,3.513
0.57600,271014,4.33866,3.491
0.58400,268972,4.28203,3.469
0.59200,266946,4.22617,3.447
0.60000,264935,4.17102,3.425
0.60800,262939,4.11652,3.403
0.61600,260955,4.06257,3.381
0.62400,258984,4.00918,3.359
0.63200,257022,3.9563,3.337
0.64000,255071,3.90388,3.315
0.64800,253128,3.85186,3.293
0.65600,251194,3.80024,3.271
0.66400,249266,3.74899,3.249
0.67200,247344,3.69805,3.227
0.68000,245428,3.6474,3.205
0.68800,243516,3.59702,3.183
0.69600,241607,3.54689,3.161
0.70400,239701,3.49695,3.139
0.71200,237797,3.4472,3.117
0.72000,235894,3.39763,3.095
0.72800,233990,3.34823,3.073
0.73600,232087,3.29894,3.051
0.74400,230182,3.24979,3.029
0.75200,228276,3.20076,3.007
0.76000,226366,3.15183,2.985
0.76800,224453,3.10294,2.963
0.77600,222536,3.05412,2.941
0.78400,220612,3.00536,2.919
0.79200,218683,2.95663,2.897
0.80000,216746,2.90788,2.875
0.80800,214800,2.85917,2.853
0.81600,212846,2.81048,2.831
0.82400,210882,2.76177,2.809
0.83200,208907,2.71303,2.787
0.84000,206921,2.66428,2.765
0.84800,204920,2.6155,2.743
0.85600,202906,2.56665,2.721
0.86400,200875,2.51772,2.699
0.87200,198828,2.46874,2.677
0.88000,196762,2.41972,2.655
0.88800,194677,2.37059,2.633
0.89600,192575,2.32226,2.611
0.90400,190470,2.27728,2.5964
0.91200,188436,2.23989,2.5892
0.92000,186484,2.20481,2.582
0.92800,184605,2.17174,2.5748
0.93600,182789,2.14046,2.5676
0.94400,181030,2.11074,2.5604
0.95200,179321,2.08243,2.5532
0.96000,177657,2.05537,2.546
0.96800,176034,2.02942,2.5388
0.97600,174449,2.00449,2.5316
0.98400,172898,1.98046,2.5244
0.99200,171378,1.95727,2.5172
1.00000,169888,1.93483,2.51
1.00800,168424,1.91308,2.5028
1.01600,166986,1.89195,2.4956
1.02400,165571,1.87139,2.4884
1.03200,164178,1.85136,2.4812
1.04000,162805,1.83181,2.474
1.04800,161452,1.8127,2.4668
1.05600,160116,1.79399,2.4596
1.06400,158798,1.77566,2.4524
1.07200,157496,1.75767,2.4452
1.08000,156210,1.74,2.438
1.08800,154938,1.72263,2.4308
1.09600,153680,1.70553,2.4236
1.10400,152435,1.68868,2.4164
1.11200,151203,1.67206,2.4092
1.12000,149983,1.65567,2.402
1.12800,148774,1.63947,2.3948
1.13600,147576,1.62347,2.3876
1.14400,146389,1.60764,2.3804
1.15200,145213,1.59199,2.3732
1.16000,144046,1.57649,2.366
1.16800,142889,1.56113,2.3588
1.17600,141740,1.5459,2.3516
1.18400,140600,1.5308,2.3444
1.19200,139469,1.51581,2.3372
1.20000,138345,1.50093,2.33
1.20800,137229,1.48615,2.3228
1.21600,136120,1.47146,2.3156
1.22400,135018,1.45686,2.3084
1.23200,133922,1.44233,2.3012
1.24000,132833,1.42787,2.294
1.24800,131749,1.41349,2.2868
1.25600,130671,1.39916,2.2796
1.26400,129599,1.38489,2.2724
1.27200,128532,1.37068,2.2652
1.28000,127470,1.35652,2.258
1.28800,126413,1.34241,2.2508
1.29600,125361,1.32834,2.2436
1.30400,124312,1.31432,2.2364
1.31200,123268,1.30033,2.2292
1.32000,122228,1.28637,2.222
1.32800,121191,1.27244,2.2148
1.33600,120157,1.25854,2.2076
1.34400,119126,1.24465,2.2004
1.35200,118098,1.23078,2.1932
1.36000,117072,1.21693,2.186
1.36800,116048,1.2031,2.1788
1.37600,115027,1.18928,2.1716
1.38400,114008,1.17548,2.1644
1.39200,112991,1.16169,2.1572
1.40000,111975,1.14791,2.15
1.40800,110961,1.13414,2.1428
1.41600,109947,1.12037,2.1356
1.42400,108934,1.10661,2.1284
1.43200,107922,1.09285,2.1212
1.44000,106910,1.07907,2.114
1.44800,105897,1.0653,2.1068
1.45600,104885,1.05153,2.0996
1.46400,103872,1.03775,2.0924
1.47200,102859,1.02397,2.0852
1.48000,101845,1.01019,2.078
1.48800,100830,0.996403,2.0708
1.49600,99813.3,0.982605,2.0636
1.50400,98791.9,0.968027,2.05467
1.51200,97754.2,0.952796,2.044
1.52000,96697.2,0.937143,2.03333
1.52800,95620,0.921161,2.02267
1.53600,94522.5,0.904887,2.012
1.54400,93403.9,0.888329,2.00133
1.55200,92263.5,0.871489,1.99067
1.56000,91100.5,0.854372,1.98
1.56800,89914,0.837,1.96933
1.57600,88703.9,0.81939,1.95867
1.58400,87469.8,0.801554,1.948
1.59200,86210.8,0.7835,1.93733
1.60000,84925.8,0.76524,1.92667
1.60800,83613.6,0.746786,1.916
1.61600,82273.9,0.728141,1.90533
1.62400,80906.1,0.709331,1.89467
1.63200,79509,0.690364,1.884
1.64000,78080.8,0.671246,1.87333
1.64800,76620.3,0.65197,1.86267
1.65600,75126.6,0.632564,1.852
1.66400,73598.4,0.613043,1.84133
1.67200,72033.5,0.593406,1.83067
1.68000,70430,0.573647,1.82
1.68800,68786.7,0.553799,1.80933
1.69600,67101.1,0.533867,1.79867
1.70320,65545.6,0.515849,1.78907
