t_s,N,T_uK,power_W
0.00000,3.5e+06,50,5.8
0.00400,2.04931e+06,41.9163,5.78466
0.00800,1.46506e+06,36.2745,5.76933
0.01200,1.15527e+06,31.9533,5.75399
0.01600,966789,28.5066,5.73866
0.02000,842333,25.7037,5.72332
0.02400,755595,23.4024,5.70798
0.02800,692758,21.5028,5.69265
0.03200,645849,19.9281,5.67731
0.03600,609944,18.6167,5.66197
0.04000,581855,17.5183,5.64664
0.04400,559442,16.592,5.6313
0.04800,541230,15.8048,5.61597
0.05200,526181,15.1302,5.60063
0.05600,513553,14.5471,5.58529
0.06000,502803,14.039,5.56996
0.06400,493534,13.5924,5.55462
0.06800,485445,13.1968,5.53928
0.07200,478309,12.8438,5.52395
0.07600,471951,12.5267,5.50861
0.08000,466235,12.2398,5.49328
0.08400,461055,11.9788,5.47794
0.08800,456324,11.7401,5.4626
0.09200,451975,11.5205,5.44727
0.09600,447953,11.3177,5.43193
0.10000,444210,11.1294,5.41659
0.10400,440711,10.954,5.40126
0.10800,437424,10.7899,5.38592
0.11200,434322,10.6358,5.37059
0.11600,431385,10.4908,5.35525
0.12000,428592,10.3538,5.33991
0.12400,425929,10.2241,5.32458
0.12800,423381,10.1009,5.30924
0.13200,420937,9.98356,5.2939
0.13600,418586,9.87163,5.27857
0.14000,416319,9.7646,5.26323
0.14400,414130,9.66205,5.2479
0.14800,412010,9.56361,5.23256
0.15200,409953,9.46894,5.21722
0.15600,407956,9.37774,5.20189
0.16000,406012,9.28975,5.18655
0.16400,404117,9.20474,5.17121
0.16800,402268,9.12249,5.15588
0.17200,400461,9.04279,5.14054
0.17600,398694,8.96547,5.12521
0.18000,396962,8.89038,5.10987
0.18400,395265,8.81737,5.09453
0.18800,393599,8.74628,5.0792
0.19200,391963,8.67702,5.06386
0.19600,390355,8.60947,5.04852
0.20000,388772,8.54351,5.03319
0.20400,387214,8.47905,5.01785
0.20800,385679,8.41601,5.00252
0.21200,384166,8.35431,4.98718
0.21600,382672,8.29387,4.97184
0.22000,381199,8.23461,4.95651
0.22400,379743,8.17649,4.94117
0.22800,378305,8.11944,4.92583
0.23200,376883,8.06338,4.9105
0.23600,375477,8.00828,4.89516
0.24000,374085,7.9541,4.87983
0.24400,372708,7.90078,4.86449
0.24800,371344,7.84827,4.84915
0.25200,369993,7.79654,4.83382
0.25600,368654,7.74556,4.81848
0.26000,367327,7.69528,4.80314
0.26400,366010,7.64567,4.78781
0.26800,364705,7.59671,4.77247
0.27200,363410,7.54836,4.75714
0.27600,362124,7.5006,4.7418
0.28000,360848,7.45338,4.72646
0.28400,359581,7.40671,4.71113
0.28800,358323,7.36054,4.69579
0.29200,357073,7.31486,4.68046
0.29600,355831,7.26964,4.66512
0.30000,354597,7.22488,4.64978
0.30400,353370,7.18054,4.63445
0.30800,352150,7.1366,4.61911
0.31200,350937,7.09306,4.60377
0.31600,349730,7.04989,4.58844
0.32000,348530,7.00709,4.5731
0.32400,347336,6.96463,4.55777
0.32800,346148,6.9225,4.54243
0.33200,344965,6.88069,4.52709
0.33600,343789,6.8392,4.51176
0.34000,342617,6.79799,4.49642
