param,value,N_BEC,reached
duration,0.1500,0,false
duration,0.3875,93077.4,true
duration,0.6250,83273.8,true
duration,0.8625,71677.6,true
duration,1.1000,62547.7,true
duration,1.3375,55449.5,true
duration,1.5750,49794.1,true
duration,1.8125,45232.4,true
duration,2.0500,41446.5,true
duration,2.2875,38246,true
duration,2.5250,35497.9,true
duration,2.7625,33107.2,true
duration,3.0000,31025,true
final_power,0.0500,86849.1,true
final_power,0.2125,86849.1,true
final_power,0.3750,86849.1,true
final_power,0.5375,86849.1,true
final_power,0.7000,86849.1,true
final_power,0.8625,86849.1,true
final_power,1.0250,86849.1,true
final_power,1.1875,86849.1,true
final_power,1.3500,86849.1,true
final_power,1.5125,86849.1,true
final_power,1.6750,86849.1,true
final_power,1.8375,86849.1,true
final_power,2.0000,86849.1,true
warp,0.2000,0,false
warp,0.3500,70116.9,true
warp,0.5000,83719.7,true
warp,0.6500,86490.7,true
warp,0.8000,86994,true
warp,0.9500,86546.1,true
warp,1.1000,85622.5,true
warp,1.2500,84116.6,true
warp,1.4000,81905.6,true
warp,1.5500,78460.9,true
warp,1.7000,73055.7,true
warp,1.8500,64380.3,true
warp,2.0000,50803.3,true
