t_ms,N,N0
0.07579,19003.7,9809.96
0.15158,20314.4,9597.45
0.22736,20688.5,9348.72
0.30315,20831.4,9102.4
0.37894,20830,8931.78
0.45473,20747.3,8671.31
0.53052,20589,8477.78
0.60630,20405,8269.99
0.68209,20341.9,8097.94
0.75788,20216.8,7924.5
0.83367,20157.2,7803.16
0.90946,20039.4,7685.88
0.98524,19968.9,7601.67
1.06103,19947.3,7550.18
1.13682,19891.9,7476.97
1.21261,19863.2,7418.32
1.28840,19854.9,7399.66
1.36419,19877.3,7387.15
1.43997,19866.8,7358.9
1.51576,19827.4,7324.75
1.59155,19850.4,7336.65
1.66734,19768.7,7317.45
1.74313,19798.2,7358.18
1.81891,19804.4,7340.61
1.89470,19822.6,7316.56
1.97049,19856.6,7282.9
2.04628,19770.6,7239
2.12207,19778.5,7244.76
2.19785,19771.2,7230.21
2.27364,19744,7218.27
2.34943,19717,7194.26
2.42522,19702.1,7131.71
2.50101,19704.8,7140.21
2.57679,19700.1,7102.49
2.65258,19667.8,7088.99
2.72837,19687.6,7115.79
2.80416,19690.6,7083.26
2.87995,19627.9,7051.73
2.95573,19635.5,7088.91
3.03152,19646.7,7069.63
3.10731,19652.6,7049.21
3.18310,19633.8,7090.4
3.25889,19613.1,7075.84
3.33467,19596.1,7072.23
3.41046,19614.8,7070.83
3.48625,19598.7,7057.89
3.56204,19638.5,7018.41
3.63783,19602.5,7002.01
3.71362,19572.4,7002.4
3.78940,19667.5,7042.78
3.86519,19535.1,6962.68
3.94098,19573.3,6961.25
4.01677,19621.4,6997.13
4.09256,19603.7,7035.18
4.16834,19650.8,7058.56
4.24413,19608,7021.62
4.31992,19644.8,7059.55
4.39571,19616.1,7034.34
4.47150,19634.8,7093.81
4.54728,19618.2,7082.13
4.62307,19649.5,7111.47
4.69886,19661.8,7090.59
4.77465,19672.9,7099.79
4.85044,19727.7,7129.26
4.92622,19737.8,7145.36
5.00201,19747.1,7169.64
5.07780,19673,7134.03
5.15359,19704,7149.64
5.22938,19679.5,7138.26
5.30516,19595.4,7092.17
5.38095,19651.8,7107.23
5.45674,19640.3,7080.51
5.53253,19680.7,7105.64
5.60832,19741.2,7138.22
5.68411,19679.3,7065.75
5.75989,19696.7,7022.92
5.83568,19666.8,7005
5.91147,19673.6,7033
5.98726,19660.3,7049.17
6.06305,19661.9,7076.67
6.13883,19646.5,7112.36
6.21462,19686.5,7093.85
6.29041,19670.1,7091.2
6.36620,19658.9,7075.77
6.44199,19641.1,7073.46
6.51777,19693.8,7075.18
6.59356,19723.4,7123.43
6.66935,19628.8,7082.23
6.74514,19613,7067.51
6.82093,19560.6,6997.23
6.89671,19569.4,6961.18
6.97250,19652.3,6968.6
7.04829,19600.1,6923.85
7.12408,19632.9,6992.05
7.19987,19623.2,7008
7.27565,19725.1,7076.7
7.35144,19732.5,7111.48
7.42723,19726.7,7125.38
7.50302,19730.9,7160.27
7.57881,19745.3,7196.67
7.65459,19743.3,7207.91
7.73038,19741.7,7253.17
7.80617,19740.6,7299.57
7.88196,19739.8,7249.25
7.95775,19739.3,6626.74
8.03354,19739,6871.06
8.10932,19738.8,6903.91
8.18511,19738.6,7058.04
8.26090,19738.4,6985.51
8.33669,19738.3,6485.86
8.41248,19738.2,6801.27
8.48826,19738.1,7059.52
8.56405,19738,7212.28
8.63984,19737.8,7210.7
8.71563,19737.7,7306.82
8.79142,19737.6,7265.88
8.86720,19737.5,7210.85
8.94299,19737.3,7148.92
9.01878,19737.2,6770.28
9.09457,19737.1,3394.87
9.17036,19736.9,762.548
9.24614,19736.8,2350.81
9.32193,19736.6,0
9.39772,19736.4,122.546
9.47351,19736.3,2954.6
9.54930,19736.1,3165.8
9.62508,19735.9,2668.58
9.70087,19735.8,3346.78
9.77666,19735.6,5842.54
9.85245,19735.4,5450.86
9.92824,19735.3,6050.35
10.00402,19735.1,6188.46
10.07981,19735,6098.87
10.15560,19734.8,5969.35
10.23139,19734.6,6011.64
10.30718,19734.4,5947.46
10.38297,19734.2,5828.09
10.45875,19734,5728.83
10.53454,19733.9,5665.45
10.61033,19733.7,5600.7
10.68612,19733.6,5562.83
10.76191,19733.4,5559.16
10.83769,19733.3,5497.03
10.91348,19733.1,5422.27
10.98927,19732.8,5336.06
11.06506,19732.6,5243.51
11.14085,19732.4,5153.95
11.21663,19732.2,5082.17
11.29242,19732.1,5041.01
11.36821,19732,4974.58
11.44400,19731.8,4912.13
11.51979,19731.7,4845.9
11.59557,19731.5,4796.51
11.67136,19731.4,4732.69
11.74715,19731.2,4689.86
11.82294,19731.1,4646.95
11.89873,19730.9,4597.13
11.97451,19730.7,4539.64
12.05030,19730.5,4439.01
12.12609,19730.3,4326.82
12.20188,19730.1,4228.96
12.27767,19729.8,4130.89
12.35346,19729.6,4030.59
12.42924,19729.5,3943.67
12.50503,19729.3,3878.98
12.58082,19729.2,3815.18
12.65661,19729.1,3792.59
12.73240,19728.9,3737.23
12.80818,19728.8,3689.52
12.88397,19728.6,3635.12
12.95976,19728.5,3578.5
13.03555,19728.3,3507.11
13.11134,19728.2,3436.98
13.18712,19728,3359.57
13.26291,19727.9,3279.77
13.33870,19727.7,3217.91
13.41449,19727.6,3178.99
13.49028,19727.5,3139.37
13.56606,19727.3,3096.53
13.64185,19727.2,3076.64
13.71764,19727,3058.94
13.79343,19726.9,3029.18
13.86922,19726.7,3002.59
13.94500,19726.6,2969.12
14.02079,19726.4,2908
14.09658,19726.3,2880.05
14.17237,19726.1,2841.41
14.24816,19725.9,2804.24
14.32394,19725.8,2757.17
14.39973,19725.6,2713.27
14.47552,19725.4,2652.31
14.55131,19725.2,2581.53
14.62710,19725,2491.36
14.70289,19724.8,2369.8
14.77867,19724.6,2274.12
14.85446,19724.5,2143
14.93025,19724.3,2076.08
15.00604,19724.2,1970.67
15.08183,19724,1947.6
15.15761,19723.9,2037.72
15.23340,19723.8,2076.04
15.30919,19723.6,2097.74
15.38498,19723.5,2101.76
15.46077,19723.3,2088.05
15.53655,19723.2,2073.08
15.61234,19723.1,2059.53
15.68813,19722.9,2038.48
15.76392,19722.8,2020.22
15.83971,19722.6,1991.58
15.91549,19722.5,1967.15
15.99128,19722.4,1938.23
16.06707,19722.2,1908.11
16.14286,19722.1,1858.35
16.21865,19721.9,1854.06
16.29443,19721.8,1826.92
16.37022,19721.6,1825.32
16.44601,19721.5,1800.05
16.52180,19721.3,1780.92
16.59759,19721.2,1727.78
16.67337,19721.1,1714.36
16.74916,19720.9,1649.83
16.82495,19720.8,1629.32
16.90074,19720.6,1611.18
16.97653,19720.5,1580.71
17.05232,19720.3,1550.42
17.12810,19720.2,1494.33
17.20389,19720,1463.25
17.27968,19719.9,1415.98
17.35547,19719.7,1402.71
17.43126,19719.6,1399.67
17.50704,19719.5,1367.73
17.58283,19719.3,1313.37
17.65862,19719.2,1291.17
17.73441,19719,1242.67
17.81020,19718.9,1234.66
17.88598,19718.8,1183
17.96177,19718.6,1172.81
18.03756,19718.5,1125.47
18.11335,19718.3,1150.66
18.18914,19718.2,1131.68
18.26492,19718,1089.33
18.34071,19717.9,1092.32
18.41650,19717.8,1014.84
18.49229,19717.6,1039.36
18.56808,19717.5,995.012
18.64386,19717.3,1033.73
18.71965,19717.2,871.045
18.79544,19717.1,841.303
18.87123,19716.9,810.357
18.94702,19716.8,827.439
19.02281,19716.6,765.924
19.09859,19716.5,682.309
19.17438,19716.3,399.68
19.25017,19716.2,243.6
19.32596,19716.1,187.968
19.40175,19715.9,66.6022
19.47753,19715.8,57.7058
19.55332,19715.6,0.435277
19.62911,19715.5,8.54692
19.70490,19715.4,48.5916
19.78069,19715.2,21.0603
19.85647,19715.1,99.844
19.93226,19714.9,145.997
20.00805,19714.8,215.856
20.08384,19714.6,212.229
20.15963,19714.5,208.389
20.23541,19714.4,268.775
20.31120,19714.2,259.336
20.38699,19714.1,193.012
20.46278,19713.9,237.734
20.53857,19713.8,238.805
20.61435,19713.6,281.529
20.69014,19713.5,332.76
20.76593,19713.3,371.021
20.84172,19713.2,344.525
20.91751,19713,365.572
20.99329,19712.9,560.909
21.06908,19712.7,543.32
21.14487,19712.6,476.627
21.22066,19712.4,604.612
21.29645,19712.3,647.648
21.37224,19712.1,725.792
21.44802,19712,725.564
21.52381,19711.8,766.383
21.59960,19711.7,604.677
21.67539,19711.5,632.689
21.75118,19711.4,960.764
21.82696,19711.2,712.648
21.90275,19711.1,811.221
21.97854,19710.9,809.476
22.05433,19710.8,838.72
22.13012,19710.6,849.387
22.20590,19710.5,942.951
22.28169,19710.3,932.906
22.35748,19710.2,909.506
22.43327,19710.1,893.09
22.50906,19709.9,942.56
22.58484,19709.8,840.12
22.66063,19709.6,828.418
22.73642,19709.5,808.032
22.81221,19709.3,783.621
22.88800,19709.2,713.815
22.96378,19709.1,724.976
23.03957,19708.9,670.127
23.11536,19708.8,583.193
23.19115,19708.6,662.869
23.26694,19708.5,1057.19
23.34272,19708.4,1051.04
23.41851,19708.2,1051.6
23.49430,19708.1,1068.77
23.57009,19707.9,1039.22
23.64588,19707.8,1018.46
23.72167,19707.7,1045.45
23.79745,19707.5,1039.03
23.87324,19707.4,1046.19
23.94903,19707.2,1044
24.02482,19707.1,1058.25
24.10061,19707,1056.37
24.17639,19706.8,1044.8
24.25218,19706.7,1042.32
24.32797,19706.5,1049.21
24.40376,19706.4,1048.06
24.47955,19706.3,1071.69
24.55533,19706.1,1070.05
24.63112,19706,1072.7
24.70691,19705.8,1066.66
24.78270,19705.7,1090.67
24.85849,19705.6,1114.86
24.93427,19705.4,1130.56
25.01006,19705.3,1133.41
25.08585,19705.1,1138.66
25.16164,19705,1140.18
25.23743,19704.9,1148.22
25.31321,19704.7,1163.84
25.38900,19704.6,1186.07
25.46479,19704.4,1184.72
25.54058,19704.3,1193.26
25.61637,19704.2,1197.45
25.69216,19704,1188.23
25.76794,19703.9,1208.73
25.84373,19703.7,1213.78
25.91952,19703.6,1216.94
25.99531,19703.5,1219.47
26.07110,19703.3,1221.3
26.14688,19703.2,1214.14
26.22267,19703,1214.08
26.29846,19702.9,1227.21
26.37425,19702.7,1236.7
26.45004,19702.6,1245.68
26.52582,19702.5,1248.53
26.60161,19702.3,1247.62
26.67740,19702.2,1244.53
26.75319,19702,1245.09
26.82898,19701.9,1250.31
26.90476,19701.8,1256.11
26.98055,19701.6,1251.22
27.05634,19701.5,1242.4
27.13213,19701.3,1241.84
27.20792,19701.2,1239.69
27.28370,19701.1,1238.06
27.35949,19700.9,1242.05
27.43528,19700.8,1228.15
27.51107,19700.6,1221.5
27.58686,19700.5,1219.1
27.66264,19700.4,1220.44
27.73843,19700.2,1219.51
27.81422,19700.1,1220.34
27.89001,19699.9,1221.6
27.96580,19699.8,1215.67
28.04159,19699.7,1211.72
28.11737,19699.5,1215.45
28.19316,19699.4,1219.08
28.26895,19699.2,1222.43
28.34474,19699.1,1227.27
28.42053,19699,1230.3
28.49631,19698.8,1224.89
28.57210,19698.7,1221.89
28.64789,19698.5,1223.79
28.72368,19698.4,1218.65
28.79947,19698.3,1218.29
28.87525,19698.1,1220.22
28.95104,19698,1218.82
29.02683,19697.8,1207.28
29.10262,19697.7,1199.38
29.17841,19697.6,1199.1
29.25419,19697.4,1196.06
29.32998,19697.3,1193.74
29.40577,19697.1,1188.28
29.48156,19697,1179
29.55735,19696.9,1170.17
29.63313,19696.7,1181.3
29.70892,19696.6,1183.42
29.78471,19696.4,1178.27
29.86050,19696.3,1166.11
29.93629,19696.2,1165.45
30.01207,19696,1155.01
30.08786,19695.9,1156.63
30.16365,19695.7,1157.31
30.23944,19695.6,1152.14
30.31523,19695.5,1152.35
