t_ms,N,N0
0.11211,113342,61372.9
0.22422,116771,56778.3
0.33633,116112,53373.4
0.44844,114481,50523.3
0.56054,112854,48093.1
0.67265,111368,46173.2
0.78476,110095,44431.7
0.89687,108830,42799.9
1.00898,107864,41628.6
1.12109,107128,40495.8
1.23320,106484,39650
1.34531,105930,38847.3
1.45741,105866,38547.7
1.56952,105608,38424.7
1.68163,105844,38486.3
1.79374,105759,38402.6
1.90585,105850,38362.4
2.01796,106075,38386.7
2.13007,106092,38311.4
2.24218,106063,38257
2.35428,106005,38237.6
2.46639,105897,38117.1
2.57850,105885,38120.9
2.69061,105804,38068.4
2.80272,105842,38259.5
2.91483,105766,38153.2
3.02694,105787,38076.4
3.13905,105982,38066.3
3.25115,105762,38021.3
3.36326,105812,37965
3.47537,105721,37986.8
3.58748,105619,37922.8
3.69959,105800,38136.3
3.81170,105951,38171.6
3.92381,105866,38189.5
4.03592,105748,38377.8
4.14802,105696,38236.7
4.26013,105751,38302.3
4.37224,105858,38290.6
4.48435,105648,38107
4.59646,105759,38176.6
4.70857,105970,38325
4.82068,105795,38077.1
4.93279,105629,37765.9
5.04489,105835,37759
5.15700,105995,37736
5.26911,105912,37713.3
5.38122,105940,37735.1
5.49333,105794,37907.4
5.60544,105746,37915.4
5.71755,105860,38125.6
5.82966,105987,38432.6
5.94176,105906,38299.2
6.05387,105768,38384.3
6.16598,105806,38447.8
6.27809,105806,38371.9
6.39020,105642,38181.9
6.50231,105696,38257.1
6.61442,105837,38268.7
6.72653,105922,38408.5
6.83863,105944,38509.5
6.95074,106151,38816.4
7.06285,105900,38542.6
7.17496,105924,38381.1
7.28707,106112,38418.9
7.39918,105870,38235
7.51129,105846,38338
7.62340,105685,38290.7
7.73550,105710,38243.1
7.84761,105755,38243.6
7.95972,105961,38260.3
8.07183,105929,38074.3
8.18394,105841,38202.7
8.29605,105766,38126.4
8.40816,105787,38227.7
8.52027,105804,38268.6
8.63237,105877,38482.8
8.74448,105910,38495.2
8.85659,105996,38493.5
8.96870,106000,38461.1
9.08081,105740,38310.5
9.19292,106022,38507.5
9.30503,106021,38562.1
9.41714,106023,38500.9
9.52924,106096,38417.9
9.64135,105952,38380.5
9.75346,105911,38367.5
9.86557,105937,38182.1
9.97768,105754,38205.3
10.08979,105786,38227.1
10.20190,105555,38177.2
10.31401,105587,38145.4
10.42611,105635,38041
10.53822,105703,38179.5
10.65033,105893,38236.8
10.76244,105670,38034.5
10.87455,105587,38033.4
10.98666,105640,38017.4
11.09877,105768,38147.7
11.21088,105892,38348.4
11.32298,105844,39143.1
11.43509,105796,39600.8
11.54720,105747,39952.9
11.65931,105694,40073
11.77142,105635,40131.3
11.88353,105572,40276
11.99564,105508,40426.1
12.10775,105444,40579.7
12.21985,105382,40848.1
12.33196,105324,41097.1
12.44407,105269,41353.8
12.55618,105216,41610.5
12.66829,105164,41709.4
12.78040,105114,41942.9
12.89251,105063,42128.7
13.00462,105012,42230.9
13.11672,104961,42294.9
13.22883,104907,42258.4
13.34094,104853,42388
13.45305,104798,42534.1
13.56516,104742,42480.8
13.67727,104685,42567.4
13.78938,104629,42766.6
13.90149,104574,42886.2
14.01359,104520,43154.2
14.12570,104468,43264.4
14.23781,104418,43291.1
14.34992,104369,43303.1
14.46203,104321,43309.7
14.57414,104272,43372.7
14.68625,104224,43357.4
14.79836,104174,43437.3
14.91046,104124,43539
15.02257,104073,43571.8
15.13468,104021,43468.4
15.24679,103968,43394
15.35890,103916,43416.3
15.47101,103864,43384.7
15.58312,103813,43451.6
15.69523,103763,43543.1
15.80733,103714,43602.2
15.91944,103667,43678.7
16.03155,103620,43720.3
16.14366,103574,43796.1
16.25577,103529,43866.7
16.36788,103483,43856.4
16.47999,103437,43857.7
16.59210,103390,43930.3
16.70420,103342,43856.3
16.81631,103294,43771.9
16.92842,103246,43738.1
17.04053,103197,43803.2
17.15264,103148,43886.7
17.26475,103100,43897.5
17.37686,103053,43964.9
17.48897,103007,43860.3
17.60107,102963,43817.9
17.71318,102918,43756.9
17.82529,102875,43724.2
17.93740,102832,43674.7
18.04951,102789,43770.5
18.16162,102745,43821.3
18.27373,102702,43909.4
18.38584,102658,43980.2
18.49794,102614,43941.2
18.61005,102569,43824.8
18.72216,102524,43833
18.83427,102479,43797.5
18.94638,102434,43787.4
19.05849,102390,43775.8
19.17060,102346,43733.7
19.28271,102304,43652.1
19.39481,102262,43596.7
19.50692,102220,43654.3
19.61903,102180,43748.5
19.73114,102140,43759.6
19.84325,102100,43746.7
19.95536,102060,43696.5
20.06747,102019,43682.7
20.17958,101978,43666
20.29168,101937,43682.4
20.40379,101896,43725.1
20.51590,101855,43767.8
20.62801,101813,43783.5
20.74012,101772,43707.6
20.85223,101731,43653.2
20.96434,101691,43636.2
21.07645,101651,43577.9
21.18855,101612,43464
21.30066,101574,43449.3
21.41277,101536,43455.7
21.52488,101498,43425.1
21.63699,101461,43420.8
21.74910,101424,43412.5
21.86121,101387,43497.9
21.97332,101350,43488
22.08542,101312,43404.7
22.19753,101275,43403.6
22.30964,101237,43442.6
22.42175,101199,43517.5
22.53386,101161,43494
22.64597,101123,43417.9
22.75808,101086,43416.1
22.87019,101049,43358.9
22.98229,101013,43317.3
23.09440,100977,43296.2
23.20651,100942,43257.8
23.31862,100907,43216.2
23.43073,100872,43216.8
23.54284,100838,43166.3
23.65495,100803,43186.8
23.76706,100769,43140.7
23.87916,100735,43033.1
23.99127,100700,43031.5
24.10338,100666,43068.5
24.21549,100632,43107.5
24.32760,100598,43067.8
24.43971,100563,43071.8
24.55182,100529,43166.8
24.66393,100495,43086.2
24.77603,100461,43105.3
24.88814,100428,43080
25.00025,100394,43034.1
25.11236,100362,43000.3
25.22447,100329,43009.1
25.33658,100297,42998.4
25.44869,100266,42943.1
25.56080,100234,42892.7
25.67290,100203,42807.2
25.78501,100172,42681.2
25.89712,100141,42673.9
26.00923,100110,42595.5
26.12134,100079,42536.7
26.23345,100048,42642.3
26.34556,100017,42724.7
26.45767,99986.6,42699.4
26.56977,99956,42621.3
26.68188,99925.4,42610.6
26.79399,99894.9,42592
26.90610,99864.6,42587.1
27.01821,99834.5,42556.4
27.13032,99804.7,42595.2
27.24243,99775.3,42525.4
27.35454,99746.2,42576.6
27.46664,99717.4,42547.7
27.57875,99688.9,42520.7
27.69086,99660.6,42496.8
27.80297,99632.4,42402.8
27.91508,99604.5,42293.5
28.02719,99576.6,42264.3
28.13930,99548.8,42286.9
28.25141,99521.1,42298
28.36351,99493.4,42225.1
28.47562,99465.8,42213.4
28.58773,99438.2,42197.9
28.69984,99410.7,42153.5
28.81195,99383.2,42091.3
28.92406,99356,42085.3
29.03617,99329,42059.5
29.14828,99302.1,42078.4
29.26038,99275.5,42072.4
29.37249,99249.1,42092
29.48460,99222.9,42086.8
29.59671,99197,42064.3
29.70882,99171.3,42050.8
29.82093,99145.8,41958.2
29.93304,99120.5,41971.5
30.04515,99095.4,41933.4
30.15725,99070.4,41932.6
30.26936,99045.6,41903.6
