t_ms,N,N0
0.11211,113342,61372.9
0.22422,116771,56778.3
0.33633,116112,53373.4
0.44844,114481,50523.3
0.56054,112854,48093.1
0.67265,111368,46173.2
0.78476,110095,44431.7
0.89687,108830,42799.9
1.00898,107864,41628.6
1.12109,107128,40495.8
1.23320,106484,39650
1.34531,105930,38847.3
1.45741,105866,38547.7
1.56952,105608,38424.7
1.68163,105844,38486.3
1.79374,105759,38402.6
1.90585,105850,38362.4
2.01796,106075,38386.7
2.13007,106092,38311.4
2.24218,106063,38257
2.35428,106005,38237.6
2.46639,105897,38117.1
2.57850,105885,38120.9
2.69061,105804,38068.4
2.80272,105842,38259.5
2.91483,105766,38153.2
3.02694,105787,38076.4
3.13905,105982,38066.3
3.25115,105762,38021.3
3.36326,105812,37965
3.47537,105721,37986.8
3.58748,105619,37922.8
3.69959,105800,38136.3
3.81170,105951,38171.6
3.92381,105866,38189.5
4.03592,105748,38377.8
4.14802,105696,38236.7
4.26013,105751,38302.3
4.37224,105858,38290.6
4.48435,105648,38107
4.59646,105759,38176.6
4.70857,105970,38325
4.82068,105795,38077.1
4.93279,105629,37765.9
5.04489,105835,37759
5.15700,105995,37736
5.26911,105912,37713.3
5.38122,105940,37735.1
5.49333,105794,37907.4
5.60544,105746,37915.4
5.71755,105860,38125.6
5.82966,105987,38432.6
5.94176,105906,38299.2
6.05387,105768,38384.3
6.16598,105806,38447.8
6.27809,105806,38371.9
6.39020,105642,38181.9
6.50231,105696,38257.1
6.61442,105837,38268.7
6.72653,105922,38408.5
6.83863,105944,38509.5
6.95074,106151,38816.4
7.06285,105900,38542.6
7.17496,105924,38381.1
7.28707,106112,38418.9
7.39918,105870,38235
7.51129,105846,38338
7.62340,105685,38290.7
7.73550,105710,38243.1
7.84761,105755,38243.6
7.95972,105961,38260.3
8.07183,105929,38074.3
8.18394,105841,38202.7
8.29605,105766,38126.4
8.40816,105787,38227.7
8.52027,105804,38268.6
8.63237,105877,38482.8
8.74448,105910,38495.2
8.85659,105996,38493.5
8.96870,106000,38461.1
9.08081,105740,38310.5
9.19292,106022,38507.5
9.30503,106021,38562.1
9.41714,106023,38500.9
9.52924,106096,38417.9
9.64135,105952,38380.5
9.75346,105911,38367.5
9.86557,105937,38182.1
9.97768,105754,38205.3
10.08979,105786,38227.1
10.20190,105555,38177.2
10.31401,105587,38145.4
10.42611,105635,38041
10.53822,105703,38179.5
10.65033,105893,38236.8
10.76244,105670,38034.5
10.87455,105587,38033.4
10.98666,105640,38017.4
11.09877,105768,38147.7
11.21088,105892,38348.4
11.32298,105846,39100.4
11.43509,105808,39332.8
11.54720,105780,37930.5
11.65931,105760,39023.8
11.77142,105745,39382.5
11.88353,105732,38915.7
11.99564,105721,39328.2
12.10775,105711,34915.4
12.21985,105701,32562.2
12.33196,105691,38122.3
12.44407,105681,37311.5
12.55618,105670,37052.1
12.66829,105659,36050.5
12.78040,105648,34419.5
12.89251,105637,32419
13.00462,105625,27466.2
13.11672,105614,11764.6
13.22883,105602,0
13.34094,105591,0
13.45305,105579,4944.29
13.56516,105567,11422.2
13.67727,105556,16942.8
13.78938,105544,18413.2
13.90149,105533,19057.1
14.01359,105522,18527.6
14.12570,105510,18194.8
14.23781,105499,17595.1
14.34992,105488,16742.4
14.46203,105476,16304.5
14.57414,105465,15768.7
14.68625,105454,15188.3
14.79836,105443,14502.1
14.91046,105431,13957.8
15.02257,105420,13380.3
15.13468,105409,13077.1
15.24679,105398,12785.1
15.35890,105387,12500.2
15.47101,105375,12201.4
15.58312,105364,11941.3
15.69523,105353,11603.6
15.80733,105342,11234.2
15.91944,105331,10885.9
16.03155,105320,10548.5
16.14366,105309,10361
16.25577,105298,10142.8
16.36788,105287,10061.5
16.47999,105276,9940.6
16.59210,105264,9800.79
16.70420,105253,9657.88
16.81631,105242,9552.17
16.92842,105231,9372.93
17.04053,105220,9212.46
17.15264,105209,9096.37
17.26475,105198,8954.06
17.37686,105187,8781.86
17.48897,105176,8597.3
17.60107,105165,8543.52
17.71318,105154,8519.88
17.82529,105143,8547.65
17.93740,105132,8540.78
18.04951,105122,8556.41
18.16162,105111,8609.2
18.27373,105100,8597.79
18.38584,105089,8584.74
18.49794,105078,8494.87
18.61005,105067,8472.67
18.72216,105056,8513.12
18.83427,105046,8590.59
18.94638,105035,8641.23
19.05849,105024,8669.82
19.17060,105013,8719.81
19.28271,105002,8699.3
19.39481,104991,8677.05
19.50692,104981,8664.3
19.61903,104970,8693.18
19.73114,104959,8782.77
19.84325,104948,8864.97
19.95536,104937,8944.64
20.06747,104927,9011.26
20.17958,104916,9065.78
20.29168,104905,9125.06
20.40379,104894,9153.14
20.51590,104884,9227.98
20.62801,104873,9310.65
20.74012,104862,9385.37
20.85223,104852,9378.4
20.96434,104841,9377.07
21.07645,104830,9369.19
21.18855,104820,9363.29
21.30066,104809,9353.8
21.41277,104798,9420.01
21.52488,104788,9467.78
21.63699,104777,9527.19
21.74910,104766,9544.53
21.86121,104756,9638.01
21.97332,104745,9733.44
22.08542,104735,9839.98
22.19753,104724,9932.5
22.30964,104713,10071.1
22.42175,104703,10178.1
22.53386,104692,10295.2
22.64597,104682,10469.1
22.75808,104671,10598.3
22.87019,104661,10771.2
22.98229,104650,10919.6
23.09440,104640,11047.5
23.20651,104629,11167.7
23.31862,104619,11362.6
23.43073,104608,11481.1
23.54284,104598,11571.5
23.65495,104587,11674.6
23.76706,104577,11812.7
23.87916,104566,11984.9
23.99127,104556,12121.2
24.10338,104545,12144.4
24.21549,104535,12140.1
24.32760,104524,12148
24.43971,104514,12170.2
24.55182,104504,12195.1
24.66393,104493,12162.8
24.77603,104483,12141.8
24.88814,104472,12108
25.00025,104462,12143.2
25.11236,104452,12238.6
25.22447,104441,12326.9
25.33658,104431,12422.1
25.44869,104420,12565.3
25.56080,104410,12754.1
25.67290,104400,12904.5
25.78501,104389,13085.4
25.89712,104379,13272.1
26.00923,104369,13449.4
26.12134,104358,13644
26.23345,104348,13815.9
26.34556,104338,13937.7
26.45767,104327,14039
26.56977,104317,14114.8
26.68188,104307,14222.7
26.79399,104296,14286.9
26.90610,104286,14349.3
27.01821,104276,14407.2
27.13032,104265,14507.6
27.24243,104255,14575.9
27.35454,104245,14634.7
27.46664,104235,14709.6
27.57875,104224,14800.5
27.69086,104214,14901.4
27.80297,104204,14969.2
27.91508,104194,15074.8
28.02719,104183,15127.2
28.13930,104173,15185.4
28.25141,104163,15307.8
28.36351,104153,15484.9
28.47562,104142,15594.9
28.58773,104132,15699.5
28.69984,104122,15819.9
28.81195,104112,15925
28.92406,104102,16044.5
29.03617,104092,16182.7
29.14828,104081,16260.8
29.26038,104071,16328.8
29.37249,104061,16380.3
29.48460,104051,16489.1
29.59671,104041,16601.2
29.70882,104031,16655
29.82093,104021,16781
29.93304,104010,16948.1
30.04515,104000,17121.8
30.15725,103990,17273
30.26936,103980,17448.5
30.38147,103970,17619.5
30.49358,103960,17722.6
30.60569,103950,17785.8
30.71780,103940,17919.5
30.82991,103930,17988.7
