t_ms,N,N0
0.11211,113342,61372.9
0.22422,116771,56778.3
0.33633,116112,53373.4
0.44844,114481,50523.3
0.56054,112854,48093.1
0.67265,111368,46173.2
0.78476,110095,44431.7
0.89687,108830,42799.9
1.00898,107864,41628.6
1.12109,107128,40495.8
1.23320,106484,39650
1.34531,105930,38847.3
1.45741,105866,38547.7
1.56952,105608,38424.7
1.68163,105844,38486.3
1.79374,105759,38402.6
1.90585,105850,38362.4
2.01796,106075,38386.7
2.13007,106092,38311.4
2.24218,106063,38257
2.35428,106005,38237.6
2.46639,105897,38117.1
2.57850,105885,38120.9
2.69061,105804,38068.4
2.80272,105842,38259.5
2.91483,105766,38153.2
3.02694,105787,38076.4
3.13905,105982,38066.3
3.25115,105762,38021.3
3.36326,105812,37965
3.47537,105721,37986.8
3.58748,105619,37922.8
3.69959,105800,38136.3
3.81170,105951,38171.6
3.92381,105866,38189.5
4.03592,105748,38377.8
4.14802,105696,38236.7
4.26013,105751,38302.3
4.37224,105858,38290.6
4.48435,105648,38107
4.59646,105759,38176.6
4.70857,105970,38325
4.82068,105795,38077.1
4.93279,105629,37765.9
5.04489,105835,37759
5.15700,105995,37736
5.26911,105912,37713.3
5.38122,105940,37735.1
5.49333,105794,37907.4
5.60544,105746,37915.4
5.71755,105860,38125.6
5.82966,105987,38432.6
5.94176,105906,38299.2
6.05387,105768,38384.3
6.16598,105806,38447.8
6.27809,105806,38371.9
6.39020,105642,38181.9
6.50231,105696,38257.1
6.61442,105837,38268.7
6.72653,105922,38408.5
6.83863,105944,38509.5
6.95074,106151,38816.4
7.06285,105900,38542.6
7.17496,105924,38381.1
7.28707,106112,38418.9
7.39918,105870,38235
7.51129,105846,38338
7.62340,105685,38290.7
7.73550,105710,38243.1
7.84761,105755,38243.6
7.95972,105961,38260.3
8.07183,105929,38074.3
8.18394,105841,38202.7
8.29605,105766,38126.4
8.40816,105787,38227.7
8.52027,105804,38268.6
8.63237,105877,38482.8
8.74448,105910,38495.2
8.85659,105996,38493.5
8.96870,106000,38461.1
9.08081,105740,38310.5
9.19292,106022,38507.5
9.30503,106021,38562.1
9.41714,106023,38500.9
9.52924,106096,38417.9
9.64135,105952,38380.5
9.75346,105911,38367.5
9.86557,105937,38182.1
9.97768,105754,38205.3
10.08979,105786,38227.1
10.20190,105555,38177.2
10.31401,105587,38145.4
10.42611,105635,38041
10.53822,105703,38179.5
10.65033,105893,38236.8
10.76244,105670,38034.5
10.87455,105587,38033.4
10.98666,105640,38017.4
11.09877,105768,38147.7
11.21088,105892,38348.4
11.32298,105844,39141
11.43509,105797,39595.5
11.54720,105748,39970.9
11.65931,105695,40122.9
11.77142,105638,40234.3
11.88353,105576,40342.6
11.99564,105511,40387.1
12.10775,105445,40415.7
12.21985,105379,40595.4
12.33196,105315,40739.1
12.44407,105254,40915.9
12.55618,105197,41148.9
12.66829,105143,41431.6
12.78040,105093,41730
12.89251,105045,41893.9
13.00462,104999,42046.6
13.11672,104952,42231.8
13.22883,104904,42319.3
13.34094,104855,42497.4
13.45305,104802,42584
13.56516,104746,42736.3
13.67727,104688,42816.3
13.78938,104627,42888.3
13.90149,104567,43071.1
14.01359,104507,43266.3
14.12570,104450,43237.3
14.23781,104396,43338.5
14.34992,104345,43406.8
14.46203,104297,43453.5
14.57414,104251,43358.8
14.68625,104206,43458.3
14.79836,104161,43668.9
14.91046,104116,43841.2
15.02257,104069,43850.1
15.13468,104020,43954.3
15.24679,103969,43997.3
15.35890,103916,44068.3
15.47101,103862,44107.5
15.58312,103806,44221.2
15.69523,103751,44300.1
15.80733,103698,44262.4
15.91944,103647,44367.5
16.03155,103598,44342.3
16.14366,103552,44398
16.25577,103507,44463
16.36788,103464,44518.3
16.47999,103421,44511.1
16.59210,103378,44603.1
16.70420,103335,44632.3
16.81631,103289,44721.7
16.92842,103243,44726.5
17.04053,103194,44748.5
17.15264,103145,44768.8
17.26475,103094,44802.6
17.37686,103044,44912.3
17.48897,102994,44921.4
17.60107,102946,44943.1
17.71318,102900,44973.1
17.82529,102855,44980
17.93740,102812,44999.1
18.04951,102770,45026
18.16162,102729,45092.8
18.27373,102688,45166.1
18.38584,102647,45163.7
18.49794,102606,45203.2
18.61005,102564,45299.6
18.72216,102520,45220.2
18.83427,102475,45243.2
18.94638,102429,45307.8
19.05849,102383,45344.5
19.17060,102337,45274.2
19.28271,102291,45353.9
19.39481,102247,45283.9
19.50692,102204,45270.5
19.61903,102162,45281.3
19.73114,102122,45363.7
19.84325,102082,45418.4
19.95536,102043,45399.3
20.06747,102005,45399.2
20.17958,101967,45414.1
20.29168,101928,45420.5
20.40379,101888,45415.6
20.51590,101848,45435.7
20.62801,101807,45396.3
20.74012,101765,45438.6
20.85223,101723,45511.6
20.96434,101681,45526
21.07645,101639,45526.4
21.18855,101597,45522.7
21.30066,101557,45519.8
21.41277,101518,45488.7
21.52488,101479,45455.3
21.63699,101442,45477.9
21.74910,101405,45487
21.86121,101369,45478.5
21.97332,101333,45477.4
22.08542,101297,45468.9
22.19753,101260,45456.9
22.30964,101223,45458.8
22.42175,101185,45472.9
22.53386,101147,45539.8
22.64597,101109,45598.7
22.75808,101070,45680
22.87019,101032,45642.6
22.98229,100993,45596.7
23.09440,100955,45576.7
23.20651,100918,45554.1
23.31862,100882,45434.4
23.43073,100846,45463.8
23.54284,100811,45466.3
23.65495,100777,45501.6
23.76706,100743,45454.2
23.87916,100710,45471.7
23.99127,100676,45458.1
24.10338,100642,45452.3
24.21549,100608,45550.2
24.32760,100574,45557.8
24.43971,100539,45599.2
24.55182,100504,45591.7
24.66393,100468,45592
24.77603,100433,45589.6
24.88814,100397,45591.9
25.00025,100362,45604.9
25.11236,100328,45574.1
25.22447,100294,45539.7
25.33658,100261,45486.4
25.44869,100228,45444
25.56080,100196,45437.8
25.67290,100164,45367.1
25.78501,100133,45374.7
25.89712,100102,45412.4
26.00923,100071,45352.7
26.12134,100039,45330.8
26.23345,100008,45394.3
26.34556,99976.2,45466.4
26.45767,99944.2,45483.6
26.56977,99912,45453.8
26.68188,99879.7,45413.4
26.79399,99847.4,45317.8
26.90610,99815.1,45421.8
27.01821,99783.1,45431.1
27.13032,99751.5,45447.1
27.24243,99720.3,45399.5
27.35454,99689.6,45383.4
27.46664,99659.4,45356.9
27.57875,99629.5,45307.9
27.69086,99600.1,45208.1
27.80297,99571,45217.4
27.91508,99542.1,45192.9
28.02719,99513.3,45168.1
28.13930,99484.6,45163.7
28.25141,99455.9,45145.9
28.36351,99427,45139.1
28.47562,99397.9,45133.6
28.58773,99368.7,45174.6
28.69984,99339.3,45190.8
28.81195,99309.9,45170.5
28.92406,99280.4,45237.2
29.03617,99251.1,45237.5
29.14828,99221.9,45170
29.26038,99193.1,45150
29.37249,99164.6,45180.1
29.48460,99136.5,45233.1
29.59671,99108.8,45249.9
29.70882,99081.5,45254.6
29.82093,99054.6,45250.2
29.93304,99027.8,45215.4
30.04515,99001.3,45144.5
30.15725,98974.9,45156
30.26936,98948.5,45129.3
