t_ms,N,N0
0.11211,113342,61372.9
0.22422,116771,56778.3
0.33633,116112,53373.4
0.44844,114481,50523.3
0.56054,112854,48093.1
0.67265,111368,46173.2
0.78476,110095,44431.7
0.89687,108830,42799.9
1.00898,107864,41628.6
1.12109,107128,40495.8
1.23320,106484,39650
1.34531,105930,38847.3
1.45741,105866,38547.7
1.56952,105608,38424.7
1.68163,105844,38486.3
1.79374,105759,38402.6
1.90585,105850,38362.4
2.01796,106075,38386.7
2.13007,106092,38311.4
2.24218,106063,38257
2.35428,106005,38237.6
2.46639,105897,38117.1
2.57850,105885,38120.9
2.69061,105804,38068.4
2.80272,105842,38259.5
2.91483,105766,38153.2
3.02694,105787,38076.4
3.13905,105982,38066.3
3.25115,105762,38021.3
3.36326,105812,37965
3.47537,105721,37986.8
3.58748,105619,37922.8
3.69959,105800,38136.3
3.81170,105951,38171.6
3.92381,105866,38189.5
4.03592,105748,38377.8
4.14802,105696,38236.7
4.26013,105751,38302.3
4.37224,105858,38290.6
4.48435,105648,38107
4.59646,105759,38176.6
4.70857,105970,38325
4.82068,105795,38077.1
4.93279,105629,37765.9
5.04489,105835,37759
5.15700,105995,37736
5.26911,105912,37713.3
5.38122,105940,37735.1
5.49333,105794,37907.4
5.60544,105746,37915.4
5.71755,105860,38125.6
5.82966,105987,38432.6
5.94176,105906,38299.2
6.05387,105768,38384.3
6.16598,105806,38447.8
6.27809,105806,38371.9
6.39020,105642,38181.9
6.50231,105696,38257.1
6.61442,105837,38268.7
6.72653,105922,38408.5
6.83863,105944,38509.5
6.95074,106151,38816.4
7.06285,105900,38542.6
7.17496,105924,38381.1
7.28707,106112,38418.9
7.39918,105870,38235
7.51129,105846,38338
7.62340,105685,38290.7
7.73550,105710,38243.1
7.84761,105755,38243.6
7.95972,105961,38260.3
8.07183,105929,38074.3
8.18394,105841,38202.7
8.29605,105766,38126.4
8.40816,105787,38227.7
8.52027,105804,38268.6
8.63237,105877,38482.8
8.74448,105910,38495.2
8.85659,105996,38493.5
8.96870,106000,38461.1
9.08081,105740,38310.5
9.19292,106022,38507.5
9.30503,106021,38562.1
9.41714,106023,38500.9
9.52924,106096,38417.9
9.64135,105952,38380.5
9.75346,105911,38367.5
9.86557,105937,38182.1
9.97768,105754,38205.3
10.08979,105786,38227.1
10.20190,105555,38177.2
10.31401,105587,38145.4
10.42611,105635,38041
10.53822,105703,38179.5
10.65033,105893,38236.8
10.76244,105670,38034.5
10.87455,105587,38033.4
10.98666,105640,38017.4
11.09877,105768,38147.7
11.21088,105892,38348.4
11.32298,105844,39141
11.43509,105797,39595.4
11.54720,105748,39970.7
11.65931,105695,40120.8
11.77142,105637,40226.6
11.88353,105574,40335.9
11.99564,105508,40373.5
12.10775,105441,40406.7
12.21985,105373,40591.4
12.33196,105307,40726.3
12.44407,105243,40869
12.55618,105183,41126.3
12.66829,105127,41387.3
12.78040,105075,41736.3
12.89251,105025,41843.4
13.00462,104976,42021.1
13.11672,104926,42223.9
13.22883,104876,42305.8
13.34094,104822,42439.8
13.45305,104766,42522.6
13.56516,104705,42652.3
13.67727,104641,42743.7
13.78938,104576,42921.7
13.90149,104510,43108.1
14.01359,104446,43146.3
14.12570,104385,43116.1
14.23781,104327,43174.5
14.34992,104273,43260.1
14.46203,104221,43271.7
14.57414,104171,43302.8
14.68625,104121,43559.6
14.79836,104071,43698.4
14.91046,104020,43628.9
15.02257,103966,43644.2
15.13468,103908,43787.4
15.24679,103848,43816.5
15.35890,103786,43834.5
15.47101,103723,43909.3
15.58312,103660,43962.5
15.69523,103598,43955.4
15.80733,103540,44001.2
15.91944,103484,44055.9
16.03155,103431,44205.9
16.14366,103380,44295.1
16.25577,103330,44260.9
16.36788,103280,44254
16.47999,103229,44272.1
16.59210,103177,44265.7
16.70420,103122,44205.7
16.81631,103064,44275.3
16.92842,103005,44270.6
17.04053,102944,44303.8
17.15264,102883,44312.9
17.26475,102823,44348.9
17.37686,102765,44453
17.48897,102709,44363.3
17.60107,102655,44449.4
17.71318,102603,44512.3
17.82529,102552,44537.3
17.93740,102502,44607.5
18.04951,102452,44545.9
18.16162,102400,44582.7
18.27373,102347,44540.7
18.38584,102292,44577.1
18.49794,102234,44570.6
18.61005,102175,44514.3
18.72216,102116,44489.8
18.83427,102057,44616.2
18.94638,102000,44691.3
19.05849,101945,44791.3
19.17060,101891,44839.6
19.28271,101839,44825.8
19.39481,101788,44793.9
19.50692,101738,44784
19.61903,101687,44729.1
19.73114,101636,44667.5
19.84325,101583,44609.5
19.95536,101530,44650.4
20.06747,101475,44670.5
20.17958,101418,44694.8
20.29168,101361,44663.7
20.40379,101304,44592
20.51590,101248,44675.6
20.62801,101193,44771.9
20.74012,101140,44765.3
20.85223,101088,44731.4
20.96434,101037,44686.3
21.07645,100987,44641
21.18855,100937,44639.1
21.30066,100886,44610
21.41277,100834,44606
21.52488,100781,44545.7
21.63699,100728,44504.4
21.74910,100673,44493.7
21.86121,100618,44434.9
21.97332,100563,44393.3
22.08542,100508,44387.7
22.19753,100454,44430.4
22.30964,100401,44416.2
22.42175,100350,44441.8
22.53386,100299,44482.4
22.64597,100249,44395.2
22.75808,100199,44442
22.87019,100149,44432
22.98229,100099,44458.7
23.09440,100047,44465.4
23.20651,99994.3,44352.8
23.31862,99941,44277.2
23.43073,99887.2,44278.5
23.54284,99833.5,44195
23.65495,99780.1,44220.2
23.76706,99727.6,44231.1
23.87916,99675.9,44209.4
23.99127,99625,44276.1
24.10338,99574.9,44268
24.21549,99525.3,44188.5
24.32760,99475.8,44174.4
24.43971,99426.2,44210.1
24.55182,99376.2,44220.2
24.66393,99325.6,44173.7
24.77603,99274.2,44241.3
24.88814,99222.3,44251
25.00025,99169.8,44208.6
25.11236,99117.3,44173.8
25.22447,99065.1,44100.8
25.33658,99013.5,44065.1
25.44869,98962.7,44110.1
25.56080,98912.6,44061.7
25.67290,98863,44000.6
25.78501,98813.9,43931.2
25.89712,98765,43977
26.00923,98716,43966.2
26.12134,98666.7,43999.3
26.23345,98616.9,44039.2
26.34556,98566.6,43996.3
26.45767,98515.9,44011.2
26.56977,98464.9,43994.8
26.68188,98413.8,43900.8
26.79399,98362.8,43923.5
26.90610,98312.2,43897.6
27.01821,98262.1,43875.6
27.13032,98212.8,43836.3
27.24243,98163.9,43684.6
27.35454,98115.5,43617.1
27.46664,98067.3,43584.4
27.57875,98019.1,43588.5
27.69086,97970.7,43583.2
27.80297,97921.9,43538.2
27.91508,97872.6,43528.9
28.02719,97823,43567.5
28.13930,97773,43561.1
28.25141,97722.9,43536.6
28.36351,97672.9,43545.7
28.47562,97623.1,43474
28.58773,97573.9,43405.1
28.69984,97525.3,43375.1
28.81195,97477.2,43334.9
28.92406,97429.5,43294.7
29.03617,97382,43268.9
29.14828,97334.6,43301.6
29.26038,97286.9,43286.1
29.37249,97239,43186.2
29.48460,97190.8,43106.2
29.59671,97142.3,43127.6
29.70882,97093.4,43045.5
29.82093,97044.4,43019.4
29.93304,96995.4,43045.3
