t_ms,N,N0
0.07579,19003.7,9809.96
0.15158,20314.4,9597.45
0.22736,20688.5,9348.72
0.30315,20831.4,9102.4
0.37894,20830,8931.78
0.45473,20747.3,8671.31
0.53052,20589,8477.78
0.60630,20405,8269.99
0.68209,20341.9,8097.94
0.75788,20216.8,7924.5
0.83367,20157.2,7803.16
0.90946,20039.4,7685.88
0.98524,19968.9,7601.67
1.06103,19947.3,7550.18
1.13682,19891.9,7476.97
1.21261,19863.2,7418.32
1.28840,19854.9,7399.66
1.36419,19877.3,7387.15
1.43997,19866.8,7358.9
1.51576,19827.4,7324.75
1.59155,19850.4,7336.65
1.66734,19768.7,7317.45
1.74313,19798.2,7358.18
1.81891,19804.4,7340.61
1.89470,19822.6,7316.56
1.97049,19856.6,7282.9
2.04628,19770.6,7239
2.12207,19778.5,7244.76
2.19785,19771.2,7230.21
2.27364,19744,7218.27
2.34943,19717,7194.26
2.42522,19702.1,7131.71
2.50101,19704.8,7140.21
2.57679,19700.1,7102.49
2.65258,19667.8,7088.99
2.72837,19687.6,7115.79
2.80416,19690.6,7083.26
2.87995,19627.9,7051.73
2.95573,19635.5,7088.91
3.03152,19646.7,7069.63
3.10731,19652.6,7049.21
3.18310,19633.8,7090.4
3.25889,19613.1,7075.84
3.33467,19596.1,7072.23
3.41046,19614.8,7070.83
3.48625,19598.7,7057.89
3.56204,19638.5,7018.41
3.63783,19602.5,7002.01
3.71362,19572.4,7002.4
3.78940,19667.5,7042.78
3.86519,19535.1,6962.68
3.94098,19573.3,6961.25
4.01677,19621.4,6997.13
4.09256,19603.7,7035.18
4.16834,19650.8,7058.56
4.24413,19608,7021.62
4.31992,19644.8,7059.55
4.39571,19616.1,7034.34
4.47150,19634.8,7093.81
4.54728,19618.2,7082.13
4.62307,19649.5,7111.47
4.69886,19661.8,7090.59
4.77465,19672.9,7099.79
4.85044,19727.7,7129.26
4.92622,19737.8,7145.36
5.00201,19747.1,7169.64
5.07780,19673,7134.03
5.15359,19704,7149.64
5.22938,19679.5,7138.26
5.30516,19595.4,7092.17
5.38095,19651.8,7107.23
5.45674,19640.3,7080.51
5.53253,19680.7,7105.64
5.60832,19741.2,7138.22
5.68411,19679.3,7065.75
5.75989,19696.7,7022.92
5.83568,19666.8,7005
5.91147,19673.6,7033
5.98726,19660.3,7049.17
6.06305,19661.9,7076.67
6.13883,19646.5,7112.36
6.21462,19686.5,7093.85
6.29041,19670.1,7091.2
6.36620,19658.9,7075.77
6.44199,19641.1,7073.46
6.51777,19693.8,7075.18
6.59356,19723.4,7123.43
6.66935,19628.8,7082.23
6.74514,19613,7067.51
6.82093,19560.6,6997.23
6.89671,19569.4,6961.18
6.97250,19652.3,6968.6
7.04829,19600.1,6923.85
7.12408,19632.9,6992.05
7.19987,19623.2,7008
7.27565,19725.1,7076.7
7.35144,19732.5,7111.48
7.42723,19726.7,7125.38
7.50302,19730.9,7160.27
7.57881,19745.3,7196.67
7.65459,19743.2,7214.4
7.73038,19741.2,7300.54
7.80617,19739.1,7384.86
7.88196,19736.8,7403.33
7.95775,19734.5,7363.37
8.03354,19731.9,7340.47
8.10932,19729.2,7359.06
8.18511,19726.5,7410.12
8.26090,19723.7,7396.5
8.33669,19721,7426.43
8.41248,19718.4,7425.46
8.48826,19716,7408.68
8.56405,19713.9,7396.45
8.63984,19711.8,7433.88
8.71563,19709.9,7472.27
8.79142,19707.9,7499.41
8.86720,19705.9,7543.82
8.94299,19703.9,7575.07
9.01878,19701.8,7596.46
9.09457,19699.5,7629.35
9.17036,19697.2,7650.93
9.24614,19694.7,7661.41
9.32193,19692.2,7648.33
9.39772,19689.6,7616.55
9.47351,19687.1,7600.96
9.54930,19684.7,7604.15
9.62508,19682.4,7613.73
9.70087,19680.3,7616.2
9.77666,19678.3,7614.61
9.85245,19676.4,7629.6
9.92824,19674.5,7617.2
10.00402,19672.6,7622.85
10.07981,19670.7,7643.21
10.15560,19668.8,7682.05
10.23139,19666.7,7724.37
10.30718,19664.5,7770.87
10.38297,19662.3,7779.47
10.45875,19659.9,7781.2
10.53454,19657.5,7778.23
10.61033,19655.2,7771.86
10.68612,19652.9,7755.01
10.76191,19650.8,7754.29
10.83769,19648.7,7758.63
10.91348,19646.8,7762.93
10.98927,19645,7758.03
11.06506,19643.2,7783.67
11.14085,19641.4,7784.35
11.21663,19639.6,7763.51
11.29242,19637.8,7753.3
11.36821,19635.9,7757.12
11.44400,19633.9,7769.14
11.51979,19631.9,7804.58
11.59557,19629.7,7840.2
11.67136,19627.5,7860.4
11.74715,19625.3,7859.51
11.82294,19623.2,7851.38
11.89873,19621.1,7867.08
11.97451,19619.1,7869.61
12.05030,19617.3,7855.85
12.12609,19615.5,7840.37
12.20188,19613.7,7818.15
12.27767,19612,7822.67
12.35346,19610.3,7820.83
12.42924,19608.6,7849.22
12.50503,19606.9,7857.39
12.58082,19605.1,7876.14
12.65661,19603.3,7874.66
12.73240,19601.3,7874.03
12.80818,19599.3,7884.84
12.88397,19597.3,7877.22
12.95976,19595.3,7886.49
13.03555,19593.3,7877.89
13.11134,19591.4,7885.42
13.18712,19589.5,7912.47
13.26291,19587.8,7916.35
13.33870,19586.1,7919.72
13.41449,19584.5,7908.62
13.49028,19582.8,7909.82
13.56606,19581.2,7906.6
13.64185,19579.6,7901.82
13.71764,19578,7903.44
13.79343,19576.3,7901.82
13.86922,19574.6,7902.02
13.94500,19572.8,7904.79
14.02079,19571,7901.8
14.09658,19569.1,7898.94
14.17237,19567.3,7903.56
14.24816,19565.5,7906.51
14.32394,19563.7,7911.94
14.39973,19561.9,7942.84
14.47552,19560.2,7962.63
14.55131,19558.6,7965.01
14.62710,19557.1,7957.76
14.70289,19555.5,7936.36
14.77867,19554,7914.37
14.85446,19552.5,7925.84
14.93025,19551,7916.22
15.00604,19549.5,7906.31
15.08183,19547.9,7895.09
15.15761,19546.3,7896.9
15.23340,19544.6,7906.73
15.30919,19542.9,7915.91
15.38498,19541.2,7928.08
15.46077,19539.5,7958.82
15.53655,19537.9,7977.81
15.61234,19536.2,8000.95
15.68813,19534.6,7997.82
15.76392,19533.1,7975.79
15.83971,19531.6,7944.74
15.91549,19530.1,7955.09
15.99128,19528.7,7965.39
16.06707,19527.3,7965.09
16.14286,19525.8,7954.77
16.21865,19524.4,7951.99
16.29443,19523,7963.58
16.37022,19521.5,7962.28
16.44601,19520,7948.55
16.52180,19518.5,7949.71
16.59759,19517,7956.59
16.67337,19515.5,7982.63
16.74916,19513.9,8003
16.82495,19512.4,8001.34
16.90074,19510.8,8002.28
16.97653,19509.3,7992.61
17.05232,19507.9,7987.59
17.12810,19506.5,7976.09
17.20389,19505.1,7977.78
17.27968,19503.7,7969.72
17.35547,19502.4,7976.88
17.43126,19501.1,7993.9
17.50704,19499.8,7989.11
17.58283,19498.5,8003.43
17.65862,19497.1,8004.73
17.73441,19495.8,7997.34
17.81020,19494.4,7988.88
17.88598,19493,7989.62
17.96177,19491.6,7975.21
18.03756,19490.2,7970.85
18.11335,19488.8,7969.94
18.18914,19487.4,7958.39
18.26492,19486,7975.7
18.34071,19484.6,7969.5
18.41650,19483.3,7979.19
18.49229,19482,7991.03
18.56808,19480.7,8010.11
18.64386,19479.4,8010.15
18.71965,19478.2,8013.68
18.79544,19477,8028.32
18.87123,19475.8,8023.37
18.94702,19474.6,8021.3
19.02281,19473.4,8008.1
19.09859,19472.2,8005.99
19.17438,19470.9,7998.52
19.25017,19469.7,8004.98
19.32596,19468.4,8008.11
19.40175,19467.1,8004
19.47753,19465.8,8000.38
19.55332,19464.5,7998.11
19.62911,19463.3,8006.59
19.70490,19462,8028.05
19.78069,19460.7,8026.52
19.85647,19459.5,8033.71
19.93226,19458.4,8035.62
20.00805,19457.2,8050.27
20.08384,19456,8055.79
20.15963,19454.9,8052.68
20.23541,19453.8,8054.27
20.31120,19452.7,8042.47
20.38699,19451.6,8025
20.46278,19450.5,8014.21
20.53857,19449.4,8007.94
20.61435,19448.3,7997.93
20.69014,19447.1,8004.27
20.76593,19446,8011.78
20.84172,19444.8,8025.81
20.91751,19443.6,8046.52
20.99329,19442.5,8061.6
21.06908,19441.3,8066.66
21.14487,19440.2,8069.95
21.22066,19439.1,8057.44
21.29645,19438,8049.83
21.37224,19436.9,8043.76
21.44802,19435.8,8042.96
21.52381,19434.7,8046.18
21.59960,19433.7,8051.16
21.67539,19432.7,8051.25
21.75118,19431.7,8036.05
21.82696,19430.7,8032.87
21.90275,19429.7,8037.01
21.97854,19428.7,8049.3
22.05433,19427.7,8052.09
22.13012,19426.7,8055.83
22.20590,19425.7,8051.04
22.28169,19424.6,8044.81
22.35748,19423.6,8054.8
22.43327,19422.6,8053.28
22.50906,19421.5,8031.36
22.58484,19420.5,8036.16
22.66063,19419.5,8039.57
22.73642,19418.4,8061.42
22.81221,19417.4,8060.28
22.88800,19416.4,8061.46
22.96378,19415.4,8074.6
23.03957,19414.5,8072.91
23.11536,19413.5,8070.71
23.19115,19412.6,8069.2
23.26694,19411.7,8066.64
23.34272,19410.8,8079.58
23.41851,19409.9,8079.55
23.49430,19409,8069.99
23.57009,19408.1,8072.95
23.64588,19407.2,8087.93
23.72167,19406.3,8091.62
23.79745,19405.4,8106.8
23.87324,19404.5,8102.43
23.94903,19403.6,8102.85
24.02482,19402.7,8099.58
24.10061,19401.8,8086.18
24.17639,19400.9,8065.57
24.25218,19400,8055.17
24.32797,19399.1,8048.41
24.40376,19398.1,8048.57
24.47955,19397.3,8047.65
24.55533,19396.4,8065.12
24.63112,19395.5,8087.59
24.70691,19394.7,8103
24.78270,19393.8,8109.23
24.85849,19393,8105.13
24.93427,19392.2,8102.02
25.01006,19391.4,8098.73
25.08585,19390.6,8095.87
25.16164,19389.8,8088.14
25.23743,19389,8093.65
25.31321,19388.2,8109.81
25.38900,19387.4,8118.08
25.46479,19386.6,8122.99
25.54058,19385.8,8115.62
25.61637,19385.1,8110.54
25.69216,19384.3,8115.49
25.76794,19383.5,8111.18
25.84373,19382.7,8118.74
25.91952,19381.9,8129.85
25.99531,19381.1,8137.46
26.07110,19380.3,8141.1
26.14688,19379.5,8135.09
26.22267,19378.8,8127.55
26.29846,19378,8128.09
26.37425,19377.2,8128.05
26.45004,19376.5,8114.34
26.52582,19375.7,8093.64
26.60161,19375,8088.49
26.67740,19374.3,8091.37
26.75319,19373.6,8091.03
26.82898,19372.8,8091.34
26.90476,19372.2,8111.35
26.98055,19371.5,8112.83
27.05634,19370.8,8109.25
27.13213,19370.1,8121.93
27.20792,19369.4,8131.63
27.28370,19368.7,8142.69
27.35949,19368.1,8132.87
27.43528,19367.4,8138.7
27.51107,19366.7,8149.51
27.58686,19366,8166.99
27.66264,19365.4,8164.07
27.73843,19364.7,8171.7
27.81422,19364,8172
27.89001,19363.3,8176.24
27.96580,19362.7,8169.1
28.04159,19362,8150.64
28.11737,19361.3,8129.11
28.19316,19360.7,8124.96
28.26895,19360,8113.93
28.34474,19359.4,8103.29
28.42053,19358.8,8095.89
28.49631,19358.1,8098.9
28.57210,19357.5,8109.04
28.64789,19356.9,8102.09
28.72368,19356.3,8101.37
28.79947,19355.7,8103.19
28.87525,19355.1,8117.09
28.95104,19354.5,8125.56
29.02683,19353.9,8128.28
29.10262,19353.3,8129.2
29.17841,19352.7,8133.3
29.25419,19352.2,8142.17
29.32998,19351.6,8144.06
29.40577,19351,8153.65
29.48156,19350.5,8163.49
29.55735,19349.9,8176.34
29.63313,19349.3,8185.38
29.70892,19348.8,8185.85
29.78471,19348.2,8178.8
29.86050,19347.7,8176.27
29.93629,19347.1,8185.62
30.01207,19346.6,8187.9
30.08786,19346,8188.6
30.16365,19345.5,8185.8
30.23944,19344.9,8176.53
30.31523,19344.4,8170.78
