t_ms,N,N0
0.07579,19003.7,9809.96
0.15158,20314.4,9597.45
0.22736,20688.5,9348.72
0.30315,20831.4,9102.4
0.37894,20830,8931.78
0.45473,20747.3,8671.31
0.53052,20589,8477.78
0.60630,20405,8269.99
0.68209,20341.9,8097.94
0.75788,20216.8,7924.5
0.83367,20157.2,7803.16
0.90946,20039.4,7685.88
0.98524,19968.9,7601.67
1.06103,19947.3,7550.18
1.13682,19891.9,7476.97
1.21261,19863.2,7418.32
1.28840,19854.9,7399.66
1.36419,19877.3,7387.15
1.43997,19866.8,7358.9
1.51576,19827.4,7324.75
1.59155,19850.4,7336.65
1.66734,19768.7,7317.45
1.74313,19798.2,7358.18
1.81891,19804.4,7340.61
1.89470,19822.6,7316.56
1.97049,19856.6,7282.9
2.04628,19770.6,7239
2.12207,19778.5,7244.76
2.19785,19771.2,7230.21
2.27364,19744,7218.27
2.34943,19717,7194.26
2.42522,19702.1,7131.71
2.50101,19704.8,7140.21
2.57679,19700.1,7102.49
2.65258,19667.8,7088.99
2.72837,19687.6,7115.79
2.80416,19690.6,7083.26
2.87995,19627.9,7051.73
2.95573,19635.5,7088.91
3.03152,19646.7,7069.63
3.10731,19652.6,7049.21
3.18310,19633.8,7090.4
3.25889,19613.1,7075.84
3.33467,19596.1,7072.23
3.41046,19614.8,7070.83
3.48625,19598.7,7057.89
3.56204,19638.5,7018.41
3.63783,19602.5,7002.01
3.71362,19572.4,7002.4
3.78940,19667.5,7042.78
3.86519,19535.1,6962.68
3.94098,19573.3,6961.25
4.01677,19621.4,6997.13
4.09256,19603.7,7035.18
4.16834,19650.8,7058.56
4.24413,19608,7021.62
4.31992,19644.8,7059.55
4.39571,19616.1,7034.34
4.47150,19634.8,7093.81
4.54728,19618.2,7082.13
4.62307,19649.5,7111.47
4.69886,19661.8,7090.59
4.77465,19672.9,7099.79
4.85044,19727.7,7129.26
4.92622,19737.8,7145.36
5.00201,19747.1,7169.64
5.07780,19673,7134.03
5.15359,19704,7149.64
5.22938,19679.5,7138.26
5.30516,19595.4,7092.17
5.38095,19651.8,7107.23
5.45674,19640.3,7080.51
5.53253,19680.7,7105.64
5.60832,19741.2,7138.22
5.68411,19679.3,7065.75
5.75989,19696.7,7022.92
5.83568,19666.8,7005
5.91147,19673.6,7033
5.98726,19660.3,7049.17
6.06305,19661.9,7076.67
6.13883,19646.5,7112.36
6.21462,19686.5,7093.85
6.29041,19670.1,7091.2
6.36620,19658.9,7075.77
6.44199,19641.1,7073.46
6.51777,19693.8,7075.18
6.59356,19723.4,7123.43
6.66935,19628.8,7082.23
6.74514,19613,7067.51
6.82093,19560.6,6997.23
6.89671,19569.4,6961.18
6.97250,19652.3,6968.6
7.04829,19600.1,6923.85
7.12408,19632.9,6992.05
7.19987,19623.2,7008
7.27565,19725.1,7076.7
7.35144,19732.5,7111.48
7.42723,19726.7,7125.38
7.50302,19730.9,7160.27
7.57881,19745.3,7196.67
7.65459,19743.2,7214.41
7.73038,19741.2,7300.88
7.80617,19739.1,7384.85
7.88196,19736.8,7402.81
7.95775,19734.4,7361.72
8.03354,19731.8,7340.92
8.10932,19729.1,7361.77
8.18511,19726.3,7408.84
8.26090,19723.4,7402.85
8.33669,19720.6,7422.4
8.41248,19717.9,7417.99
8.48826,19715.5,7402.98
8.56405,19713.2,7392.08
8.63984,19711.1,7438.67
8.71563,19709,7469.16
8.79142,19706.9,7502.53
8.86720,19704.8,7545.25
8.94299,19702.7,7574.09
9.01878,19700.4,7604.06
9.09457,19697.9,7644.75
9.17036,19695.4,7644.89
9.24614,19692.7,7646.44
9.32193,19689.9,7640.73
9.39772,19687.1,7598.96
9.47351,19684.5,7582.51
9.54930,19681.9,7594.5
9.62508,19679.5,7593.09
9.70087,19677.2,7591.13
9.77666,19675.1,7600.38
9.85245,19673,7602.04
9.92824,19670.9,7615.9
10.00402,19668.8,7633.42
10.07981,19666.5,7681.86
10.15560,19664.2,7720.6
10.23139,19661.7,7770.91
10.30718,19659.1,7783.62
10.38297,19656.4,7782
10.45875,19653.7,7762.92
10.53454,19651,7746.57
10.61033,19648.5,7733.73
10.68612,19646,7730.44
10.76191,19643.7,7740.59
10.83769,19641.5,7729.97
10.91348,19639.3,7734.45
10.98927,19637.2,7737.63
11.06506,19635.1,7719.07
11.14085,19632.9,7727.12
11.21663,19630.6,7751.63
11.29242,19628.2,7767.09
11.36821,19625.7,7795.8
11.44400,19623.1,7826.5
11.51979,19620.4,7849.5
11.59557,19617.8,7831.26
11.67136,19615.2,7841.34
11.74715,19612.8,7835.65
11.82294,19610.4,7849.68
11.89873,19608.2,7831.79
11.97451,19606,7828.32
12.05030,19603.9,7817.02
12.12609,19601.7,7813.64
12.20188,19599.6,7832.68
12.27767,19597.3,7834.59
12.35346,19594.9,7826.1
12.42924,19592.4,7837.5
12.50503,19589.9,7823.99
12.58082,19587.3,7848.96
12.65661,19584.7,7868.15
12.73240,19582.1,7875
12.80818,19579.7,7873.02
12.88397,19577.3,7882.38
12.95976,19575.1,7867.89
13.03555,19572.9,7857.33
13.11134,19570.7,7853.22
13.18712,19568.6,7860.28
13.26291,19566.4,7851.15
13.33870,19564.1,7841.73
13.41449,19561.8,7845.04
13.49028,19559.3,7866.8
13.56606,19556.8,7853.33
13.64185,19554.3,7866.58
13.71764,19551.7,7850.88
13.79343,19549.2,7850.39
13.86922,19546.8,7879.93
13.94500,19544.4,7894.57
14.02079,19542.1,7904.11
14.09658,19539.9,7897.5
14.17237,19537.8,7892.69
14.24816,19535.6,7886.8
14.32394,19533.4,7885.06
14.39973,19531.2,7857.55
14.47552,19528.9,7834.34
14.55131,19526.5,7853.99
14.62710,19524,7863.56
14.70289,19521.5,7862.79
14.77867,19519,7873.56
14.85446,19516.5,7865.08
14.93025,19514.1,7857.47
15.00604,19511.7,7857.19
15.08183,19509.4,7878.22
15.15761,19507.2,7878.55
15.23340,19505,7872.79
15.30919,19502.9,7884.45
15.38498,19500.7,7921.05
15.46077,19498.5,7921.5
15.53655,19496.2,7898.23
15.61234,19493.8,7879.89
15.68813,19491.4,7847.17
15.76392,19488.9,7853.49
15.83971,19486.5,7863.45
15.91549,19484,7888.66
15.99128,19481.5,7883.83
16.06707,19479.2,7889.18
16.14286,19476.9,7883.72
16.21865,19474.7,7893.09
16.29443,19472.5,7888.54
16.37022,19470.3,7873.03
16.44601,19468.1,7870.7
16.52180,19465.9,7876.2
16.59759,19463.7,7878.3
16.67337,19461.3,7901.51
16.74916,19458.9,7894.38
16.82495,19456.5,7868.73
16.90074,19454.1,7874.49
16.97653,19451.6,7894.65
17.05232,19449.2,7878.59
17.12810,19446.8,7861.29
17.20389,19444.5,7867.92
17.27968,19442.3,7878.85
17.35547,19440.1,7864.92
17.43126,19437.9,7865.71
17.50704,19435.8,7863.66
17.58283,19433.5,7889.61
17.65862,19431.3,7873.26
17.73441,19429,7859.32
17.81020,19426.6,7874.33
17.88598,19424.2,7898.74
17.96177,19421.8,7879.5
18.03756,19419.4,7866.86
18.11335,19417,7882.81
18.18914,19414.6,7872.8
18.26492,19412.3,7872.5
18.34071,19410,7864.1
18.41650,19407.8,7857.84
18.49229,19405.6,7849.1
18.56808,19403.5,7861.17
18.64386,19401.3,7867.04
18.71965,19399,7885.1
18.79544,19396.8,7871.34
18.87123,19394.4,7882.42
18.94702,19392.1,7894.3
19.02281,19389.7,7878.94
19.09859,19387.3,7870.86
19.17438,19384.9,7852.49
19.25017,19382.6,7861.33
19.32596,19380.2,7866.88
19.40175,19378,7869.61
19.47753,19375.8,7876.45
19.55332,19373.6,7872.97
19.62911,19371.4,7859.82
19.70490,19369.2,7862.55
19.78069,19367,7840.64
19.85647,19364.8,7838.93
19.93226,19362.5,7853.2
20.00805,19360.1,7860.82
20.08384,19357.8,7852.31
20.15963,19355.4,7842.9
20.23541,19353,7850.62
20.31120,19350.7,7850.3
20.38699,19348.4,7848.26
20.46278,19346.1,7836.4
20.53857,19343.9,7831.68
20.61435,19341.7,7830.41
20.69014,19339.6,7840.55
20.76593,19337.4,7839.57
20.84172,19335.2,7842.55
20.91751,19333,7834.33
20.99329,19330.7,7834.77
21.06908,19328.4,7826.54
21.14487,19326,7811.04
21.22066,19323.7,7811.89
21.29645,19321.3,7830.46
21.37224,19319,7828.35
21.44802,19316.7,7834.48
21.52381,19314.4,7825.71
21.59960,19312.2,7808.51
21.67539,19310.1,7792.71
21.75118,19307.9,7818.34
21.82696,19305.7,7822.03
21.90275,19303.6,7816
21.97854,19301.3,7811.38
22.05433,19299.1,7801.31
22.13012,19296.8,7804.58
22.20590,19294.5,7819.9
22.28169,19292.1,7795.37
22.35748,19289.8,7800.37
22.43327,19287.5,7810.49
22.50906,19285.2,7817.82
22.58484,19282.9,7830.4
22.66063,19280.7,7817.98
22.73642,19278.5,7798.58
22.81221,19276.4,7784.5
22.88800,19274.2,7796.57
22.96378,19272,7800.77
23.03957,19269.9,7767.8
23.11536,19267.6,7753.83
23.19115,19265.4,7766.4
23.26694,19263.1,7789.58
23.34272,19260.8,7809.09
23.41851,19258.4,7811.6
23.49430,19256.1,7800.27
23.57009,19253.8,7796.36
23.64588,19251.6,7781.66
23.72167,19249.4,7793.84
23.79745,19247.2,7802.3
23.87324,19245,7802.05
23.94903,19242.9,7809.56
24.02482,19240.7,7803.66
24.10061,19238.5,7805.05
24.17639,19236.4,7790.5
24.25218,19234.1,7796.63
24.32797,19231.9,7806.81
24.40376,19229.6,7795.94
24.47955,19227.3,7802.98
24.55533,19225,7782.7
24.63112,19222.7,7767.35
24.70691,19220.5,7775.15
24.78270,19218.3,7789.11
24.85849,19216.1,7802.9
24.93427,19213.9,7809.33
25.01006,19211.8,7801.08
25.08585,19209.6,7781.76
25.16164,19207.4,7791.6
25.23743,19205.2,7804.32
25.31321,19203,7804.52
25.38900,19200.8,7786.06
25.46479,19198.5,7781.14
25.54058,19196.3,7767.89
25.61637,19194,7760.25
25.69216,19191.7,7759.82
25.76794,19189.4,7737.69
25.84373,19187.2,7733.39
25.91952,19185,7736.2
25.99531,19182.9,7761.08
26.07110,19180.7,7756.6
26.14688,19178.6,7752.84
26.22267,19176.5,7760.14
26.29846,19174.3,7798.28
26.37425,19172.1,7784.51
26.45004,19169.9,7772.98
26.52582,19167.6,7762.69
26.60161,19165.4,7761.39
26.67740,19163.1,7761.29
26.75319,19160.9,7752.95
26.82898,19158.6,7746.84
26.90476,19156.4,7739.16
26.98055,19154.2,7724.83
27.05634,19152.1,7725.79
27.13213,19149.9,7719.74
27.20792,19147.8,7724.55
27.28370,19145.6,7716.51
27.35949,19143.5,7720.7
27.43528,19141.3,7725.82
27.51107,19139.1,7747.38
27.58686,19136.9,7738.66
27.66264,19134.7,7740.87
27.73843,19132.4,7746.44
27.81422,19130.2,7746.97
27.89001,19127.9,7743.6
27.96580,19125.7,7726.55
28.04159,19123.6,7729.44
28.11737,19121.4,7717.84
28.19316,19119.3,7726.16
28.26895,19117.1,7729.36
28.34474,19115,7725.82
28.42053,19112.9,7708.52
28.49631,19110.7,7691.96
28.57210,19108.5,7708.35
28.64789,19106.3,7706.53
28.72368,19104.1,7698.21
28.79947,19101.9,7687.4
28.87525,19099.7,7700.07
28.95104,19097.5,7713.29
29.02683,19095.3,7711.68
29.10262,19093.1,7698.83
29.17841,19090.9,7687.89
29.25419,19088.8,7693.08
29.32998,19086.7,7685.34
29.40577,19084.6,7689.87
29.48156,19082.4,7682.68
29.55735,19080.3,7689.75
29.63313,19078.1,7675.57
29.70892,19075.9,7667.2
29.78471,19073.7,7671.59
29.86050,19071.5,7673.18
29.93629,19069.3,7662.25
30.01207,19067.1,7662.37
30.08786,19064.9,7648.99
30.16365,19062.8,7653.8
30.23944,19060.6,7645.89
30.31523,19058.4,7653.32
