t,HFORT,VFORT,SFORT
0.000000e+00,1.000000e+01,1.500000e-01,0.000000e+00
1.854637e-02,9.907268e+00,1.694737e-01,0.000000e+00
3.709273e-02,9.814536e+00,1.889474e-01,0.000000e+00
5.563910e-02,9.721805e+00,2.084211e-01,0.000000e+00
7.418546e-02,9.629073e+00,2.278947e-01,0.000000e+00
9.273183e-02,9.536341e+00,2.473684e-01,0.000000e+00
1.112782e-01,9.443609e+00,2.668421e-01,0.000000e+00
1.298246e-01,9.350877e+00,2.863158e-01,0.000000e+00
1.483709e-01,9.258145e+00,3.057895e-01,0.000000e+00
1.669173e-01,9.165414e+00,3.252632e-01,0.000000e+00
1.854637e-01,9.072682e+00,3.447368e-01,0.000000e+00
2.040100e-01,8.979950e+00,3.642105e-01,0.000000e+00
2.225564e-01,8.887218e+00,3.836842e-01,0.000000e+00
2.411028e-01,8.794486e+00,4.031579e-01,0.000000e+00
2.596491e-01,8.701754e+00,4.226316e-01,0.000000e+00
2.781955e-01,8.609023e+00,4.421053e-01,0.000000e+00
2.967419e-01,8.516291e+00,4.615789e-01,0.000000e+00
3.152882e-01,8.423559e+00,4.810526e-01,0.000000e+00
3.338346e-01,8.330827e+00,5.005263e-01,0.000000e+00
3.523810e-01,8.238095e+00,5.200000e-01,0.000000e+00
3.709273e-01,8.145363e+00,5.394737e-01,0.000000e+00
3.894737e-01,8.052632e+00,5.589474e-01,0.000000e+00
4.080201e-01,7.959900e+00,5.784211e-01,0.000000e+00
4.265664e-01,7.867168e+00,5.978947e-01,0.000000e+00
4.451128e-01,7.774436e+00,6.173684e-01,0.000000e+00
4.636591e-01,7.681704e+00,6.368421e-01,0.000000e+00
4.822055e-01,7.588972e+00,6.563158e-01,0.000000e+00
5.007519e-01,7.496241e+00,6.757895e-01,0.000000e+00
5.192982e-01,7.403509e+00,6.952632e-01,0.000000e+00
5.378446e-01,7.310777e+00,7.147368e-01,0.000000e+00
5.563910e-01,7.218045e+00,7.342105e-01,0.000000e+00
5.749373e-01,7.125313e+00,7.536842e-01,0.000000e+00
5.934837e-01,7.032581e+00,7.731579e-01,0.000000e+00
6.120301e-01,6.939850e+00,7.926316e-01,0.000000e+00
6.305764e-01,6.847118e+00,8.121053e-01,0.000000e+00
6.491228e-01,6.754386e+00,8.315789e-01,0.000000e+00
6.676692e-01,6.661654e+00,8.510526e-01,0.000000e+00
6.862155e-01,6.568922e+00,8.705263e-01,0.000000e+00
7.047619e-01,6.476190e+00,8.900000e-01,0.000000e+00
7.233083e-01,6.383459e+00,9.094737e-01,0.000000e+00
7.418546e-01,6.290727e+00,9.289474e-01,0.000000e+00
7.604010e-01,6.197995e+00,9.484211e-01,0.000000e+00
7.789474e-01,6.105263e+00,9.678947e-01,0.000000e+00
