t,HFORT,VFORT,SFORT
0.000000e+00,1.000000e+01,1.500000e-01,0.000000e+00
1.854637e-02,1.001261e+01,1.573656e-01,0.000000e+00
3.709273e-02,1.002522e+01,1.647311e-01,0.000000e+00
5.563910e-02,1.003783e+01,1.720967e-01,0.000000e+00
7.418546e-02,1.005045e+01,1.794622e-01,0.000000e+00
9.273183e-02,1.006306e+01,1.868278e-01,0.000000e+00
1.112782e-01,1.007567e+01,1.941933e-01,0.000000e+00
1.298246e-01,1.008828e+01,2.015589e-01,0.000000e+00
1.483709e-01,1.010089e+01,2.089245e-01,0.000000e+00
1.669173e-01,1.011350e+01,2.162900e-01,0.000000e+00
1.854637e-01,1.012612e+01,2.236556e-01,0.000000e+00
2.040100e-01,1.013873e+01,2.310211e-01,0.000000e+00
2.225564e-01,1.015134e+01,2.383867e-01,0.000000e+00
2.411028e-01,1.016395e+01,2.457522e-01,0.000000e+00
2.596491e-01,1.017656e+01,2.531178e-01,0.000000e+00
2.781955e-01,1.018917e+01,2.604834e-01,0.000000e+00
2.967419e-01,1.020178e+01,2.678489e-01,0.000000e+00
3.152882e-01,1.021440e+01,2.752145e-01,0.000000e+00
3.338346e-01,1.022701e+01,2.825800e-01,0.000000e+00
3.523810e-01,1.023962e+01,2.899456e-01,0.000000e+00
3.709273e-01,1.025223e+01,2.973111e-01,0.000000e+00
3.894737e-01,1.026484e+01,3.046767e-01,0.000000e+00
4.080201e-01,1.027745e+01,3.120422e-01,0.000000e+00
4.265664e-01,1.029007e+01,3.194078e-01,0.000000e+00
4.451128e-01,1.030268e+01,3.267734e-01,0.000000e+00
4.636591e-01,1.031529e+01,3.341389e-01,0.000000e+00
4.822055e-01,1.032790e+01,3.415045e-01,0.000000e+00
5.007519e-01,1.034051e+01,3.488700e-01,0.000000e+00
5.192982e-01,1.035312e+01,3.562356e-01,0.000000e+00
5.378446e-01,1.036573e+01,3.636011e-01,0.000000e+00
5.563910e-01,1.037835e+01,3.709667e-01,0.000000e+00
5.749373e-01,1.039096e+01,3.783323e-01,0.000000e+00
5.934837e-01,1.040357e+01,3.856978e-01,0.000000e+00
6.120301e-01,1.041618e+01,3.930634e-01,0.000000e+00
6.305764e-01,1.042879e+01,4.004289e-01,0.000000e+00
6.491228e-01,1.044140e+01,4.077945e-01,0.000000e+00
6.676692e-01,1.045402e+01,4.151600e-01,0.000000e+00
6.862155e-01,1.046663e+01,4.225256e-01,0.000000e+00
7.047619e-01,1.047924e+01,4.298912e-01,0.000000e+00
7.233083e-01,1.049185e+01,4.372567e-01,0.000000e+00
7.418546e-01,1.050446e+01,4.446223e-01,0.000000e+00
7.604010e-01,1.051707e+01,4.519878e-01,0.000000e+00
7.789474e-01,1.052968e+01,4.593534e-01,0.000000e+00
7.974937e-01,1.054230e+01,4.667189e-01,0.000000e+00
8.160401e-01,1.055491e+01,4.740845e-01,0.000000e+00
8.345865e-01,1.056752e+01,4.814501e-01,0.000000e+00
8.531328e-01,1.058013e+01,4.888156e-01,0.000000e+00
8.716792e-01,1.059274e+01,4.961812e-01,0.000000e+00
8.902256e-01,1.060535e+01,5.035467e-01,0.000000e+00
9.087719e-01,1.061796e+01,5.109123e-01,0.000000e+00
9.273183e-01,1.063058e+01,5.182778e-01,0.000000e+00
9.458647e-01,1.064319e+01,5.256434e-01,0.000000e+00
9.644110e-01,1.065580e+01,5.330090e-01,0.000000e+00
9.829574e-01,1.066841e+01,5.403745e-01,0.000000e+00
1.001504e+00,1.067014e+01,5.479356e-01,0.000000e+00
1.020050e+00,1.054847e+01,5.577121e-01,0.000000e+00
1.038596e+00,1.042681e+01,5.674887e-01,0.000000e+00
1.057143e+00,1.030514e+01,5.772653e-01,0.000000e+00
1.075689e+00,1.018348e+01,5.870419e-01,0.000000e+00
1.094236e+00,1.006181e+01,5.968185e-01,0.000000e+00
1.112782e+00,9.940150e+00,6.065951e-01,0.000000e+00
1.131328e+00,9.818486e+00,6.163716e-01,0.000000e+00
1.149875e+00,9.696822e+00,6.261482e-01,0.000000e+00
1.168421e+00,9.575158e+00,6.359248e-01,0.000000e+00
1.186967e+00,9.453494e+00,6.457014e-01,0.000000e+00
1.205514e+00,9.331830e+00,6.554780e-01,0.000000e+00
1.224060e+00,9.210165e+00,6.652546e-01,0.000000e+00
1.242607e+00,9.088501e+00,6.750311e-01,0.000000e+00
1.261153e+00,8.966837e+00,6.848077e-01,0.000000e+00
1.279699e+00,8.845173e+00,6.945843e-01,0.000000e+00
1.298246e+00,8.723509e+00,7.043609e-01,0.000000e+00
1.316792e+00,8.601845e+00,7.141375e-01,0.000000e+00
1.335338e+00,8.480180e+00,7.239141e-01,0.000000e+00
1.353885e+00,8.358516e+00,7.336907e-01,0.000000e+00
1.372431e+00,8.236852e+00,7.434672e-01,0.000000e+00
1.390977e+00,8.115188e+00,7.532438e-01,0.000000e+00
1.409524e+00,7.993524e+00,7.630204e-01,0.000000e+00
1.428070e+00,7.871860e+00,7.727970e-01,0.000000e+00
1.446617e+00,7.750195e+00,7.825736e-01,0.000000e+00
1.465163e+00,7.628531e+00,7.923502e-01,0.000000e+00
1.483709e+00,7.506867e+00,8.021267e-01,0.000000e+00
1.502256e+00,7.385203e+00,8.119033e-01,0.000000e+00
1.520802e+00,7.263539e+00,8.216799e-01,0.000000e+00
1.539348e+00,7.141875e+00,8.314565e-01,0.000000e+00
1.557895e+00,7.020211e+00,8.412331e-01,0.000000e+00
1.576441e+00,6.898546e+00,8.510097e-01,0.000000e+00
1.594987e+00,6.776882e+00,8.607863e-01,0.000000e+00
1.613534e+00,6.655218e+00,8.705628e-01,0.000000e+00
1.632080e+00,6.533554e+00,8.803394e-01,0.000000e+00
1.650627e+00,6.411890e+00,8.901160e-01,0.000000e+00
1.669173e+00,6.290226e+00,8.998926e-01,0.000000e+00
1.687719e+00,6.168561e+00,9.096692e-01,0.000000e+00
1.706266e+00,6.046897e+00,9.194458e-01,0.000000e+00
1.724812e+00,5.925233e+00,9.292223e-01,0.000000e+00
1.743358e+00,5.803569e+00,9.389989e-01,0.000000e+00
1.761905e+00,5.681905e+00,9.487755e-01,0.000000e+00
1.780451e+00,5.560241e+00,9.585521e-01,0.000000e+00
1.798997e+00,5.438576e+00,9.683287e-01,0.000000e+00
1.817544e+00,5.316912e+00,9.781053e-01,0.000000e+00
1.836090e+00,5.195248e+00,9.878818e-01,0.000000e+00
1.854637e+00,5.073584e+00,9.976584e-01,0.000000e+00
1.873183e+00,4.951920e+00,1.007435e+00,0.000000e+00
1.891729e+00,4.830256e+00,1.017212e+00,0.000000e+00
1.910276e+00,4.708591e+00,1.026988e+00,0.000000e+00
1.928822e+00,4.586927e+00,1.036765e+00,0.000000e+00
1.947368e+00,4.465263e+00,1.046541e+00,0.000000e+00
1.965915e+00,4.343599e+00,1.056318e+00,0.000000e+00
1.984461e+00,4.221935e+00,1.066095e+00,0.000000e+00
2.003008e+00,4.110135e+00,1.071115e+00,0.000000e+00
2.021554e+00,4.049303e+00,1.051562e+00,0.000000e+00
2.040100e+00,3.988471e+00,1.032009e+00,0.000000e+00
2.058647e+00,3.927639e+00,1.012455e+00,0.000000e+00
2.077193e+00,3.866807e+00,9.929023e-01,0.000000e+00
2.095739e+00,3.805975e+00,9.733491e-01,0.000000e+00
2.114286e+00,3.745143e+00,9.537959e-01,0.000000e+00
2.132832e+00,3.684311e+00,9.342427e-01,0.000000e+00
2.151378e+00,3.623479e+00,9.146896e-01,0.000000e+00
2.169925e+00,3.562647e+00,8.951364e-01,0.000000e+00
2.188471e+00,3.501815e+00,8.755832e-01,0.000000e+00
2.207018e+00,3.440982e+00,8.560301e-01,0.000000e+00
2.225564e+00,3.380150e+00,8.364769e-01,0.000000e+00
2.244110e+00,3.319318e+00,8.169237e-01,0.000000e+00
2.262657e+00,3.258486e+00,7.973706e-01,0.000000e+00
2.281203e+00,3.197654e+00,7.778174e-01,0.000000e+00
2.299749e+00,3.136822e+00,7.582642e-01,0.000000e+00
2.318296e+00,3.075990e+00,7.387111e-01,0.000000e+00
2.336842e+00,3.015158e+00,7.191579e-01,0.000000e+00
2.355388e+00,2.954326e+00,6.996047e-01,0.000000e+00
2.373935e+00,2.893494e+00,6.800516e-01,0.000000e+00
2.392481e+00,2.832662e+00,6.604984e-01,0.000000e+00
2.411028e+00,2.771830e+00,6.409452e-01,0.000000e+00
2.429574e+00,2.710997e+00,6.213921e-01,0.000000e+00
2.448120e+00,2.650165e+00,6.018389e-01,0.000000e+00
2.466667e+00,2.589333e+00,5.822857e-01,0.000000e+00
2.485213e+00,2.528501e+00,5.627325e-01,0.000000e+00
2.503759e+00,2.467669e+00,5.431794e-01,0.000000e+00
