t,N,T,eta,psd,omega_bar,U_depth
0.000000e+00,3.500000e+06,1.800000e-05,5.745125e+00,1.370542e-02,3.714392e+03,1.427760e-27
8.000000e-03,2.811068e+06,1.115643e-05,9.189061e+00,4.586014e-02,3.704420e+03,1.415401e-27
1.600000e-02,2.635472e+06,9.894132e-06,1.027093e+01,6.114184e-02,3.694408e+03,1.403042e-27
2.400000e-02,2.518071e+06,9.269347e-06,1.086666e+01,7.046669e-02,3.684356e+03,1.390684e-27
3.200000e-02,2.421745e+06,8.871705e-06,1.125284e+01,7.666457e-02,3.674258e+03,1.378328e-27
4.000000e-02,2.337005e+06,8.585261e-06,1.152405e+01,8.096171e-02,3.664100e+03,1.365972e-27
4.800000e-02,2.260253e+06,8.362707e-06,1.172372e+01,8.401652e-02,3.653899e+03,1.353616e-27
5.600000e-02,2.189735e+06,8.180575e-06,1.187534e+01,8.622457e-02,3.643656e+03,1.341260e-27
6.400000e-02,2.124421e+06,8.025705e-06,1.199298e+01,8.784053e-02,3.633360e+03,1.328904e-27
7.200000e-02,2.063607e+06,7.890098e-06,1.208568e+01,8.903599e-02,3.623006e+03,1.316549e-27
8.000000e-02,2.006768e+06,7.768640e-06,1.215944e+01,8.992961e-02,3.612607e+03,1.304193e-27
8.800000e-02,1.953479e+06,7.657843e-06,1.221850e+01,9.060618e-02,3.602162e+03,1.291837e-27
9.600000e-02,1.903389e+06,7.555228e-06,1.226600e+01,9.112718e-02,3.591657e+03,1.279481e-27
1.040000e-01,1.856193e+06,7.459045e-06,1.230419e+01,9.153759e-02,3.581095e+03,1.267125e-27
1.120000e-01,1.811628e+06,7.368015e-06,1.233474e+01,9.187092e-02,3.570486e+03,1.254769e-27
1.200000e-01,1.769464e+06,7.281151e-06,1.235898e+01,9.215261e-02,3.559829e+03,1.242413e-27
1.280000e-01,1.729495e+06,7.197657e-06,1.237801e+01,9.240166e-02,3.549101e+03,1.230057e-27
1.360000e-01,1.691538e+06,7.116973e-06,1.239260e+01,9.263296e-02,3.538319e+03,1.217703e-27
1.440000e-01,1.655431e+06,7.038645e-06,1.240347e+01,9.285794e-02,3.527488e+03,1.205357e-27
1.520000e-01,1.621029e+06,6.962320e-06,1.241118e+01,9.308468e-02,3.516605e+03,1.193027e-27
1.600000e-01,1.588200e+06,6.887637e-06,1.241609e+01,9.332028e-02,3.505642e+03,1.180697e-27
1.680000e-01,1.556826e+06,6.814401e-06,1.241847e+01,9.357040e-02,3.494628e+03,1.168367e-27
1.760000e-01,1.526801e+06,6.742402e-06,1.241863e+01,9.383972e-02,3.483560e+03,1.156036e-27
1.840000e-01,1.498026e+06,6.671463e-06,1.241681e+01,9.413168e-02,3.472431e+03,1.143706e-27
1.920000e-01,1.470415e+06,6.601406e-06,1.241330e+01,9.444928e-02,3.461225e+03,1.131376e-27
2.000000e-01,1.443887e+06,6.532151e-06,1.240819e+01,9.479518e-02,3.449962e+03,1.119046e-27
2.080000e-01,1.418369e+06,6.463601e-06,1.240162e+01,9.517123e-02,3.438643e+03,1.106716e-27
2.160000e-01,1.393795e+06,6.395644e-06,1.239376e+01,9.557922e-02,3.427253e+03,1.094386e-27
2.240000e-01,1.370104e+06,6.328186e-06,1.238475e+01,9.602107e-02,3.415786e+03,1.082056e-27
2.320000e-01,1.347239e+06,6.261209e-06,1.237460e+01,9.649766e-02,3.404260e+03,1.069726e-27
