t,N,T,eta,psd,omega_bar,U_depth
0.000000e+00,3.500000e+06,1.800000e-05,5.745125e+00,1.370542e-02,3.714392e+03,1.427760e-27
8.000000e-03,2.809974e+06,1.108811e-05,9.168169e+00,4.596859e-02,3.685114e+03,1.403535e-27
1.600000e-02,2.633862e+06,9.767608e-06,1.022803e+01,6.153101e-02,3.655631e+03,1.379315e-27
2.400000e-02,2.516741e+06,9.086756e-06,1.080135e+01,7.126102e-02,3.625939e+03,1.355096e-27
3.200000e-02,2.421346e+06,8.633682e-06,1.116500e+01,7.796689e-02,3.596011e+03,1.330878e-27
4.000000e-02,2.338039e+06,8.291779e-06,1.141383e+01,8.286008e-02,3.565765e+03,1.306659e-27
4.800000e-02,2.263092e+06,8.013691e-06,1.159101e+01,8.658824e-02,3.535292e+03,1.282441e-27
5.600000e-02,2.194647e+06,7.775883e-06,1.171991e+01,8.953759e-02,3.504589e+03,1.258222e-27
6.400000e-02,2.131589e+06,7.565059e-06,1.181465e+01,9.195671e-02,3.473597e+03,1.234004e-27
7.200000e-02,2.073148e+06,7.373130e-06,1.188446e+01,9.401387e-02,3.442280e+03,1.209803e-27
8.000000e-02,2.018750e+06,7.195183e-06,1.193494e+01,9.582318e-02,3.410711e+03,1.185619e-27
8.800000e-02,1.967936e+06,7.027734e-06,1.197023e+01,9.746853e-02,3.378886e+03,1.161452e-27
9.600000e-02,1.920321e+06,6.868124e-06,1.199354e+01,9.901294e-02,3.346709e+03,1.137284e-27
1.040000e-01,1.875578e+06,6.714659e-06,1.200696e+01,1.005026e-01,3.314198e+03,1.113116e-27
1.120000e-01,1.833426e+06,6.566169e-06,1.201190e+01,1.019731e-01,3.281405e+03,1.088948e-27
1.200000e-01,1.793619e+06,6.421649e-06,1.200965e+01,1.034542e-01,3.248326e+03,1.064780e-27
1.280000e-01,1.755942e+06,6.280111e-06,1.200158e+01,1.049675e-01,3.214816e+03,1.040613e-27
1.360000e-01,1.720200e+06,6.141131e-06,1.198815e+01,1.065340e-01,3.180963e+03,1.016445e-27
1.440000e-01,1.686225e+06,6.004296e-06,1.196989e+01,1.081713e-01,3.146792e+03,9.922830e-28
1.520000e-01,1.653866e+06,5.869300e-06,1.194718e+01,1.098910e-01,3.112296e+03,9.681326e-28
1.600000e-01,1.622987e+06,5.735480e-06,1.192157e+01,1.117076e-01,3.077274e+03,9.440320e-28
1.680000e-01,1.593467e+06,5.602936e-06,1.189205e+01,1.136341e-01,3.041898e+03,9.199323e-28
1.760000e-01,1.565193e+06,5.471430e-06,1.185886e+01,1.156859e-01,3.006160e+03,8.958331e-28
1.840000e-01,1.538065e+06,5.340735e-06,1.182223e+01,1.178750e-01,2.970005e+03,8.717339e-28
1.920000e-01,1.511987e+06,5.210459e-06,1.178282e+01,1.202164e-01,2.933289e+03,8.476346e-28
2.000000e-01,1.486875e+06,5.080737e-06,1.174011e+01,1.227278e-01,2.896165e+03,8.235354e-28
2.080000e-01,1.462650e+06,4.951503e-06,1.169416e+01,1.254232e-01,2.858622e+03,7.994466e-28
2.160000e-01,1.439242e+06,4.822518e-06,1.164574e+01,1.283187e-01,2.820544e+03,7.753973e-28
2.240000e-01,1.416584e+06,4.693559e-06,1.159486e+01,1.314378e-01,2.781861e+03,7.513655e-28
2.320000e-01,1.394613e+06,4.564891e-06,1.154048e+01,1.347957e-01,2.742700e+03,7.273398e-28
2.400000e-01,1.373269e+06,4.436412e-06,1.148250e+01,1.384203e-01,2.703047e+03,7.033180e-28
2.480000e-01,1.352496e+06,4.307722e-06,1.142170e+01,1.423443e-01,2.662704e+03,6.793002e-28
2.560000e-01,1.332236e+06,4.178862e-06,1.135793e+01,1.466000e-01,2.621699e+03,6.553007e-28
2.640000e-01,1.312439e+06,4.049997e-06,1.129065e+01,1.512222e-01,2.580124e+03,6.313309e-28
2.720000e-01,1.293060e+06,3.921075e-06,1.121974e+01,1.562562e-01,2.537962e+03,6.073951e-28
