F,phase,group_irrep,S,beta_S_c0,X_S_HF,X_S_anom,sign_X_anom,paper3_sign_beta_lambda,match
3,octa,O:A_2,0,0.142857,0.000000,-0.088757,-,-,yes
3,octa,O:A_2,2,0.000000,0.011718,-0.015028,-,n/a,n/a
3,octa,O:A_2,4,0.545455,0.278348,0.087810,+,-,no(A2_offset)
3,octa,O:A_2,6,0.311688,0.365932,0.327990,+,+,yes
4,cube,O:A_1,0,0.111111,0.000000,-0.111111,-,-,yes
4,cube,O:A_1,2,0.000000,0.000000,0.000000,0,n/a,n/a
4,cube,O:A_1,4,0.228438,0.057110,-0.114219,-,-,yes
4,cube,O:A_1,6,0.404040,0.212121,0.020202,+,+,yes
4,cube,O:A_1,8,0.256410,0.230769,0.205128,+,+,yes
6,icosa,I:A,0,0.076923,0.000000,-0.076923,-,-,yes
6,icosa,I:A,6,0.374613,0.093653,-0.187307,-,-,yes
6,icosa,I:A,10,0.375959,0.246158,0.116369,+,+,yes
6,icosa,I:A,12,0.172505,0.160183,0.147861,+,+,yes
8,cube_octa,O:A_1,0,0.058824,0.000000,-0.058824,-,-,yes
8,cube_octa,O:A_1,4,0.108915,0.007559,-0.093791,-,-,yes
8,cube_octa,O:A_1,6,0.002872,0.000419,-0.002034,-,-,yes
8,cube_octa,O:A_1,8,0.058088,0.014522,-0.029044,-,-,yes
8,cube_octa,O:A_1,10,0.203248,0.077632,-0.047992,-,-,yes
8,cube_octa,O:A_1,12,0.283900,0.153783,0.023660,+,+,yes
8,cube_octa,O:A_1,14,0.103497,0.075469,0.047442,+,+,yes
8,cube_octa,O:A_1,16,0.180657,0.170624,0.160579,+,+,yes
10,dodec,I:A,0,0.047619,0.000000,-0.047619,-,-,yes
10,dodec,I:A,6,0.093330,0.008913,-0.075507,-,-,yes
10,dodec,I:A,10,0.185431,0.046358,-0.092715,-,-,yes
10,dodec,I:A,12,0.151618,0.053758,-0.044115,-,-,yes
10,dodec,I:A,16,0.224758,0.138938,0.053124,+,+,yes
10,dodec,I:A,18,0.178801,0.138977,0.099153,+,+,yes
10,dodec,I:A,20,0.118444,0.113057,0.107675,+,+,yes
