F,S,prefactor_lambda_over_c0,sign_boundary_S_bd
3,0,-1.0,4.898979485566356
3,2,-0.75,4.898979485566356
3,4,-0.16666666666666666,4.898979485566356
3,6,0.75,4.898979485566356
4,0,-1.0,6.324555320336759
4,2,-0.85,6.324555320336759
4,4,-0.5,6.324555320336759
4,6,0.05,6.324555320336759
4,8,0.8,6.324555320336759
6,0,-1.0,9.16515138991168
6,2,-0.9285714285714286,9.16515138991168
6,4,-0.7619047619047619,9.16515138991168
6,6,-0.5,9.16515138991168
6,8,-0.14285714285714285,9.16515138991168
6,10,0.30952380952380953,9.16515138991168
6,12,0.8571428571428571,9.16515138991168
8,0,-1.0,12.0
8,2,-0.9583333333333334,12.0
8,4,-0.8611111111111112,12.0
8,6,-0.7083333333333334,12.0
8,8,-0.5,12.0
8,10,-0.2361111111111111,12.0
8,12,0.08333333333333333,12.0
8,14,0.4583333333333333,12.0
8,16,0.8888888888888888,12.0
10,0,-1.0,14.832396974191326
10,2,-0.9727272727272728,14.832396974191326
10,4,-0.9090909090909091,14.832396974191326
10,6,-0.8090909090909091,14.832396974191326
10,8,-0.6727272727272727,14.832396974191326
10,10,-0.5,14.832396974191326
10,12,-0.2909090909090909,14.832396974191326
10,14,-0.045454545454545456,14.832396974191326
10,16,0.23636363636363636,14.832396974191326
10,18,0.5545454545454546,14.832396974191326
10,20,0.9090909090909091,14.832396974191326
12,0,-1.0,17.663521732655695
12,2,-0.9807692307692307,17.663521732655695
12,4,-0.9358974358974359,17.663521732655695
12,6,-0.8653846153846154,17.663521732655695
12,8,-0.7692307692307693,17.663521732655695
12,10,-0.6474358974358975,17.663521732655695
12,12,-0.5,17.663521732655695
12,14,-0.3269230769230769,17.663521732655695
12,16,-0.1282051282051282,17.663521732655695
12,18,0.09615384615384616,17.663521732655695
12,20,0.34615384615384615,17.663521732655695
12,22,0.6217948717948718,17.663521732655695
12,24,0.9230769230769231,17.663521732655695
