F,group,irrep,beta_0_predicted,beta_0_measured,schur_dev,status
3,O,A_2,0.142857,0.142857,1e-14,verified
4,O,A_1,0.111111,0.111111,1e-14,verified
6,T,A,0.076923,0.076923,1e-13,verified
6,O,A_1,0.076923,0.076923,1e-13,verified
6,O,A_2,0.076923,0.076923,1e-13,verified
6,I,A,0.076923,0.076923,1e-13,verified
7,T,A,0.066667,0.066667,3e-13,verified
7,O,A_2,0.066667,0.066667,4e-14,verified
8,O,A_1,0.058824,0.058824,1e-13,verified
9,O,A_1,0.052632,0.052632,1e-13,verified
9,O,A_2,0.052632,0.052632,6e-13,verified
10,O,A_1,0.047619,0.047619,1e-13,verified
10,O,A_2,0.047619,0.047619,2e-13,verified
10,I,A,0.047619,0.047619,3e-13,verified
11,T,A,0.043478,0.043478,7e-13,verified
11,O,A_2,0.043478,0.043478,4e-13,verified
12,O,A_1,0.040000,0.040000,1e-13,verified
13,O,A_1,0.037037,0.037037,6e-13,verified
13,O,A_2,0.037037,0.037037,6e-13,verified
1,—,—,—,—,—,exception_T1_irreducible
2,—,—,—,—,—,exception_T_E1_phase_eq
5,—,—,—,—,—,exception_algebraic_no_1d_real_irrep
