panel_idx,F,label,ref,point_idx,x,y,z
1,2,F=2 cyclic,T_d (§V.A),1,-0.5773502691896258,0.5773502691896257,0.5773502691896258
1,2,F=2 cyclic,T_d (§V.A),2,-0.5773502691896258,-0.5773502691896255,-0.5773502691896261
1,2,F=2 cyclic,T_d (§V.A),3,0.5773502691896265,0.5773502691896254,-0.5773502691896253
1,2,F=2 cyclic,T_d (§V.A),4,0.5773502691896258,-0.5773502691896257,0.5773502691896258
2,3,F=3 octa,O:A_2 (§V.B),1,-1.0,4.440892098500625e-16,2.2204460492503126e-16
2,3,F=3 octa,O:A_2 (§V.B),2,-2.7642446692130444e-17,-1.0,2.2204460492503126e-16
2,3,F=3 octa,O:A_2 (§V.B),3,0.0,0.0,-1.0
2,3,F=3 octa,O:A_2 (§V.B),4,5.551115123125779e-17,1.0,6.661338147750935e-16
2,3,F=3 octa,O:A_2 (§V.B),5,1.0,0.0,0.0
2,3,F=3 octa,O:A_2 (§V.B),6,0.0,0.0,1.0
3,4,F=4 cube,O:A_1 (§V.C),1,-0.5773502691896258,0.5773502691896247,0.5773502691896267
3,4,F=4 cube,O:A_1 (§V.C),2,-0.5773502691896262,-0.5773502691896261,0.577350269189625
3,4,F=4 cube,O:A_1 (§V.C),3,-0.5773502691896256,-0.5773502691896262,-0.5773502691896256
3,4,F=4 cube,O:A_1 (§V.C),4,-0.5773502691896255,0.577350269189625,-0.5773502691896268
3,4,F=4 cube,O:A_1 (§V.C),5,0.5773502691896256,-0.577350269189626,-0.577350269189626
3,4,F=4 cube,O:A_1 (§V.C),6,0.5773502691896261,0.5773502691896256,-0.5773502691896256
3,4,F=4 cube,O:A_1 (§V.C),7,0.5773502691896252,0.5773502691896262,0.577350269189626
3,4,F=4 cube,O:A_1 (§V.C),8,0.5773502691896256,-0.5773502691896254,0.5773502691896265
4,6,F=6 icosa,I:A (§V.D),1,-0.894427190999916,4.909729551805618e-16,0.4472135954999576
4,6,F=6 icosa,I:A (§V.D),2,-0.27639320225002123,0.8506508083520391,0.4472135954999596
4,6,F=6 icosa,I:A (§V.D),3,-0.27639320225002134,-0.8506508083520395,0.4472135954999584
4,6,F=6 icosa,I:A (§V.D),4,-0.723606797749979,-0.5257311121191334,-0.4472135954999581
4,6,F=6 icosa,I:A (§V.D),5,-0.7236067977499788,0.5257311121191334,-0.4472135954999585
4,6,F=6 icosa,I:A (§V.D),6,0.0,0.0,-1.0
4,6,F=6 icosa,I:A (§V.D),7,0.27639320225002084,-0.8506508083520397,-0.4472135954999587
4,6,F=6 icosa,I:A (§V.D),8,0.276393202250021,0.8506508083520397,-0.4472135954999587
4,6,F=6 icosa,I:A (§V.D),9,0.8944271909999156,3.8043754831550757e-32,-0.4472135954999585
4,6,F=6 icosa,I:A (§V.D),10,0.723606797749979,-0.5257311121191327,0.4472135954999588
4,6,F=6 icosa,I:A (§V.D),11,0.7236067977499786,0.5257311121191323,0.4472135954999603
4,6,F=6 icosa,I:A (§V.D),12,0.0,0.0,1.0
5,7,F=7 octa,O:A_2 (supp),1,-0.5773502692075831,-0.5773502691780105,0.5773502691832838
5,7,F=7 octa,O:A_2 (supp),2,-0.5773502691780108,0.5773502692075836,0.5773502691832829
5,7,F=7 octa,O:A_2 (supp),3,-1.0,-1.01924640258632e-16,1.332267629550186e-15
5,7,F=7 octa,O:A_2 (supp),4,-0.5773502692075828,0.5773502691780119,-0.5773502691832828
5,7,F=7 octa,O:A_2 (supp),5,-0.5773502691780101,-0.5773502692075829,-0.5773502691832845
5,7,F=7 octa,O:A_2 (supp),6,-8.007197911334386e-16,-1.0,-1.1102230246251577e-15
5,7,F=7 octa,O:A_2 (supp),7,0.0,0.0,-1.0
5,7,F=7 octa,O:A_2 (supp),8,2.69499302959635e-16,1.0,6.661338147750935e-16
5,7,F=7 octa,O:A_2 (supp),9,0.577350269178012,0.577350269207583,-0.5773502691832824
5,7,F=7 octa,O:A_2 (supp),10,0.5773502692075837,-0.5773502691780111,-0.5773502691832825
5,7,F=7 octa,O:A_2 (supp),11,1.0,1.973780449044496e-16,8.881784197001244e-16
5,7,F=7 octa,O:A_2 (supp),12,0.5773502691780114,-0.5773502692075829,0.577350269183283
5,7,F=7 octa,O:A_2 (supp),13,0.5773502692075835,0.5773502691780117,0.5773502691832824
5,7,F=7 octa,O:A_2 (supp),14,0.0,0.0,1.0
6,8,F=8 cube-octa,O:A_1 (§V.E),1,-0.5773502827114428,-0.5773502577947514,0.5773502670626829
6,8,F=8 cube-octa,O:A_1 (§V.E),2,-0.5773502532113314,0.5773502712594538,0.5773502830980919
6,8,F=8 cube-octa,O:A_1 (§V.E),3,-0.5773502851679198,0.5773502671197973,0.5773502552811599
6,8,F=8 cube-octa,O:A_1 (§V.E),4,-0.5773502556678073,-0.5773502805844992,0.5773502713165705
6,8,F=8 cube-octa,O:A_1 (§V.E),5,-0.5773502759328211,0.5773502711834404,-0.5773502604526157
6,8,F=8 cube-octa,O:A_1 (§V.E),6,-0.577350275636077,-0.5773502627661032,-0.5773502691666969
6,8,F=8 cube-octa,O:A_1 (§V.E),7,-0.5773502627431755,-0.5773502756131473,-0.5773502692125542
6,8,F=8 cube-octa,O:A_1 (§V.E),8,-0.5773502624464307,0.5773502671958106,-0.5773502779266361
6,8,F=8 cube-octa,O:A_1 (§V.E),9,0.5773502617213795,0.5773502734131877,-0.5773502724343103
6,8,F=8 cube-octa,O:A_1 (§V.E),10,0.5773502674632454,-0.5773502655911451,-0.5773502745144866
6,8,F=8 cube-octa,O:A_1 (§V.E),11,0.5773502709160067,-0.5773502727881068,-0.577350263864764
6,8,F=8 cube-octa,O:A_1 (§V.E),12,0.5773502766578715,0.5773502649660635,-0.5773502659449421
6,8,F=8 cube-octa,O:A_1 (§V.E),13,0.5773502709440773,0.5773502787751922,0.5773502578496078
6,8,F=8 cube-octa,O:A_1 (§V.E),14,0.5773502654793509,-0.5773502779890118,0.5773502641005145
6,8,F=8 cube-octa,O:A_1 (§V.E),15,0.5773502728999007,-0.5773502603902385,0.577350274278738
6,8,F=8 cube-octa,O:A_1 (§V.E),16,0.5773502674351743,0.5773502596040567,0.5773502805296461
7,9,F=9 octa,O:A_1 (supp),1,-0.7071067811926623,-2.0235426794105013e-11,0.7071067811804326
7,9,F=9 octa,O:A_1 (supp),2,-1.0,-6.092342759603334e-16,-1.1102230246251568e-16
7,9,F=9 octa,O:A_1 (supp),3,-0.7071067811865478,-0.7071067811865474,2.2204460492503126e-16
7,9,F=9 octa,O:A_1 (supp),4,-0.7071067811865482,0.7071067811865469,-1.0547118733938999e-15
7,9,F=9 octa,O:A_1 (supp),5,-0.707106781192665,2.0236019833822128e-11,-0.7071067811804299
7,9,F=9 octa,O:A_1 (supp),6,-2.0235582498863866e-11,0.7071067811926658,0.7071067811804294
7,9,F=9 octa,O:A_1 (supp),7,-2.0235409004504805e-11,-0.707106781192665,-0.7071067811804299
7,9,F=9 octa,O:A_1 (supp),8,0.0,0.0,-1.0
7,9,F=9 octa,O:A_1 (supp),9,1.8367135105928424e-16,-1.0,0.0
7,9,F=9 octa,O:A_1 (supp),10,9.3415646225473e-16,1.0,4.440892098500624e-16
7,9,F=9 octa,O:A_1 (supp),11,2.023618814235682e-11,0.7071067811926649,-0.70710678118043
7,9,F=9 octa,O:A_1 (supp),12,2.0235887122506076e-11,-0.7071067811926658,0.7071067811804294
7,9,F=9 octa,O:A_1 (supp),13,0.7071067811926655,-2.023592747989053e-11,-0.7071067811804297
7,9,F=9 octa,O:A_1 (supp),14,0.7071067811865479,-0.7071067811865469,3.330669073875468e-16
7,9,F=9 octa,O:A_1 (supp),15,0.7071067811865482,0.7071067811865469,5.551115123125781e-16
7,9,F=9 octa,O:A_1 (supp),16,1.0,1.3726852433140947e-16,4.440892098500624e-16
7,9,F=9 octa,O:A_1 (supp),17,0.7071067811926645,2.0235575368278403e-11,0.7071067811804306
7,9,F=9 octa,O:A_1 (supp),18,0.0,0.0,1.0
8,10,F=10 dodec,I:A (§V.F),1,-0.6070619982066862,-2.8497416608185535e-16,0.7946544722917661
8,10,F=10 dodec,I:A (§V.F),2,-0.9822469463768454,1.3099657920292451e-15,0.18759247408508317
8,10,F=10 dodec,I:A (§V.F),3,-0.18759247408507965,-0.5773502691896246,0.7946544722917669
8,10,F=10 dodec,I:A (§V.F),4,-0.18759247408508065,0.5773502691896262,0.7946544722917657
8,10,F=10 dodec,I:A (§V.F),5,-0.7946544722917664,0.5773502691896261,-0.18759247408507726
