m_omega,N0,T_nK,Tc_nK,cf,margin_nK
0.4500,0.00000e+00,176.6653,42.6511,0.00000,-134.0142
0.4797,0.00000e+00,170.5412,43.9606,0.00000,-126.5806
0.5093,0.00000e+00,164.1740,45.2978,0.00000,-118.8763
0.5390,0.00000e+00,153.3111,46.7179,0.00000,-106.5932
0.5686,0.00000e+00,122.4616,48.4797,0.00000,-73.9818
0.5983,0.00000e+00,96.4374,50.5218,0.00000,-45.9156
0.6280,0.00000e+00,75.6562,52.9389,0.00000,-22.7173
0.6576,0.00000e+00,59.6245,55.8381,0.00000,-3.7864
0.6873,7.59264e+04,43.7813,66.1056,0.70950,22.3243
0.7169,1.12377e+05,42.5668,74.9766,0.81701,32.4097
0.7466,1.29734e+05,42.1853,80.6212,0.85674,38.4359
0.7763,1.37897e+05,42.0296,84.8372,0.87841,42.8076
0.8059,1.40292e+05,41.9575,88.1302,0.89209,46.1727
0.8356,1.38901e+05,41.9205,90.7547,0.90145,48.8343
0.8653,1.34917e+05,41.9003,92.8418,0.90808,50.9415
0.8949,1.29268e+05,41.8891,94.4983,0.91290,52.6092
0.9246,1.22631e+05,41.8826,95.8057,0.91645,53.9231
0.9542,1.15481e+05,41.8786,96.8262,0.91909,54.9475
0.9839,1.08173e+05,41.8761,97.6144,0.92105,55.7383
1.0136,1.00971e+05,41.8746,98.2221,0.92251,56.3476
1.0432,9.40195e+04,41.8735,98.6825,0.92360,56.8089
1.0729,8.74355e+04,41.8729,99.0326,0.92441,57.1597
1.1025,8.12646e+04,41.8724,99.2959,0.92501,57.4235
1.1322,7.55299e+04,41.8721,99.4939,0.92546,57.6218
1.1619,7.02338e+04,41.8719,99.6440,0.92580,57.7721
1.1915,6.53516e+04,41.8717,99.7542,0.92604,57.8825
1.2212,6.08700e+04,41.8716,99.8380,0.92623,57.9664
1.2508,5.67611e+04,41.8715,99.9027,0.92638,58.0312
1.2805,5.29862e+04,41.8714,99.9487,0.92648,58.0773
1.3102,4.95274e+04,41.8714,99.9855,0.92656,58.1142
1.3398,4.63516e+04,41.8713,100.0129,0.92662,58.1415
1.3695,4.34384e+04,41.8713,100.0373,0.92667,58.1660
1.3992,4.07571e+04,41.8713,100.0543,0.92671,58.1830
1.4288,3.82871e+04,41.8713,100.0676,0.92674,58.1964
1.4585,3.60091e+04,41.8712,100.0768,0.92676,58.2056
1.4881,3.39074e+04,41.8712,100.0844,0.92678,58.2132
1.5178,3.19660e+04,41.8712,100.0924,0.92679,58.2212
1.5475,3.01675e+04,41.8712,100.0971,0.92680,58.2259
1.5771,2.85020e+04,41.8712,100.1027,0.92682,58.2315
1.6068,2.69565e+04,41.8712,100.1071,0.92683,58.2359
1.6364,2.55195e+04,41.8712,100.1096,0.92683,58.2384
1.6661,2.41819e+04,41.8712,100.1115,0.92684,58.2403
1.6958,2.29363e+04,41.8712,100.1133,0.92684,58.2421
1.7254,2.17760e+04,41.8712,100.1167,0.92685,58.2455
1.7551,2.06913e+04,41.8712,100.1170,0.92685,58.2458
1.7847,1.96778e+04,41.8712,100.1195,0.92685,58.2484
1.8144,1.87291e+04,41.8712,100.1200,0.92686,58.2489
1.8441,1.78401e+04,41.8712,100.1208,0.92686,58.2497
1.8737,1.70069e+04,41.8712,100.1221,0.92686,58.2509
1.9034,1.62240e+04,41.8712,100.1212,0.92686,58.2500
1.9331,1.54895e+04,41.8712,100.1241,0.92686,58.2529
1.9627,1.47979e+04,41.8712,100.1246,0.92686,58.2535
1.9924,1.41473e+04,41.8712,100.1257,0.92687,58.2546
2.0220,1.35337e+04,41.8712,100.1255,0.92687,58.2544
2.0517,1.29555e+04,41.8712,100.1260,0.92687,58.2548
2.0814,1.24092e+04,41.8711,100.1238,0.92687,58.2526
2.1110,1.18940e+04,41.8711,100.1249,0.92687,58.2538
2.1407,1.14065e+04,41.8711,100.1277,0.92687,58.2566
2.1703,1.09448e+04,41.8711,100.1241,0.92687,58.2530
2.2000,1.05085e+04,41.8711,100.1276,0.92687,58.2565
