label,t_s,N,N0,Nth,T_nK
loose_0.6,0.00000,1.40000e+06,0.00000e+00,1.40000e+06,50000.0000
loose_0.6,0.00733,1.36272e+06,0.00000e+00,1.36272e+06,47347.3342
loose_0.6,0.01467,1.33111e+06,0.00000e+00,1.33111e+06,45002.0186
loose_0.6,0.02200,1.30389e+06,0.00000e+00,1.30389e+06,42923.3445
loose_0.6,0.02933,1.28012e+06,0.00000e+00,1.28012e+06,41061.1429
loose_0.6,0.03667,1.25910e+06,0.00000e+00,1.25910e+06,39376.7091
loose_0.6,0.04400,1.24030e+06,0.00000e+00,1.24030e+06,37839.2466
loose_0.6,0.05133,1.22331e+06,0.00000e+00,1.22331e+06,36424.2640
loose_0.6,0.05867,1.20780e+06,0.00000e+00,1.20780e+06,35141.4631
loose_0.6,0.06600,1.19362e+06,0.00000e+00,1.19362e+06,33978.4340
loose_0.6,0.07333,1.18056e+06,0.00000e+00,1.18056e+06,32892.1143
loose_0.6,0.08067,1.16844e+06,0.00000e+00,1.16844e+06,31871.6642
loose_0.6,0.08800,1.15711e+06,0.00000e+00,1.15711e+06,30908.0155
loose_0.6,0.09533,1.14645e+06,0.00000e+00,1.14645e+06,29993.3088
loose_0.6,0.10267,1.13637e+06,0.00000e+00,1.13637e+06,29121.4858
loose_0.6,0.11000,1.12679e+06,0.00000e+00,1.12679e+06,28290.3007
loose_0.6,0.11733,1.11768e+06,0.00000e+00,1.11768e+06,27533.9334
loose_0.6,0.12467,1.10900e+06,0.00000e+00,1.10900e+06,26812.2779
loose_0.6,0.13200,1.10071e+06,0.00000e+00,1.10071e+06,26118.7390
loose_0.6,0.13933,1.09275e+06,0.00000e+00,1.09275e+06,25449.9111
loose_0.6,0.14667,1.08507e+06,0.00000e+00,1.08507e+06,24803.2385
loose_0.6,0.15400,1.07765e+06,0.00000e+00,1.07765e+06,24176.4598
loose_0.6,0.16133,1.07045e+06,0.00000e+00,1.07045e+06,23567.8192
loose_0.6,0.16867,1.06344e+06,0.00000e+00,1.06344e+06,22993.5260
loose_0.6,0.17600,1.05666e+06,0.00000e+00,1.05666e+06,22455.1921
loose_0.6,0.18333,1.05007e+06,0.00000e+00,1.05007e+06,21931.6434
loose_0.6,0.19067,1.04365e+06,0.00000e+00,1.04365e+06,21421.5531
loose_0.6,0.19800,1.03739e+06,0.00000e+00,1.03739e+06,20923.7492
loose_0.6,0.20533,1.03126e+06,0.00000e+00,1.03126e+06,20436.8645
loose_0.6,0.21267,1.02524e+06,0.00000e+00,1.02524e+06,19959.9754
loose_0.6,0.22000,1.01933e+06,0.00000e+00,1.01933e+06,19495.0105
loose_0.6,0.22733,1.01352e+06,0.00000e+00,1.01352e+06,19065.8564
loose_0.6,0.23467,1.00784e+06,0.00000e+00,1.00784e+06,18648.5704
loose_0.6,0.24200,1.00226e+06,0.00000e+00,1.00226e+06,18239.7921
loose_0.6,0.24933,9.96777e+05,0.00000e+00,9.96777e+05,17838.6002
loose_0.6,0.25667,9.91372e+05,0.00000e+00,9.91372e+05,17444.3828
loose_0.6,0.26400,9.86035e+05,0.00000e+00,9.86035e+05,17056.6561
loose_0.6,0.27133,9.80755e+05,0.00000e+00,9.80755e+05,16675.2300
loose_0.6,0.27867,9.75529e+05,0.00000e+00,9.75529e+05,16311.8894
loose_0.6,0.28600,9.70381e+05,0.00000e+00,9.70381e+05,15968.8891
loose_0.6,0.29333,9.65307e+05,0.00000e+00,9.65307e+05,15631.6929
loose_0.6,0.30067,9.60296e+05,0.00000e+00,9.60296e+05,15299.8365
loose_0.6,0.30800,9.55340e+05,0.00000e+00,9.55340e+05,14972.9840
loose_0.6,0.31533,9.50427e+05,0.00000e+00,9.50427e+05,14650.5789
loose_0.6,0.32267,9.45551e+05,0.00000e+00,9.45551e+05,14332.2663
loose_0.6,0.33000,9.40704e+05,0.00000e+00,9.40704e+05,14020.2421
loose_0.6,0.33733,9.35897e+05,0.00000e+00,9.35897e+05,13730.5850
loose_0.6,0.34467,9.31146e+05,0.00000e+00,9.31146e+05,13447.6193
loose_0.6,0.35200,9.26443e+05,0.00000e+00,9.26443e+05,13168.7489
loose_0.6,0.35933,9.21779e+05,0.00000e+00,9.21779e+05,12893.5425
loose_0.6,0.36667,9.17147e+05,0.00000e+00,9.17147e+05,12621.7170
loose_0.6,0.37400,9.12540e+05,0.00000e+00,9.12540e+05,12353.1063
loose_0.6,0.38133,9.07951e+05,0.00000e+00,9.07951e+05,12087.7722
loose_0.6,0.38867,9.03379e+05,0.00000e+00,9.03379e+05,11834.1845
loose_0.6,0.39600,8.98847e+05,0.00000e+00,8.98847e+05,11594.2321
loose_0.6,0.40333,8.94353e+05,0.00000e+00,8.94353e+05,11357.4470
loose_0.6,0.41067,8.89891e+05,0.00000e+00,8.89891e+05,11123.5645
loose_0.6,0.41800,8.85453e+05,0.00000e+00,8.85453e+05,10892.4467
loose_0.6,0.42533,8.81033e+05,0.00000e+00,8.81033e+05,10663.7826
loose_0.6,0.43267,8.76624e+05,0.00000e+00,8.76624e+05,10437.3560
loose_0.6,0.44000,8.72221e+05,0.00000e+00,8.72221e+05,10215.1885
loose_0.6,0.44733,8.67838e+05,0.00000e+00,8.67838e+05,10008.0950
loose_0.6,0.45467,8.63489e+05,0.00000e+00,8.63489e+05,9805.6396
loose_0.6,0.46200,8.59167e+05,0.00000e+00,8.59167e+05,9605.6722
loose_0.6,0.46933,8.54866e+05,0.00000e+00,8.54866e+05,9407.9295
loose_0.6,0.47667,8.50579e+05,0.00000e+00,8.50579e+05,9212.2064
loose_0.6,0.48400,8.46301e+05,0.00000e+00,8.46301e+05,9018.4301
loose_0.6,0.49133,8.42024e+05,0.00000e+00,8.42024e+05,8826.6937
loose_0.6,0.49867,8.37750e+05,0.00000e+00,8.37750e+05,8643.2170
loose_0.6,0.50600,8.33500e+05,0.00000e+00,8.33500e+05,8469.3534
loose_0.6,0.51333,8.29275e+05,0.00000e+00,8.29275e+05,8297.5469
loose_0.6,0.52067,8.25068e+05,0.00000e+00,8.25068e+05,8127.6121
loose_0.6,0.52800,8.20874e+05,0.00000e+00,8.20874e+05,7959.4762
loose_0.6,0.53533,8.16687e+05,0.00000e+00,8.16687e+05,7792.9496
loose_0.6,0.54267,8.12500e+05,0.00000e+00,8.12500e+05,7627.8618
loose_0.6,0.55000,8.08310e+05,0.00000e+00,8.08310e+05,7465.9332
loose_0.6,0.55733,8.04127e+05,0.00000e+00,8.04127e+05,7314.3845
loose_0.6,0.56467,7.99966e+05,0.00000e+00,7.99966e+05,7166.2900
loose_0.6,0.57200,7.95822e+05,0.00000e+00,7.95822e+05,7019.8614
loose_0.6,0.57933,7.91689e+05,0.00000e+00,7.91689e+05,6874.9444
loose_0.6,0.58667,7.87561e+05,0.00000e+00,7.87561e+05,6731.3943
loose_0.6,0.59400,7.83434e+05,0.00000e+00,7.83434e+05,6589.1705
loose_0.6,0.60133,7.79301e+05,0.00000e+00,7.79301e+05,6448.3466
loose_0.6,0.60867,7.75163e+05,0.00000e+00,7.75163e+05,6313.5160
loose_0.6,0.61600,7.71040e+05,0.00000e+00,7.71040e+05,6185.6093
loose_0.6,0.62333,7.66934e+05,0.00000e+00,7.66934e+05,6059.1417
loose_0.6,0.63067,7.62838e+05,0.00000e+00,7.62838e+05,5933.9608
loose_0.6,0.63800,7.58745e+05,0.00000e+00,7.58745e+05,5810.0184
loose_0.6,0.64533,7.54651e+05,0.00000e+00,7.54651e+05,5687.2055
