t_s,m_omega,omega_ramp_hz,omega_eff_hz
0.000000e+00,1.08333,1036.5358,1122.9138
5.563910e-03,1.08104,1035.3647,1119.2665
1.112782e-02,1.07874,1034.1900,1115.6206
1.669173e-02,1.07644,1033.0116,1111.9762
2.225564e-02,1.07414,1031.8295,1108.3332
2.781955e-02,1.07185,1030.6436,1104.6915
3.338346e-02,1.06955,1029.4539,1101.0513
3.894737e-02,1.06725,1028.2604,1097.4124
4.451128e-02,1.06495,1027.0630,1093.7749
5.007519e-02,1.06266,1025.8617,1090.1388
5.563910e-02,1.06036,1024.6564,1086.5039
6.120301e-02,1.05806,1023.4472,1082.8704
6.676692e-02,1.05576,1022.2339,1079.2382
7.233083e-02,1.05347,1021.0165,1075.6072
7.789474e-02,1.05117,1019.7950,1071.9775
8.345865e-02,1.04887,1018.5694,1068.3491
8.902256e-02,1.04657,1017.3395,1064.7219
9.458647e-02,1.04428,1016.1054,1061.0959
1.001504e-01,1.04198,1014.8670,1057.4711
1.057143e-01,1.03968,1013.6243,1053.8475
1.112782e-01,1.03739,1012.3772,1050.2250
1.168421e-01,1.03509,1011.1256,1046.6037
1.224060e-01,1.03279,1009.8696,1042.9836
1.279699e-01,1.03049,1008.6091,1039.3645
1.335338e-01,1.02820,1007.3439,1035.7465
1.390977e-01,1.02590,1006.0742,1032.1296
1.446617e-01,1.02360,1004.7997,1028.5137
1.502256e-01,1.02130,1003.5206,1024.8988
1.557895e-01,1.01901,1002.2366,1021.2850
1.613534e-01,1.01671,1000.9478,1017.6721
1.669173e-01,1.01441,999.6542,1014.0602
1.724812e-01,1.01211,998.3555,1010.4492
1.780451e-01,1.00982,997.0519,1006.8392
1.836090e-01,1.00752,995.7432,1003.2300
1.891729e-01,1.00522,994.4294,999.6217
1.947368e-01,1.00292,993.1104,996.0142
2.003008e-01,1.00063,991.7862,992.4076
2.058647e-01,1.00000,990.4566,990.4566
2.114286e-01,1.00000,989.1217,989.1217
2.169925e-01,1.00000,987.7813,987.7813
2.225564e-01,1.00000,986.4355,986.4355
2.281203e-01,1.00000,985.0841,985.0841
2.336842e-01,1.00000,983.7270,983.7270
2.392481e-01,1.00000,982.3643,982.3643
2.448120e-01,1.00000,980.9958,980.9958
2.503759e-01,1.00000,979.6214,979.6214
2.559398e-01,1.00000,978.2411,978.2411
2.615038e-01,1.00000,976.8548,976.8548
2.670677e-01,1.00000,975.4624,975.4624
2.726316e-01,1.00000,974.0639,974.0639
