which,t_s,N,N0,Nth,T_nK
ramp_only,0.000000e+00,1.400000e+06,0.000000e+00,1.400000e+06,50000.0000
ramp_only,7.400000e-03,1.277495e+06,0.000000e+00,1.277495e+06,42169.0919
ramp_only,1.480000e-02,1.219064e+06,0.000000e+00,1.219064e+06,38067.9161
ramp_only,2.220000e-02,1.184525e+06,0.000000e+00,1.184525e+06,35543.8509
ramp_only,2.960000e-02,1.161172e+06,0.000000e+00,1.161172e+06,33811.3842
ramp_only,3.700000e-02,1.143929e+06,0.000000e+00,1.143929e+06,32531.6732
ramp_only,4.440000e-02,1.130396e+06,0.000000e+00,1.130396e+06,31536.4457
ramp_only,5.180000e-02,1.119297e+06,0.000000e+00,1.119297e+06,30732.7549
ramp_only,5.920000e-02,1.109888e+06,0.000000e+00,1.109888e+06,30064.9406
ramp_only,6.660000e-02,1.101705e+06,0.000000e+00,1.101705e+06,29497.5216
ramp_only,7.400000e-02,1.094444e+06,0.000000e+00,1.094444e+06,29006.7249
ramp_only,8.140000e-02,1.087897e+06,0.000000e+00,1.087897e+06,28575.9615
ramp_only,8.880000e-02,1.081916e+06,0.000000e+00,1.081916e+06,28193.2643
ramp_only,9.620000e-02,1.076392e+06,0.000000e+00,1.076392e+06,27849.7546
ramp_only,1.036000e-01,1.071245e+06,0.000000e+00,1.071245e+06,27538.6991
ramp_only,1.110000e-01,1.066413e+06,0.000000e+00,1.066413e+06,27254.8855
ramp_only,1.184000e-01,1.061849e+06,0.000000e+00,1.061849e+06,26994.2131
ramp_only,1.258000e-01,1.057513e+06,0.000000e+00,1.057513e+06,26753.3923
ramp_only,1.332000e-01,1.053376e+06,0.000000e+00,1.053376e+06,26529.7513
ramp_only,1.406000e-01,1.049413e+06,0.000000e+00,1.049413e+06,26321.0860
ramp_only,1.480000e-01,1.045603e+06,0.000000e+00,1.045603e+06,26125.5731
ramp_only,1.554000e-01,1.041930e+06,0.000000e+00,1.041930e+06,25941.6862
ramp_only,1.628000e-01,1.038379e+06,0.000000e+00,1.038379e+06,25768.1456
ramp_only,1.702000e-01,1.034940e+06,0.000000e+00,1.034940e+06,25603.8555
ramp_only,1.776000e-01,1.031600e+06,0.000000e+00,1.031600e+06,25447.8716
ramp_only,1.850000e-01,1.028353e+06,0.000000e+00,1.028353e+06,25299.3691
ramp_only,1.924000e-01,1.025191e+06,0.000000e+00,1.025191e+06,25157.6307
ramp_only,1.998000e-01,1.022106e+06,0.000000e+00,1.022106e+06,25022.0349
