t_s,m_omega,omega_ramp_hz,omega_eff_hz
0.000000e+00,1.20000,1036.5358,1243.8429
5.563910e-03,1.18997,1035.3647,1232.0581
1.112782e-02,1.17995,1034.1900,1220.2924
1.669173e-02,1.16992,1033.0116,1208.5459
2.225564e-02,1.15990,1031.8295,1196.8188
2.781955e-02,1.14987,1030.6436,1185.1110
3.338346e-02,1.13985,1029.4539,1173.4227
3.894737e-02,1.12982,1028.2604,1161.7539
4.451128e-02,1.11980,1027.0630,1150.1046
5.007519e-02,1.10977,1025.8617,1138.4751
5.563910e-02,1.09975,1024.6564,1126.8653
6.120301e-02,1.08972,1023.4472,1115.2753
6.676692e-02,1.07970,1022.2339,1103.7052
7.233083e-02,1.06967,1021.0165,1092.1550
7.789474e-02,1.05965,1019.7950,1080.6249
8.345865e-02,1.04962,1018.5694,1069.1149
8.902256e-02,1.03960,1017.3395,1057.6252
9.458647e-02,1.02957,1016.1054,1046.1557
1.001504e-01,1.01955,1014.8670,1034.7065
1.057143e-01,1.00952,1013.6243,1023.2779
1.112782e-01,0.99950,1012.3772,1011.8697
1.168421e-01,0.98947,1011.1256,1000.4822
1.224060e-01,0.97945,1009.8696,989.1154
1.279699e-01,0.96942,1008.6091,977.7694
1.335338e-01,0.95940,1007.3439,966.4443
1.390977e-01,0.94937,1006.0742,955.1401
1.446617e-01,0.93935,1004.7997,943.8570
1.502256e-01,0.92932,1003.5206,932.5951
1.557895e-01,0.91930,1002.2366,921.3544
1.613534e-01,0.90927,1000.9478,910.1350
1.669173e-01,0.89925,999.6542,898.9371
1.724812e-01,0.88922,998.3555,887.7608
1.780451e-01,0.87920,997.0519,876.6060
1.836090e-01,0.86917,995.7432,865.4730
1.891729e-01,0.85915,994.4294,854.3619
1.947368e-01,0.84912,993.1104,843.2727
2.003008e-01,0.83910,991.7862,832.2055
2.058647e-01,0.82907,990.4566,821.1605
2.114286e-01,0.81905,989.1217,810.1378
2.169925e-01,0.80902,987.7813,799.1374
2.225564e-01,0.79900,986.4355,788.1595
2.281203e-01,0.78897,985.0841,777.2042
2.336842e-01,0.77895,983.7270,766.2716
2.392481e-01,0.76892,982.3643,755.3618
2.448120e-01,0.75890,980.9958,744.4750
2.503759e-01,0.74887,979.6214,733.6112
2.559398e-01,0.73885,978.2411,722.7706
2.615038e-01,0.72882,976.8548,711.9533
2.670677e-01,0.71880,975.4624,701.1595
2.726316e-01,0.70877,974.0639,690.3892
2.781955e-01,0.69875,972.6592,679.6425
2.837594e-01,0.68872,971.2481,668.9198
2.893233e-01,0.67870,969.8307,658.2209
2.948872e-01,0.66867,968.4067,647.5462
3.004511e-01,0.65865,966.9762,636.8956
3.060150e-01,0.64862,965.5391,626.2695
3.115789e-01,0.63860,964.0952,615.6678
3.171429e-01,0.62857,962.6444,605.0908
3.227068e-01,0.61855,961.1868,594.5386
3.282707e-01,0.60852,959.7221,584.0113
3.338346e-01,0.59850,958.2502,573.5092
3.393985e-01,0.58847,956.7712,563.0323
3.449624e-01,0.57845,955.2848,552.5808
3.505263e-01,0.56842,953.7910,542.1549
3.560902e-01,0.55840,952.2897,531.7547
3.616541e-01,0.54837,950.7806,521.3805
3.672180e-01,0.53835,949.2639,511.0323
3.727820e-01,0.52832,947.7392,500.7104
3.783459e-01,0.51830,946.2066,490.4148
3.839098e-01,0.50827,944.6658,480.1459
3.894737e-01,0.49825,943.1168,469.9038
3.950376e-01,0.48822,941.5595,459.6887
4.006015e-01,0.47820,939.9936,449.5007
4.061654e-01,0.46817,938.4192,439.3401
4.117293e-01,0.45815,936.8359,429.2070
4.172932e-01,0.44812,935.2438,419.1017
4.228571e-01,0.43810,933.6426,409.0244
4.284211e-01,0.42807,932.0323,398.9752
4.339850e-01,0.41805,930.4126,388.9544
4.395489e-01,0.40802,928.7834,378.9623
4.451128e-01,0.40100,927.1446,371.7873
4.506767e-01,0.40602,925.4960,375.7653
4.562406e-01,0.41103,923.8374,379.7226
4.618045e-01,0.41604,922.1686,383.6591
4.673684e-01,0.42105,920.4896,387.5746
4.729323e-01,0.42607,918.8001,391.4687
4.784962e-01,0.43108,917.0999,395.3413
4.840602e-01,0.43609,915.3888,399.1921
4.896241e-01,0.44110,913.6667,403.0209
4.951880e-01,0.44612,911.9333,406.8274
5.007519e-01,0.45113,910.1885,410.6113
5.063158e-01,0.45614,908.4320,414.3725
5.118797e-01,0.46115,906.6636,418.1105
5.174436e-01,0.46617,904.8831,421.8252
5.230075e-01,0.47118,903.0903,425.5162
5.285714e-01,0.47619,901.2849,429.1833
5.341353e-01,0.48120,899.4667,432.8261
5.396992e-01,0.48622,897.6354,436.4443
5.452632e-01,0.49123,895.7908,440.0376
5.508271e-01,0.49624,893.9326,443.6057
5.563910e-01,0.50125,892.0606,447.1482
5.619549e-01,0.50627,890.1744,450.6648
5.675188e-01,0.51128,888.2738,454.1550
5.730827e-01,0.51629,886.3585,457.6187
5.786466e-01,0.52130,884.4281,461.0553
5.842105e-01,0.52632,882.4824,464.4644
5.897744e-01,0.53133,880.5210,467.8457
5.953383e-01,0.53634,878.5435,471.1988
6.009023e-01,0.54135,876.5496,474.5231
6.064662e-01,0.54637,874.5390,477.8183
6.120301e-01,0.55138,872.5113,481.0839
6.175940e-01,0.55639,870.4660,484.3194
