t_ms,N,N0
0.31620,184433,68811
0.63239,167865,46194.1
0.94859,161832,36775
1.26479,159939,32347.9
1.58099,159838,31073.1
1.89718,160770,31678.5
2.21338,162629,33165
2.52958,163746,34012.1
2.84578,164637,35482.6
3.16197,166280,37799.3
3.47817,167885,39481.5
3.79437,168868,40901
4.11056,170360,42145.4
4.42676,171340,43594.5
4.74296,172153,44523.1
5.05916,173374,45390.4
5.37535,174754,46603.7
5.69155,176034,47764.4
6.00775,176471,48866.1
6.32395,177817,50266.8
6.64014,178272,51206
6.95634,179714,52694.1
7.27254,180336,54091.3
7.58873,181761,55473.1
7.90493,183206,56930.6
8.22113,183877,58040.1
8.53733,185457,59041.1
8.85352,186242,60613.3
9.16972,187581,61573.3
9.48592,187914,62275.5
9.80212,188733,63405.6
10.11831,189468,64422.9
10.43451,190853,65816.8
10.75071,190723,66351.6
11.06690,191268,67486
11.38310,192429,68905.8
11.69930,193228,69296.2
12.01550,193891,70097
12.33169,194188,70589.9
12.64789,194977,71397.3
12.96409,196124,72894.2
13.28029,196561,73347.8
13.59648,197028,75252.3
13.91268,197859,75788
14.22888,199037,76340.3
14.54507,199311,77183.6
14.86127,200831,79383.2
15.17747,201107,80155.1
15.49367,202019,81801.1
15.80986,202365,82406.8
16.12606,202832,83302.8
16.44226,204053,84849.6
16.75846,204069,85690
17.07465,205014,86155.8
17.39085,205309,87167.4
17.70705,205494,87556.3
18.02324,205482,88004
18.33944,206442,89633.7
18.65564,206551,89360.2
18.97184,206993,90062.6
19.28803,207675,91444.4
19.60423,208390,92498.3
19.92043,209013,93229.5
20.23663,209640,94134.6
20.55282,210183,95145.7
20.86902,210514,95719
21.18522,211289,96705.2
21.50141,211506,97440.8
21.81761,211772,98215.6
22.13381,212191,98803.5
22.45001,212420,98896.6
22.76620,213244,100146
23.08240,213444,101500
23.39860,214066,102665
23.71480,214302,103677
24.03099,215253,105347
24.34719,215517,105288
24.66339,215440,105001
24.97958,215758,105586
25.29578,216398,106082
25.61198,216520,106506
25.92818,216611,106928
26.24437,216834,107486
26.56057,217102,108081
26.87677,216653,108138
27.19297,217927,108665
27.50916,217841,109007
27.82536,218287,110581
28.14156,218704,111818
28.45775,218559,112156
28.77395,219000,112630
29.09015,219266,113384
29.40635,220162,114809
29.72254,220199,115243
30.03874,220281,115661
30.35494,219709,116083
30.67114,220195,117025
30.98733,220761,117975
31.30353,221110,118609
31.61973,221007,118904
31.93592,221260,119334
32.25212,221407,119604
32.56832,221578,119733
32.88452,221801,120723
33.20071,221690,121090
33.51691,221944,122055
33.83311,221952,122268
34.14931,222085,122834
34.46550,222509,123448
34.78170,222472,124366
35.09790,222353,124847
35.41409,222550,125462
35.73029,222682,125806
36.04649,222705,125993
36.36269,223233,126463
36.67888,222790,126984
36.99508,222918,127218
37.31128,223313,128176
37.62748,223349,128941
37.94367,223812,129748
38.25987,223916,130266
38.57607,224290,131328
38.89226,223955,131033
39.20846,224042,131569
39.52466,223713,131686
39.84086,223683,132036
40.15705,223473,132556
40.47325,223665,132548
40.78945,224006,133278
41.10565,223177,133356
41.42184,223350,133530
41.73804,222685,133446
42.05424,222687,133684
42.37043,223311,134330
42.68663,223378,134811
43.00283,223272,135713
43.31903,223406,136079
43.63522,223395,136848
43.95142,223216,137009
44.26762,223066,137243
44.58382,222710,137496
44.90001,222605,137651
45.21621,222602,137601
45.53241,222887,138878
45.84861,222258,138582
46.16480,222068,138321
46.48100,222353,138738
46.79720,221860,138510
47.11339,221882,138834
47.42959,221243,138609
47.74579,221407,139042
48.06199,221034,139053
48.37818,221116,139660
48.69438,220641,140124
49.01058,220586,140014
49.32678,220195,139983
49.64297,219958,140437
49.95917,219953,140194
50.27537,219672,140048
50.59156,219811,140650
50.90776,219391,141098
51.22396,218971,140659
51.54016,218936,141094
51.85635,218928,141413
52.17255,218711,142158
52.48875,218388,142377
52.80495,218411,142690
53.12114,218067,142821
53.43734,217640,142563
53.75354,217344,142265
54.06973,217458,142208
54.38593,217086,142472
54.70213,216893,143007
55.01833,216564,142498
55.33452,216455,142661
55.65072,215806,141977
55.96692,215571,142209
56.28312,215532,142383
56.59931,214887,142426
56.91551,214962,142320
57.23171,214509,142600
57.54790,215104,143403
57.86410,214800,143591
58.18030,214487,143416
58.49650,213665,142973
58.81269,213733,143386
59.12889,213469,143381
59.44509,212954,143306
59.76129,212496,143355
60.07748,212651,143729
60.39368,212035,143607
60.70988,212459,143987
61.02607,211923,143525
61.34227,211857,143900
61.65847,211364,143427
61.97467,211248,143648
62.29086,211272,143364
62.60706,210344,142969
62.92326,210400,143456
63.23946,210278,143539
63.55565,209772,143466
63.87185,210004,143677
64.18805,209729,143673
64.50424,209521,143502
64.82044,209306,143481
65.13664,208585,143396
65.45284,208801,143318
65.76903,208359,143361
66.08523,208360,143610
66.40143,208279,143372
66.71763,207880,143123
67.03382,207593,143094
67.35002,207131,143030
67.66622,207039,143172
67.98241,207048,143428
68.29861,207107,143666
68.61481,206589,143195
68.93101,206153,143114
69.24720,206276,143569
69.56340,206162,143446
69.87960,205506,142748
70.19580,205431,143099
70.51199,205318,143370
70.82819,204945,143014
71.14439,204742,142745
71.46058,204857,143056
71.77678,204587,143145
72.09298,204564,142986
72.40918,204176,142706
72.72537,204045,143048
73.04157,203457,142567
73.35777,203361,142303
73.67397,203030,142270
73.99016,203266,142474
74.30636,203016,142612
74.62256,202834,142757
74.93875,202151,142373
75.25495,202273,142454
75.57115,201861,142380
75.88735,202186,142755
76.20354,201522,142322
76.51974,201535,142442
76.83594,201424,142315
77.15214,200977,142171
77.46833,200936,142067
77.78453,200981,141978
78.10073,200377,141757
78.41692,200147,141801
78.73312,200106,141799
79.04932,199482,141696
79.36552,199476,141874
79.68171,199664,141998
79.99791,199256,141490
80.31411,199101,141657
80.63031,198924,141400
80.94650,198450,141332
81.26270,198057,141044
81.57890,198145,141035
81.89509,198236,141242
82.21129,197996,141421
82.52749,197837,141351
82.84369,197615,141254
83.15988,197306,141286
83.47608,197097,141347
