t_ms,N,N0
0.31620,221693,88847.6
0.63239,205784,65727.6
0.94859,200045,55634.3
1.26479,197489,50226.5
1.58099,196666,47384.8
1.89718,197208,46398.6
2.21338,199472,47914
2.52958,201240,48912.3
2.84578,202817,51397.9
3.16197,205037,54045.4
3.47817,207242,56309.1
3.79437,209358,58855.8
4.11056,211563,61217.9
4.42676,213275,63602.6
4.74296,214540,65015.2
5.05916,216525,66434.5
5.37535,218163,67653.9
5.69155,220140,70087.6
6.00775,221408,71998.1
6.32395,223180,73749.4
6.64014,224714,75255.3
6.95634,226250,77353.8
7.27254,227412,78494.9
7.58873,229580,80647
7.90493,231097,82801.3
8.22113,232859,84321.2
8.53733,234769,86203.6
8.85352,236307,88706.2
9.16972,237563,89611.8
9.48592,238811,91249.9
9.80212,240250,92710.9
10.11831,241354,94580
10.43451,243318,96489.6
10.75071,243463,97525.3
11.06690,244635,99403.9
11.38310,246579,100982
11.69930,247310,101458
12.01550,248224,103135
12.33169,249278,104376
12.64789,250335,105016
12.96409,252042,106738
13.28029,252626,107373
13.59648,253711,109855
13.91268,254603,111010
14.22888,256722,112390
14.54507,257656,114138
14.86127,259550,116996
15.17747,259848,117768
15.49367,261792,120255
15.80986,262685,121174
16.12606,263661,122161
16.44226,265544,124259
16.75846,266100,126146
17.07465,267511,127669
17.39085,268260,129200
17.70705,268719,130103
18.02324,269196,130457
18.33944,270892,132831
18.65564,271605,132930
18.97184,272700,134290
19.28803,273638,136180
19.60423,275109,138532
19.92043,276149,139809
20.23663,276993,141241
20.55282,278402,142853
20.86902,279155,143348
21.18522,280412,144782
21.50141,281165,145612
21.81761,281902,147329
22.13381,282787,148005
22.45001,283662,148511
22.76620,285305,150721
23.08240,286128,152763
23.39860,287211,154274
23.71480,288431,156059
24.03099,289224,158160
24.34719,290279,158808
24.66339,290863,159241
24.97958,291567,160529
25.29578,292568,161779
25.61198,293135,162518
25.92818,294068,163535
26.24437,294548,164655
26.56057,295729,165653
26.87677,295602,166200
27.19297,297155,167243
27.50916,297608,167667
27.82536,298431,169626
28.14156,299072,171179
28.45775,299235,171891
28.77395,300501,172680
29.09015,301771,173760
29.40635,302830,175882
29.72254,303357,177076
30.03874,303609,178253
30.35494,303863,179325
30.67114,304688,180698
30.98733,306248,182632
31.30353,306937,183659
31.61973,307269,184746
31.93592,307830,185802
32.25212,308811,186538
32.56832,309397,186850
32.88452,309771,188269
33.20071,310484,189460
33.51691,310976,191058
33.83311,311253,192014
34.14931,311837,192563
34.46550,313225,193962
34.78170,313454,195230
35.09790,313692,196248
35.41409,314284,197480
35.73029,314955,197905
36.04649,315581,198840
36.36269,316842,200394
36.67888,316583,201123
36.99508,317340,201933
37.31128,318353,204067
37.62748,318648,205203
37.94367,319359,206323
38.25987,320111,207063
38.57607,321051,208431
38.89226,321105,209061
39.20846,321877,210431
39.52466,321948,211025
39.84086,322489,211551
40.15705,322460,212589
40.47325,322901,213311
40.78945,323686,214221
41.10565,323279,214511
41.42184,324206,215963
41.73804,323808,215900
42.05424,324343,216768
42.37043,325244,217559
42.68663,325363,218156
43.00283,325930,219670
43.31903,326463,220536
43.63522,326844,222153
43.95142,326979,222970
44.26762,327154,223830
44.58382,327211,224253
44.90001,327811,225734
45.21621,327878,225722
45.53241,328494,227049
45.84861,328243,227197
46.16480,328982,228118
46.48100,329681,228899
46.79720,329591,229081
47.11339,329883,229420
47.42959,329290,229434
47.74579,329735,230001
48.06199,329829,230374
48.37818,329986,231071
48.69438,329742,231863
49.01058,330075,232325
49.32678,329952,232802
49.64297,330463,233758
49.95917,330523,234080
50.27537,330364,234065
50.59156,330981,235875
50.90776,331038,236352
51.22396,330940,236706
51.54016,331043,237635
51.85635,331610,238220
52.17255,332267,239595
52.48875,331942,240368
52.80495,332429,241064
53.12114,332398,241557
53.43734,332210,241321
53.75354,331857,241148
54.06973,332198,242011
54.38593,332295,242467
54.70213,332554,243442
55.01833,332359,243287
55.33452,332565,243729
55.65072,332100,243090
55.96692,332516,244058
56.28312,332488,244031
56.59931,332157,244514
56.91551,332898,245335
57.23171,332270,245455
57.54790,333283,246717
57.86410,333414,247270
58.18030,333317,247542
58.49650,333001,247940
58.81269,333464,248486
59.12889,333138,248515
59.44509,333098,249155
59.76129,333017,249204
60.07748,333398,249923
60.39368,333116,249951
60.70988,333959,250462
61.02607,333593,250905
61.34227,333841,251632
61.65847,333635,251528
61.97467,333717,252081
62.29086,334344,252872
62.60706,333702,252392
62.92326,333648,252606
63.23946,333724,252821
