t_ms,N,N0
0.34235,337298,287405
0.68470,336635,278558
1.02705,333015,271352
1.36939,329503,266271
1.71174,327086,262636
2.05409,326169,260413
2.39644,326416,260606
2.73879,327326,261412
3.08114,327584,261932
3.42348,328057,262592
3.76583,328160,262921
4.10818,327906,262273
4.45053,328328,262565
4.79288,327995,262233
5.13523,328440,262665
5.47757,327876,262326
5.81992,327973,261961
6.16227,327403,261609
6.50462,327880,261587
6.84697,327693,261664
7.18932,327835,261675
7.53166,327917,261574
7.87401,327863,261539
8.21636,327355,261950
8.55871,327305,261069
8.90106,327292,261359
9.24341,327674,261479
9.58575,327980,262031
9.92810,327656,261681
10.27045,327883,261676
10.61280,327924,261260
10.95515,327649,261220
11.29750,327919,262119
11.63984,328517,262434
11.98219,327499,260838
12.32454,328010,262659
12.66689,327485,262020
13.00924,327258,262036
13.35159,327693,262778
13.69393,327917,262384
14.03628,328057,262346
14.37863,327875,262157
14.72098,327772,262187
15.06333,328243,262515
15.40568,328030,262677
15.74802,327904,263101
16.09037,328255,263492
16.43272,328331,263294
16.77507,327569,262464
17.11742,327525,261491
17.45977,327213,261778
17.80211,327491,261882
18.14446,328012,262802
18.48681,327371,261706
18.82916,328045,262319
19.17151,328225,262450
19.51386,327771,262519
19.85620,327621,262360
20.19855,327399,262387
20.54090,327712,262943
20.88325,327762,262094
21.22560,327478,261487
21.56795,328067,261157
21.91029,327597,261168
22.25264,327950,261648
22.59499,327484,261096
22.93734,327268,260837
23.27969,327905,262354
23.62204,327846,262134
23.96438,328181,262470
24.30673,328206,262112
24.64908,327915,261918
24.99143,327588,261575
25.33378,327448,261307
25.67613,327792,261283
26.01847,327194,263458
26.36082,326694,264695
26.70317,326288,264969
27.04552,325931,264866
27.38787,325581,265035
27.73022,325204,265401
28.07256,324782,265821
28.41491,324315,266339
28.75726,323836,266453
29.09961,323393,266504
29.44196,323015,266288
29.78431,322695,265743
30.12665,322406,265826
30.46900,322119,265687
30.81135,321807,266006
31.15370,321457,265893
31.49605,321075,266022
31.83840,320693,265883
32.18074,320339,265338
32.52309,320030,265076
32.86544,319760,265146
33.20779,319516,265304
33.55014,319283,265169
33.89249,319046,264932
34.23483,318791,264667
34.57718,318511,264714
34.91953,318213,264760
35.26188,317916,264801
35.60423,317641,264567
35.94658,317398,264169
36.28892,317185,264020
36.63127,316992,264013
36.97362,316809,263988
37.31597,316627,263599
37.65832,316438,263660
38.00067,316239,263608
38.34301,316029,263342
38.68536,315812,263350
39.02771,315596,263288
39.37006,315391,263159
39.71241,315204,262863
40.05476,315036,262444
40.39710,314885,262421
40.73945,314746,262474
41.08180,314613,262235
41.42415,314483,262155
41.76650,314349,262433
42.10885,314212,262677
42.45119,314068,262619
42.79354,313921,262305
43.13589,313773,262345
43.47824,313629,262123
43.82059,313492,261789
44.16294,313366,261712
44.50528,313250,261636
44.84763,313143,261315
45.18998,313045,261007
45.53233,312952,260831
45.87468,312863,260808
46.21703,312777,260933
46.55937,312691,261036
46.90172,312605,260824
47.24407,312518,260561
47.58642,312430,260663
47.92877,312341,260852
48.27112,312253,260803
48.61346,312167,260773
48.95581,312083,260565
49.29816,312004,260410
49.64051,311929,260393
49.98286,311859,260379
50.32521,311794,260256
50.66755,311732,260227
51.00990,311674,260191
51.35225,311618,259983
51.69460,311564,259876
52.03695,311512,259630
52.37930,311462,259521
52.72164,311412,259411
53.06399,311364,259393
53.40634,311316,259358
53.74869,311269,259248
54.09104,311223,259329
54.43339,311178,259073
54.77573,311133,258926
55.11808,311090,258996
55.46043,311048,258787
55.80278,311007,258783
56.14513,310966,258686
56.48748,310927,258634
56.82982,310889,258210
57.17217,310852,258280
57.51452,310815,258447
57.85687,310780,258403
58.19922,310745,258274
58.54157,310711,258265
58.88391,310677,258345
59.22626,310645,258166
59.56861,310613,258212
59.91096,310581,257991
60.25331,310549,257980
60.59566,310518,257845
60.93800,310487,257913
61.28035,310457,258027
61.62270,310426,257978
61.96505,310395,257839
