t_ms,N,N0
0.34235,337298,287405
0.68470,336635,278558
1.02705,333015,271352
1.36939,329503,266271
1.71174,327086,262636
2.05409,326169,260413
2.39644,326416,260606
2.73879,327326,261412
3.08114,327584,261932
3.42348,328057,262592
3.76583,328160,262921
4.10818,327906,262273
4.45053,328328,262565
4.79288,327995,262233
5.13523,328440,262665
5.47757,327876,262326
5.81992,327973,261961
6.16227,327403,261609
6.50462,327880,261587
6.84697,327693,261664
7.18932,327835,261675
7.53166,327917,261574
7.87401,327863,261539
8.21636,327355,261950
8.55871,327305,261069
8.90106,327292,261359
9.24341,327674,261479
9.58575,327980,262031
9.92810,327656,261681
10.27045,327883,261676
10.61280,327924,261260
10.95515,327649,261220
11.29750,327919,262119
11.63984,328517,262434
11.98219,327499,260838
12.32454,328010,262659
12.66689,327485,262020
13.00924,327258,262036
13.35159,327693,262778
13.69393,327917,262384
14.03628,328057,262346
14.37863,327875,262157
14.72098,327772,262187
15.06333,328243,262515
15.40568,328030,262677
15.74802,327904,263101
16.09037,328255,263492
16.43272,328331,263294
16.77507,327569,262464
17.11742,327525,261491
17.45977,327213,261778
17.80211,327491,261882
18.14446,328012,262802
18.48681,327371,261706
18.82916,328045,262319
19.17151,328225,262450
19.51386,327771,262519
19.85620,327621,262360
20.19855,327399,262387
20.54090,327712,262943
20.88325,327762,262094
21.22560,327478,261487
21.56795,328067,261157
21.91029,327597,261168
22.25264,327950,261648
22.59499,327484,261096
22.93734,327268,260837
23.27969,327905,262354
23.62204,327846,262134
23.96438,328181,262470
24.30673,328206,262112
24.64908,327915,261918
24.99143,327588,261575
25.33378,327448,261307
25.67613,327792,261283
26.01847,327194,263461
26.36082,326691,264723
26.70317,326278,265011
27.04552,325908,264905
27.38787,325532,265057
27.73022,325114,265533
28.07256,324633,266062
28.41491,324098,266366
28.75726,323559,266348
29.09961,323074,266011
29.44196,322663,266115
29.78431,322304,265301
30.12665,321955,265219
30.46900,321575,265089
30.81135,321135,265110
31.15370,320639,265767
31.49605,320135,264809
31.83840,319674,264166
32.18074,319273,264121
32.52309,318918,264021
32.86544,318580,263690
33.20779,318230,263444
33.55014,317840,262968
33.89249,317397,263125
34.23483,316923,262553
34.57718,316471,262477
34.91953,316074,261783
35.26188,315725,261622
35.60423,315400,261363
35.94658,315073,260857
36.28892,314719,260802
36.63127,314326,260675
36.97362,313899,260549
37.31597,313467,260100
37.65832,313065,259944
38.00067,312710,259802
38.34301,312391,258915
38.68536,312085,258589
39.02771,311769,258401
39.37006,311421,258447
39.71241,311037,258379
40.05476,310633,257978
40.39710,310240,257642
40.73945,309880,257492
41.08180,309555,257147
41.42415,309254,256689
41.76650,308961,256573
42.10885,308657,256280
42.45119,308325,256261
42.79354,307962,256094
43.13589,307585,255880
43.47824,307221,255537
43.82059,306888,255023
44.16294,306587,254845
44.50528,306304,254537
44.84763,306024,254388
45.18998,305732,254466
45.53233,305419,254061
45.87468,305083,253682
46.21703,304735,253340
46.55937,304396,252993
46.90172,304082,252790
47.24407,303795,252514
47.58642,303527,252314
47.92877,303264,252147
48.27112,302991,251872
48.61346,302699,251381
48.95581,302387,251434
49.29816,302065,251064
49.64051,301748,251116
49.98286,301450,250719
50.32521,301175,250278
50.66755,300918,250123
51.00990,300669,249670
51.35225,300416,249291
51.69460,300149,249560
52.03695,299865,249582
52.37930,299567,249209
52.72164,299268,249149
53.06399,298983,248901
53.40634,298717,248615
53.74869,298469,248029
54.09104,298232,247405
54.43339,297996,247490
54.77573,297753,247598
55.11808,297496,247185
55.46043,297226,247354
55.80278,296948,247230
56.14513,296673,247242
56.48748,296412,246665
56.82982,296168,246600
57.17217,295938,246182
57.51452,295715,245810
57.85687,295491,245452
58.19922,295258,245157
58.54157,295014,245376
58.88391,294759,245219
59.22626,294500,244899
59.56861,294247,244917
59.91096,294004,244834
60.25331,293776,244248
60.59566,293559,244264
60.93800,293346,244126
61.28035,293132,243601
61.62270,292909,243661
61.96505,292674,243544
