t_ms,N,N0
0.34235,337298,287405
0.68470,336635,278558
1.02705,333015,271352
1.36939,329503,266271
1.71174,327086,262636
2.05409,326169,260413
2.39644,326416,260606
2.73879,327326,261412
3.08114,327584,261932
3.42348,328057,262592
3.76583,328160,262921
4.10818,327906,262273
4.45053,328328,262565
4.79288,327995,262233
5.13523,328440,262665
5.47757,327876,262326
5.81992,327973,261961
6.16227,327403,261609
6.50462,327880,261587
6.84697,327693,261664
7.18932,327835,261675
7.53166,327917,261574
7.87401,327863,261539
8.21636,327355,261950
8.55871,327305,261069
8.90106,327292,261359
9.24341,327674,261479
9.58575,327980,262031
9.92810,327656,261681
10.27045,327883,261676
10.61280,327924,261260
10.95515,327649,261220
11.29750,327919,262119
11.63984,328517,262434
11.98219,327499,260838
12.32454,328010,262659
12.66689,327485,262020
13.00924,327258,262036
13.35159,327693,262778
13.69393,327917,262384
14.03628,328057,262346
14.37863,327875,262157
14.72098,327772,262187
15.06333,328243,262515
15.40568,328030,262677
15.74802,327904,263101
16.09037,328255,263492
16.43272,328331,263294
16.77507,327569,262464
17.11742,327525,261491
17.45977,327213,261778
17.80211,327491,261882
18.14446,328012,262802
18.48681,327371,261706
18.82916,328045,262319
19.17151,328225,262450
19.51386,327771,262519
19.85620,327621,262360
20.19855,327399,262387
20.54090,327712,262943
20.88325,327762,262094
21.22560,327478,261487
21.56795,328067,261157
21.91029,327597,261168
22.25264,327950,261648
22.59499,327484,261096
22.93734,327268,260837
23.27969,327905,262354
23.62204,327846,262134
23.96438,328181,262470
24.30673,328206,262112
24.64908,327915,261918
24.99143,327588,261575
25.33378,327448,261307
25.67613,327792,261283
26.01847,327175,263558
26.36082,326566,264890
26.70317,325948,265205
27.04552,325312,264934
27.38787,324675,265160
27.73022,324061,265564
28.07256,323473,265848
28.41491,322896,266027
28.75726,322312,265701
29.09961,321719,265484
29.44196,321121,265049
29.78431,320524,265130
30.12665,319938,264855
30.46900,319371,264630
30.81135,318820,264015
31.15370,318269,263463
31.49605,317708,262831
31.83840,317137,262714
32.18074,316570,262606
32.52309,316015,262103
32.86544,315475,261555
33.20779,314945,261176
33.55014,314419,260974
33.89249,313891,260460
34.23483,313354,260153
34.57718,312812,259673
34.91953,312279,259139
35.26188,311762,258761
35.60423,311256,258434
35.94658,310755,258412
36.28892,310251,257586
36.63127,309744,256900
36.97362,309233,256691
37.31597,308724,256179
37.65832,308225,256080
38.00067,307738,255858
38.34301,307262,255411
38.68536,306786,255005
39.02771,306305,254739
39.37006,305819,254041
39.71241,305335,253610
40.05476,304858,253173
40.39710,304391,252732
40.73945,303932,252479
41.08180,303479,252037
41.42415,303026,251927
41.76650,302567,251582
42.10885,302105,251272
42.45119,301647,250676
42.79354,301198,249977
43.13589,300760,249784
43.47824,300327,249593
43.82059,299896,249352
44.16294,299462,249065
44.50528,299027,248919
44.84763,298591,248629
45.18998,298159,248061
45.53233,297736,247235
45.87468,297322,246686
46.21703,296913,246641
46.55937,296503,246166
46.90172,296091,246028
47.24407,295677,245571
47.58642,295266,245584
47.92877,294860,245066
48.27112,294461,244615
48.61346,294068,244414
48.95581,293680,243967
49.29816,293291,243572
49.64051,292900,243167
49.98286,292508,243003
50.32521,292119,242775
50.66755,291736,242568
51.00990,291359,242336
51.35225,290988,241939
51.69460,290619,241373
52.03695,290251,241146
52.37930,289881,240614
52.72164,289511,240568
53.06399,289144,240342
53.40634,288781,240250
53.74869,288424,239793
54.09104,288073,239598
54.43339,287724,239268
54.77573,287375,238852
55.11808,287025,238344
55.46043,286675,238230
55.80278,286326,237714
56.14513,285981,237374
56.48748,285640,237247
56.82982,285305,237069
57.17217,284972,237010
57.51452,284641,236688
57.85687,284309,236532
58.19922,283976,236150
58.54157,283644,235854
58.88391,283315,235131
59.22626,282990,234882
59.56861,282670,234730
59.91096,282353,234423
60.25331,282037,234316
60.59566,281720,234039
60.93800,281401,233920
61.28035,281081,233718
61.62270,280761,233238
61.96505,280443,232641
