t_ms,N,N0
0.34235,353580,279229
0.68470,349514,265795
1.02705,342726,255695
1.36939,338044,248784
1.71174,335383,243967
2.05409,334281,242543
2.39644,335508,243382
2.73879,336057,244385
3.08114,336804,244902
3.42348,336989,245267
3.76583,337784,245716
4.10818,337403,245326
4.45053,337250,245426
4.79288,337480,245210
5.13523,337553,245520
5.47757,337507,245584
5.81992,337941,246057
6.16227,337513,245814
6.50462,337002,245650
6.84697,337422,245619
7.18932,337497,245763
7.53166,337217,245550
7.87401,336828,244933
8.21636,337096,245427
8.55871,337430,245749
8.90106,337240,245901
9.24341,337193,245658
9.58575,337177,245251
9.92810,336532,244377
10.27045,336596,244182
10.61280,336822,244507
10.95515,337147,245285
11.29750,336711,244787
11.63984,337611,246150
11.98219,337203,245819
12.32454,337283,245808
12.66689,337323,245318
13.00924,337152,244972
13.35159,337079,245304
13.69393,337169,245416
14.03628,336954,245141
14.37863,336824,245021
14.72098,336965,244825
15.06333,337371,245804
15.40568,337351,246190
15.74802,337435,246041
16.09037,337851,245864
16.43272,337543,245450
16.77507,337525,245180
17.11742,336980,244264
17.45977,336643,244191
17.80211,336788,243753
18.14446,336994,245522
18.48681,336909,246120
18.82916,337153,246009
19.17151,336754,245403
19.51386,336536,245610
19.85620,336591,245301
20.19855,337046,245228
20.54090,337242,245603
20.88325,336697,244442
21.22560,337195,245184
21.56795,337265,246163
21.91029,337291,246042
22.25264,337009,245318
22.59499,336358,244262
22.93734,336694,243801
23.27969,337475,245033
23.62204,336979,244981
23.96438,337616,245293
24.30673,337020,244683
24.64908,336684,244706
24.99143,337122,245189
25.33378,336965,244838
25.67613,337249,245190
26.01847,336626,248226
26.36082,336011,250495
26.70317,335377,251303
27.04552,334713,250902
27.38787,334042,251912
27.73022,333403,252172
28.07256,332804,251657
28.41491,332221,252084
28.75726,331629,251941
29.09961,331020,252138
29.44196,330399,252037
29.78431,329777,251281
30.12665,329169,250996
30.46900,328587,250961
30.81135,328029,250576
31.15370,327473,249740
31.49605,326901,249523
31.83840,326310,249643
32.18074,325718,249598
32.52309,325142,249079
32.86544,324587,248277
33.20779,324047,248220
33.55014,323515,247663
33.89249,322978,246979
34.23483,322426,246669
34.57718,321865,246496
34.91953,321310,246209
35.26188,320775,246241
35.60423,320261,245709
35.94658,319754,245257
36.28892,319241,244746
36.63127,318720,244266
36.97362,318191,243576
37.31597,317663,242917
37.65832,317147,243216
38.00067,316649,243077
38.34301,316164,242383
38.68536,315682,242192
39.02771,315191,241858
39.37006,314691,241305
39.71241,314188,240701
40.05476,313695,240320
40.39710,313215,240183
40.73945,312748,239827
41.08180,312287,239471
41.42415,311825,239321
41.76650,311355,238936
42.10885,310880,238696
42.45119,310405,238207
42.79354,309942,237487
43.13589,309492,237196
43.47824,309052,236797
43.82059,308613,236848
44.16294,308170,236498
44.50528,307723,235994
44.84763,307273,235819
45.18998,306828,235570
45.53233,306391,235316
45.87468,305965,234574
46.21703,305548,234282
46.55937,305131,233965
46.90172,304710,233703
47.24407,304284,233731
47.58642,303858,233183
47.92877,303438,232906
48.27112,303027,232279
48.61346,302624,232010
48.95581,302226,231599
49.29816,301830,231317
49.64051,301431,230632
49.98286,301029,230767
50.32521,300627,230786
50.66755,300230,230122
51.00990,299842,229353
51.35225,299460,229193
51.69460,299083,229106
52.03695,298707,228575
52.37930,298329,228144
52.72164,297949,228062
53.06399,297570,227777
53.40634,297194,227668
53.74869,296826,227335
54.09104,296465,227316
54.43339,296108,226640
54.77573,295751,226001
55.11808,295393,225620
55.46043,295033,225543
55.80278,294673,225497
56.14513,294316,225296
56.48748,293965,225262
56.82982,293619,225109
57.17217,293278,224566
57.51452,292939,224050
57.85687,292599,223874
58.19922,292257,223525
58.54157,291914,223187
58.88391,291573,222907
59.22626,291238,222664
