t_ms,N,N0
0.34235,353580,279229
0.68470,349514,265795
1.02705,342726,255695
1.36939,338044,248784
1.71174,335383,243967
2.05409,334281,242543
2.39644,335508,243382
2.73879,336057,244385
3.08114,336804,244902
3.42348,336989,245267
3.76583,337784,245716
4.10818,337403,245326
4.45053,337250,245426
4.79288,337480,245210
5.13523,337553,245520
5.47757,337507,245584
5.81992,337941,246057
6.16227,337513,245814
6.50462,337002,245650
6.84697,337422,245619
7.18932,337497,245763
7.53166,337217,245550
7.87401,336828,244933
8.21636,337096,245427
8.55871,337430,245749
8.90106,337240,245901
9.24341,337193,245658
9.58575,337177,245251
9.92810,336532,244377
10.27045,336596,244182
10.61280,336822,244507
10.95515,337147,245285
11.29750,336711,244787
11.63984,337611,246150
11.98219,337203,245819
12.32454,337283,245808
12.66689,337323,245318
13.00924,337152,244972
13.35159,337079,245304
13.69393,337169,245416
14.03628,336954,245141
14.37863,336824,245021
14.72098,336965,244825
15.06333,337371,245804
15.40568,337351,246190
15.74802,337435,246041
16.09037,337851,245864
16.43272,337543,245450
16.77507,337525,245180
17.11742,336980,244264
17.45977,336643,244191
17.80211,336788,243753
18.14446,336994,245522
18.48681,336909,246120
18.82916,337153,246009
19.17151,336754,245403
19.51386,336536,245610
19.85620,336591,245301
20.19855,337046,245228
20.54090,337242,245603
20.88325,336697,244442
21.22560,337195,245184
21.56795,337265,246163
21.91029,337291,246042
22.25264,337009,245318
22.59499,336358,244262
22.93734,336694,243801
23.27969,337475,245033
23.62204,336979,244981
23.96438,337616,245293
24.30673,337020,244683
24.64908,336684,244706
24.99143,337122,245189
25.33378,336965,244838
25.67613,337249,245190
26.01847,336645,248138
26.36082,336134,250188
26.70317,335705,251357
27.04552,335310,251167
27.38787,334905,251307
27.73022,334457,252547
28.07256,333954,253058
28.41491,333411,252481
28.75726,332873,252285
29.09961,332382,252727
29.44196,331955,253024
29.78431,331571,253156
30.12665,331196,252809
30.46900,330793,252541
30.81135,330337,252304
31.15370,329835,252592
31.49605,329329,252645
31.83840,328862,252456
32.18074,328447,251938
32.52309,328071,251290
32.86544,327709,251301
33.20779,327335,251209
33.55014,326927,251171
33.89249,326476,250823
34.23483,326003,250667
34.57718,325548,250892
34.91953,325138,250104
35.26188,324770,249207
35.60423,324423,249008
35.94658,324073,248682
36.28892,323701,248887
36.63127,323297,248843
36.97362,322866,248728
37.31597,322433,248429
37.65832,322025,247968
38.00067,321654,247856
38.34301,321313,247459
38.68536,320984,246863
39.02771,320647,246457
39.37006,320284,246288
39.71241,319894,246253
40.05476,319489,246315
40.39710,319092,246089
40.73945,318722,245606
41.08180,318380,245658
41.42415,318060,245599
41.76650,317745,244589
42.10885,317421,244082
42.45119,317077,243555
42.79354,316710,244047
43.13589,316332,244162
43.47824,315964,243665
43.82059,315620,243464
44.16294,315301,243081
44.50528,314998,243019
44.84763,314698,242950
45.18998,314390,242473
45.53233,314065,241977
45.87468,313724,241898
46.21703,313374,241591
46.55937,313030,241412
46.90172,312705,241151
47.24407,312401,240955
47.58642,312113,240807
47.92877,311831,240527
48.27112,311542,240186
48.61346,311239,239818
48.95581,310922,239493
49.29816,310597,239595
49.64051,310275,239263
49.98286,309968,239162
50.32521,309678,238891
50.66755,309402,238612
51.00990,309133,238604
51.35225,308864,238371
51.69460,308585,238031
52.03695,308295,237756
52.37930,307994,237813
52.72164,307692,237575
53.06399,307398,237256
53.40634,307119,237086
53.74869,306855,236627
54.09104,306599,236357
54.43339,306347,236240
54.77573,306090,236130
55.11808,305825,235870
55.46043,305549,235663
55.80278,305268,235181
56.14513,304989,235443
56.48748,304718,235190
56.82982,304460,234903
57.17217,304212,234851
57.51452,303972,234391
57.85687,303733,234141
58.19922,303489,233845
58.54157,303237,233876
58.88391,302977,233619
59.22626,302714,233132
