t_s,m_omega,omega_ramp_hz,omega_eff_hz
0.000000e+00,0.97611,1036.5358,1011.7681
5.563910e-03,0.97611,1035.3647,1010.6250
1.112782e-02,0.97611,1034.1900,1009.4784
1.669173e-02,0.97611,1033.0116,1008.3282
2.225564e-02,0.97611,1031.8295,1007.1743
2.781955e-02,0.97611,1030.6436,1006.0167
3.338346e-02,0.97611,1029.4539,1004.8555
3.894737e-02,0.97611,1028.2604,1003.6905
4.451128e-02,0.97611,1027.0630,1002.5217
5.007519e-02,0.97611,1025.8617,1001.3491
5.563910e-02,0.97611,1024.6564,1000.1726
6.120301e-02,0.97611,1023.4472,998.9923
6.676692e-02,0.97611,1022.2339,997.8080
7.233083e-02,0.97611,1021.0165,996.6197
7.789474e-02,0.97611,1019.7950,995.4274
8.345865e-02,0.97611,1018.5694,994.2310
8.902256e-02,0.97611,1017.3395,993.0305
9.458647e-02,0.97611,1016.1054,991.8259
1.001504e-01,0.97611,1014.8670,990.6171
1.057143e-01,0.97611,1013.6243,989.4041
1.112782e-01,0.97611,1012.3772,988.1868
1.168421e-01,0.97611,1011.1256,986.9651
1.224060e-01,0.97611,1009.8696,985.7391
1.279699e-01,0.97611,1008.6091,984.5087
1.335338e-01,0.97611,1007.3439,983.2738
1.390977e-01,0.97611,1006.0742,982.0344
1.446617e-01,0.97611,1004.7997,980.7904
1.502256e-01,0.97611,1003.5206,979.5418
1.557895e-01,0.97611,1002.2366,978.2885
1.613534e-01,0.97611,1000.9478,977.0305
1.669173e-01,0.97611,999.6542,975.7678
1.724812e-01,0.97611,998.3555,974.5002
1.780451e-01,0.97611,997.0519,973.2277
1.836090e-01,0.97611,995.7432,971.9503
1.891729e-01,0.97611,994.4294,970.6678
1.947368e-01,0.97611,993.1104,969.3804
2.003008e-01,0.97611,991.7862,968.0878
2.058647e-01,0.97611,990.4566,966.7900
2.114286e-01,0.97611,989.1217,965.4870
2.169925e-01,0.97611,987.7813,964.1786
2.225564e-01,0.97611,986.4355,962.8650
2.281203e-01,0.97611,985.0841,961.5458
2.336842e-01,0.97611,983.7270,960.2212
2.392481e-01,0.97611,982.3643,958.8910
2.448120e-01,0.97611,980.9958,957.5552
2.503759e-01,0.97611,979.6214,956.2137
2.559398e-01,0.97611,978.2411,954.8663
2.615038e-01,0.97611,976.8548,953.5132
2.670677e-01,0.97611,975.4624,952.1541
2.726316e-01,0.97611,974.0639,950.7890
2.781955e-01,0.97611,972.6592,949.4178
2.837594e-01,0.97611,971.2481,948.0405
2.893233e-01,0.97611,969.8307,946.6569
2.948872e-01,0.97611,968.4067,945.2670
3.004511e-01,0.97611,966.9762,943.8707
3.060150e-01,0.97611,965.5391,942.4678
3.115789e-01,0.97611,964.0952,941.0584
3.171429e-01,0.97611,962.6444,939.6424
3.227068e-01,0.97611,961.1868,938.2195
3.282707e-01,0.97611,959.7221,936.7898
3.338346e-01,0.97611,958.2502,935.3532
3.393985e-01,0.97611,956.7712,933.9095
3.449624e-01,0.97611,955.2848,932.4586
3.505263e-01,0.97611,953.7910,931.0005
3.560902e-01,0.97611,952.2897,929.5350
3.616541e-01,0.97611,950.7806,928.0621
3.672180e-01,0.97611,949.2639,926.5815
3.727820e-01,0.97611,947.7392,925.0933
3.783459e-01,0.97611,946.2066,923.5973
3.839098e-01,0.97611,944.6658,922.0934
3.894737e-01,0.97611,943.1168,920.5814
3.950376e-01,0.97611,941.5595,919.0612
4.006015e-01,0.97611,939.9936,917.5328
4.061654e-01,0.97611,938.4192,915.9960
4.117293e-01,0.97611,936.8359,914.4506
4.172932e-01,0.97611,935.2438,912.8965
4.228571e-01,0.97611,933.6426,911.3336
4.284211e-01,0.97611,932.0323,909.7617
4.339850e-01,0.97611,930.4126,908.1807
4.395489e-01,0.97611,928.7834,906.5904
4.451128e-01,0.97611,927.1446,904.9908
4.506767e-01,0.97611,925.4960,903.3816
4.562406e-01,0.97611,923.8374,901.7626
4.618045e-01,0.97611,922.1686,900.1337
4.673684e-01,0.97611,920.4896,898.4948
4.729323e-01,0.97611,918.8001,896.8457
4.784962e-01,0.97611,917.0999,895.1861
4.840602e-01,0.97611,915.3888,893.5159
4.896241e-01,0.97611,913.6667,891.8349
4.951880e-01,0.97611,911.9333,890.1430
5.007519e-01,0.97611,910.1885,888.4398
5.063158e-01,0.97611,908.4320,886.7253
5.118797e-01,0.97611,906.6636,884.9992
5.174436e-01,0.97611,904.8831,883.2612
5.230075e-01,0.97611,903.0903,881.5112
5.285714e-01,0.97611,901.2849,879.7490
5.341353e-01,0.97611,899.4667,877.9742
5.396992e-01,0.97611,897.6354,876.1867
5.452632e-01,0.97611,895.7908,874.3862
5.508271e-01,0.97611,893.9326,872.5724
5.563910e-01,0.97611,892.0606,870.7451
5.619549e-01,0.97611,890.1744,868.9040
5.675188e-01,0.97611,888.2738,867.0488
5.730827e-01,0.97611,886.3585,865.1793
5.786466e-01,0.97611,884.4281,863.2950
5.842105e-01,0.97611,882.4824,861.3958
5.897744e-01,0.97611,880.5210,859.4812
5.953383e-01,0.97611,878.5435,857.5510
6.009023e-01,0.97611,876.5496,855.6048
6.064662e-01,0.97611,874.5390,853.6422
6.120301e-01,0.97611,872.5113,851.6629
6.175940e-01,0.97611,870.4660,849.6665
6.231579e-01,0.97611,868.4028,847.6526
6.287218e-01,0.97611,866.3212,845.6208
6.342857e-01,0.97611,864.2209,843.5706
6.398496e-01,0.97611,862.1013,841.5017
6.454135e-01,0.97611,859.2165,838.6859
6.509774e-01,0.97611,856.1451,835.6878
6.565414e-01,0.97611,853.0516,832.6682
6.621053e-01,0.97611,849.9357,829.6267
6.676692e-01,0.97611,846.7969,826.5629
6.732331e-01,0.97611,843.6348,823.4764
6.787970e-01,0.97611,840.4490,820.3667
6.843609e-01,0.97611,837.2390,817.2334
6.899248e-01,0.97611,834.0044,814.0761
6.954887e-01,0.97611,830.7446,810.8942
7.010526e-01,0.97611,827.4592,807.6873
7.066165e-01,0.97611,824.1477,804.4549
7.121805e-01,0.97611,820.8095,801.1965
7.177444e-01,0.97611,817.4441,797.9115
7.233083e-01,0.97611,814.0509,794.5994
7.288722e-01,0.97611,810.6293,791.2596
7.344361e-01,0.97611,807.1788,787.8916
7.400000e-01,0.97611,803.6987,784.4946
7.455639e-01,0.97611,800.1884,781.0682
7.511278e-01,0.97611,796.6472,777.6115
7.566917e-01,0.97611,793.0743,774.1241
7.622556e-01,0.97611,789.4692,770.6051
7.678195e-01,0.97611,785.8309,767.0538
7.733835e-01,0.97611,782.1589,763.4695
7.789474e-01,0.97611,778.4522,759.8514
7.845113e-01,0.97611,774.7101,756.1986
7.900752e-01,0.97611,770.9316,752.5104
7.956391e-01,0.97611,767.1159,748.7859
8.012030e-01,0.97611,763.2620,745.0241
8.067669e-01,0.97611,759.3690,741.2241
8.123308e-01,0.97611,755.4358,737.3849
8.178947e-01,0.97611,751.4614,733.5055
8.234586e-01,0.97611,747.4447,729.5847
8.290226e-01,0.97611,743.3845,725.6216
8.345865e-01,0.97611,739.2796,721.6148
