q	B_gauss	seed	E	grad	conv	stop	fz	fperp	fz2	Lz	Sz	Jz	n_pop	pr	m_peak	p_peak
0.05	0.04120654322	transverse	11.0769571608	4.702e-07	false	line_search_stalled	-4.6873475e-21	6.4766175e-08	1.6683942e-13	-3.1652877e-18	-4.6873475e-21	-3.1699751e-18	1	1	0	1
0.05	0.04120654322	polar	11.0769571608	9.579e-09	true	tol	0	0	0	3.3309109e-17	0	3.3309109e-17	1	1	0	1
0.05	0.04120654322	flower	11.0769571608	1.664e-07	false	line_search_stalled	3.4355056e-17	2.5821293e-09	1.0310836e-15	3.0388011e-14	3.4355056e-17	3.0422366e-14	1	1	0	1
0.316227766	0.1036289699	transverse	11.0769571608	5.361e-07	false	line_search_stalled	6.1450283e-23	8.5989359e-08	1.4701016e-14	-5.6660778e-18	6.1450283e-23	-5.6660163e-18	1	1	0	1
0.316227766	0.1036289699	polar	11.0769571608	9.579e-09	true	tol	0	0	0	3.3309109e-17	0	3.3309109e-17	1	1	0	1
0.316227766	0.1036289699	flower	11.0769571608	6.217e-08	false	line_search_stalled	1.033321e-18	1.9865165e-09	6.6792556e-17	4.7474159e-16	1.033321e-18	4.7577491e-16	1	1	0	1
2	0.2606130621	transverse	11.0769571608	7.267e-07	false	line_search_stalled	-2.6492474e-24	1.3894722e-08	1.3388941e-16	-3.1237983e-17	-2.6492474e-24	-3.1237986e-17	1	1	0	1
2	0.2606130621	polar	11.0769571608	9.579e-09	true	tol	0	0	0	3.3309109e-17	0	3.3309109e-17	1	1	0	1
2	0.2606130621	flower	11.0769571608	5.97e-08	false	line_search_stalled	2.6278753e-18	5.4564272e-09	2.7910875e-17	-4.449498e-14	2.6278753e-18	-4.4492352e-14	1	1	0	1
12	0.6383690226	transverse	11.0769571608	4.727e-08	false	line_search_stalled	2.2816562e-29	1.8882504e-09	2.9799446e-19	-5.3412249e-17	2.281655e-29	-5.3412249e-17	1	1	0	1
12	0.6383690226	polar	11.0769571608	9.579e-09	true	tol	0	0	0	3.3309109e-17	0	3.3309109e-17	1	1	0	1
12	0.6383690226	flower	11.0769571608	2.995e-08	false	line_search_stalled	2.7758845e-20	3.6006807e-10	7.382528e-20	-8.246803e-14	2.7758845e-20	-8.2468002e-14	1	1	0	1
