q	B_gauss	seed	E	grad	conv	stop	fz	fperp	fz2	Lz	Sz	Jz	n_pop	pr	m_peak	p_peak
0.05	0.04120654322	transverse	13.2265358002	5.982e-07	true	tol	4.4543196e-14	5.9527645	2.7266296	4.0756788e-19	4.4546289e-14	4.4546697e-14	5	5.8891	0	0.248355
0.05	0.04120654322	polar	20.1465684612	9.264e-07	true	tol	0	0	0	-1.0803736e-16	0	-1.0803736e-16	1	1	0	1
0.05	0.04120654322	flower	13.9395568824	7.956e-07	true	tol	1.412651e-09	5.9260057	2.3875588	4.0494123e-10	1.4126509e-09	1.8175921e-09	5	5.4612	0	0.274535
0.09463494676	0.05669006466	transverse	13.3439211133	6.464e-07	true	tol	-2.5099492e-16	5.9463193	2.5400214	7.8608756e-19	-1.8550699e-16	-1.847209e-16	5	5.6715	0	0.258751
0.09463494676	0.05669006466	polar	20.1465684612	9.264e-07	true	tol	0	0	0	-1.0803736e-16	0	-1.0803736e-16	1	1	0	1
0.09463494676	0.05669006466	flower	14.0428209608	8.352e-07	true	tol	-1.2603672e-08	5.9167826	2.2441427	1.0429733e-08	-1.2603672e-08	-2.1739398e-09	5	5.2862	0	0.283927
0.179115463	0.07799158047	transverse	13.5465539074	9.624e-07	true	tol	1.566498e-17	5.9294965	2.271667	-8.9934493e-19	-5.8709548e-17	-5.9608893e-17	5	5.3424	0	0.276099
0.179115463	0.07799158047	polar	20.1465684612	9.264e-07	true	tol	0	0	0	-1.0803736e-16	0	-1.0803736e-16	1	1	0	1
0.179115463	0.07799158047	flower	14.2229951049	8.976e-07	true	tol	3.780155e-08	5.8963919	2.0316452	-3.76779e-08	3.780155e-08	1.2365023e-10	5	5.0136	0	0.299901
0.339011646	0.107297225	transverse	13.8801787402	8.477e-07	true	tol	2.0701152e-18	5.889738	1.9269104	3.5354901e-21	5.5416284e-17	5.5419819e-17	5	4.8875	0	0.303663
0.339011646	0.107297225	polar	20.1465684612	9.264e-07	true	tol	0	0	0	-1.0803736e-16	0	-1.0803736e-16	1	1	0	1
0.339011646	0.107297225	flower	14.5236833608	9.952e-07	true	tol	-1.3925022e-08	5.8525337	1.7485554	1.6041118e-08	-1.3925022e-08	2.1160957e-09	5	4.6233	0	0.325875
0.6416469814	0.1476145813	transverse	14.3984483578	9.671e-07	true	tol	5.3272277e-18	5.8038295	1.5353792	7.0735292e-19	1.5809023e-17	1.6516376e-17	5	4.3174	0	0.345317
