atom	q	B_gauss	mode	mult	omega	omega_hz	over_q	resid_vs_qm2
151Eu	0.001	0.008796838237	1	2	0.01145454545	1.26	11.454545	0.00245455
151Eu	0.001	0.008796838237	2	2	0.02036363636	2.24	20.363636	0.00436364
151Eu	0.001	0.008796838237	3	2	0.03181818182	3.5	31.818182	-0.00418182
151Eu	0.001	0.008796838237	4	2	0.04581818182	5.04	45.818182	0.00981818
151Eu	0.001	0.008796838237	5	2	6.813192793	749.4512072	6813.1928	6.77719
151Eu	0.01	0.02781804504	1	2	0.06136195284	6.749814812	6.1361953	0.021362
151Eu	0.01	0.02781804504	2	2	0.06954545455	7.65	6.9545455	-0.0204545
151Eu	0.01	0.02781804504	3	2	0.1236363636	13.6	12.363636	0.0336364
151Eu	0.01	0.02781804504	4	2	0.1931818182	21.25	19.318182	0.0331818
151Eu	0.01	0.02781804504	5	2	0.2781818182	30.6	27.818182	0.0281818
151Eu	0.01	0.02781804504	6	2	6.822222169	750.4444386	682.22222	6.46222
151Eu	0.1	0.08796838237	1	2	0.433989755	47.73887305	4.3398975	0.0339898
151Eu	0.1	0.08796838237	2	2	0.8795454545	96.75	8.7954545	-0.0204545
151Eu	0.1	0.08796838237	3	2	1.563636364	172	15.636364	-0.0363636
151Eu	0.1	0.08796838237	4	2	2.443181818	268.75	24.431818	-0.0568182
151Eu	0.1	0.08796838237	5	2	3.518181818	387	35.181818	-0.0818182
151Eu	0.1	0.08796838237	6	2	6.912511712	760.3762883	69.125117	3.31251
151Eu	1	0.2781804504	1	2	4.03610769	443.971846	4.0361077	0.0361077
151Eu	1	0.2781804504	2	2	7.815039772	859.6543749	7.8150398	-1.18496
151Eu	1	0.2781804504	3	2	8.979545455	987.75	8.9795455	-0.0204545
151Eu	1	0.2781804504	4	2	15.96363636	1756	15.963636	-0.0363636
151Eu	1	0.2781804504	5	2	24.94318182	2743.75	24.943182	-0.0568182
151Eu	1	0.2781804504	6	2	35.91818182	3951	35.918182	-0.0818182
151Eu	10	0.8796838237	1	2	16.82543109	1850.79742	1.6825431	6.82543
151Eu	10	0.8796838237	2	2	40.03633783	4403.997162	4.0036338	0.0363378
151Eu	10	0.8796838237	3	2	89.97954545	9897.75	8.9979545	-0.0204545
151Eu	10	0.8796838237	4	2	159.9636364	17596	15.996364	-0.0363636
151Eu	10	0.8796838237	5	2	249.9431818	27493.75	24.994318	-0.0568182
151Eu	10	0.8796838237	6	2	359.9181818	39591	35.991818	-0.0818182
153Eu	0.001	0.005827485228	1	2	0.01145454545	1.26	11.454545	0.00245455
153Eu	0.001	0.005827485228	2	2	0.02036363636	2.24	20.363636	0.00436364
153Eu	0.001	0.005827485228	3	2	0.03181818182	3.5	31.818182	-0.00418182
153Eu	0.001	0.005827485228	4	2	0.04581818182	5.04	45.818182	0.00981818
153Eu	0.001	0.005827485228	5	2	6.84952955	753.4482505	6849.5296	6.81353
153Eu	0.01	0.01842812635	1	2	0.06136195284	6.749814812	6.1361953	0.021362
153Eu	0.01	0.01842812635	2	2	0.06954545455	7.65	6.9545455	-0.0204545
153Eu	0.01	0.01842812635	3	2	0.1236363636	13.6	12.363636	0.0336364
153Eu	0.01	0.01842812635	4	2	0.1931818182	21.25	19.318182	0.0331818
153Eu	0.01	0.01842812635	5	2	0.2781818182	30.6	27.818182	0.0281818
153Eu	0.01	0.01842812635	6	2	6.858570368	754.4427405	685.85704	6.49857
153Eu	0.1	0.05827485228	1	2	0.433989755	47.73887305	4.3398975	0.0339898
153Eu	0.1	0.05827485228	2	2	0.8795454545	96.75	8.7954545	-0.0204545
153Eu	0.1	0.05827485228	3	2	1.563636364	172	15.636364	-0.0363636
153Eu	0.1	0.05827485228	4	2	2.443181818	268.75	24.431818	-0.0568182
153Eu	0.1	0.05827485228	5	2	3.518181818	387	35.181818	-0.0818182
153Eu	0.1	0.05827485228	6	2	6.948972717	764.3869988	69.489727	3.34897
153Eu	1	0.1842812635	1	2	4.03610769	443.971846	4.0361077	0.0361077
153Eu	1	0.1842812635	2	2	7.852487828	863.7736611	7.8524878	-1.14751
153Eu	1	0.1842812635	3	2	8.979545455	987.75	8.9795455	-0.0204545
153Eu	1	0.1842812635	4	2	15.96363636	1756	15.963636	-0.0363636
153Eu	1	0.1842812635	5	2	24.94318182	2743.75	24.943182	-0.0568182
153Eu	1	0.1842812635	6	2	35.91818182	3951	35.918182	-0.0818182
153Eu	10	0.5827485228	1	2	16.86697951	1855.367746	1.686698	6.86698
153Eu	10	0.5827485228	2	2	40.03633783	4403.997162	4.0036338	0.0363378
153Eu	10	0.5827485228	3	2	89.97954545	9897.75	8.9979545	-0.0204545
153Eu	10	0.5827485228	4	2	159.9636364	17596	15.996364	-0.0363636
153Eu	10	0.5827485228	5	2	249.9431818	27493.75	24.994318	-0.0568182
153Eu	10	0.5827485228	6	2	359.9181818	39591	35.991818	-0.0818182
