atom	q	B_gauss	mode	mult	omega	omega_hz	over_q	resid_vs_qm2
151Eu	0.001	0.008796838237	1	2	0.004	0.44	4	5.10729e-14
151Eu	0.001	0.008796838237	2	2	0.009	0.99	9	2.876e-14
151Eu	0.001	0.008796838237	3	2	0.016	1.76	16	-8.87138e-15
151Eu	0.001	0.008796838237	4	2	0.025	2.75	25	-6.35984e-14
151Eu	0.001	0.008796838237	5	2	0.036	3.96	36	-4.23273e-16
151Eu	0.001	0.008796838237	6	2	8.759685628	963.5654191	8759.6856	8.72369
151Eu	0.01	0.02781804504	1	2	0.04	4.4	4	5.0647e-14
151Eu	0.01	0.02781804504	2	2	0.09	9.9	9	2.82413e-14
151Eu	0.01	0.02781804504	3	2	0.16	17.6	16	-8.79852e-15
151Eu	0.01	0.02781804504	4	2	0.25	27.5	25	-6.40599e-14
151Eu	0.01	0.02781804504	5	2	0.36	39.6	36	-7.21645e-16
151Eu	0.01	0.02781804504	6	2	8.768816583	964.5698241	876.88166	8.40882
151Eu	0.1	0.08796838237	1	2	0.4	44	4	5.17919e-14
151Eu	0.1	0.08796838237	2	2	0.9	99	9	2.86438e-14
151Eu	0.1	0.08796838237	3	2	1.6	176	16	-9.54792e-15
151Eu	0.1	0.08796838237	4	2	2.5	275	25	-6.43929e-14
151Eu	0.1	0.08796838237	5	2	3.6	396	36	-8.88178e-16
151Eu	0.1	0.08796838237	6	2	8.860111391	974.6122531	88.601114	5.26011
151Eu	1	0.2781804504	1	2	4	440	4	5.24025e-14
151Eu	1	0.2781804504	2	2	9	990	9	2.84217e-14
151Eu	1	0.2781804504	3	2	9.771738329	1074.891216	9.7717383	0.771738
151Eu	1	0.2781804504	4	2	16	1760	16	-8.88178e-15
151Eu	1	0.2781804504	5	2	25	2750	25	-6.39488e-14
151Eu	1	0.2781804504	6	2	36	3960	36	0
151Eu	10	0.8796838237	1	2	18.82657247	2070.922972	1.8826572	8.82657
151Eu	10	0.8796838237	2	2	40	4400	4	4.9738e-14
151Eu	10	0.8796838237	3	2	90	9900	9	2.84217e-14
151Eu	10	0.8796838237	4	2	160	17600	16	0
151Eu	10	0.8796838237	5	2	250	27500	25	-5.68434e-14
151Eu	10	0.8796838237	6	2	360	39600	36	0
153Eu	0.001	0.005827485228	1	2	0.004	0.44	4	5.28492e-14
153Eu	0.001	0.005827485228	2	2	0.009	0.99	9	3.23127e-14
153Eu	0.001	0.005827485228	3	2	0.016	1.76	16	-8.87138e-15
153Eu	0.001	0.005827485228	4	2	0.025	2.75	25	-6.18221e-14
153Eu	0.001	0.005827485228	5	2	0.036	3.96	36	3.12944e-15
153Eu	0.001	0.005827485228	6	2	8.833891988	971.7281187	8833.892	8.79789
153Eu	0.01	0.01842812635	1	2	0.04	4.4	4	5.24233e-14
153Eu	0.01	0.01842812635	2	2	0.09	9.9	9	3.1794e-14
153Eu	0.01	0.01842812635	3	2	0.16	17.6	16	-8.79852e-15
153Eu	0.01	0.01842812635	4	2	0.25	27.5	25	-6.22835e-14
153Eu	0.01	0.01842812635	5	2	0.36	39.6	36	2.83107e-15
153Eu	0.01	0.01842812635	6	2	8.84300609	972.7306699	884.30061	8.48301
153Eu	0.1	0.05827485228	1	2	0.4	44	4	5.35683e-14
153Eu	0.1	0.05827485228	2	2	0.9	99	9	3.21965e-14
153Eu	0.1	0.05827485228	3	2	1.6	176	16	-9.54792e-15
153Eu	0.1	0.05827485228	4	2	2.5	275	25	-6.26166e-14
153Eu	0.1	0.05827485228	5	2	3.6	396	36	4.44089e-15
153Eu	0.1	0.05827485228	6	2	8.934134387	982.7547826	89.341344	5.33413
153Eu	1	0.1842812635	1	2	4	440	4	5.24025e-14
153Eu	1	0.1842812635	2	2	9	990	9	3.19744e-14
153Eu	1	0.1842812635	3	2	9.844275626	1082.870319	9.8442756	0.844276
153Eu	1	0.1842812635	4	2	16	1760	16	-8.88178e-15
153Eu	1	0.1842812635	5	2	25	2750	25	-6.39488e-14
153Eu	1	0.1842812635	6	2	36	3960	36	7.10543e-15
153Eu	10	0.5827485228	1	2	18.89232162	2078.155378	1.8892322	8.89232
153Eu	10	0.5827485228	2	2	40	4400	4	4.9738e-14
153Eu	10	0.5827485228	3	2	90	9900	9	2.84217e-14
153Eu	10	0.5827485228	4	2	160	17600	16	0
153Eu	10	0.5827485228	5	2	250	27500	25	-8.52651e-14
153Eu	10	0.5827485228	6	2	360	39600	36	0
