nu_Hz,N0,value
10.0,1000.0,624.8388673288786
10.0,1080.4718223181285,587.3233674247621
10.0,1167.4193588234587,552.060308600491
10.0,1261.3637220374437,518.914453665274
10.0,1362.867959355774,487.75868510698166
10.0,1472.5404276241222,458.4735175843735
10.0,1591.0384392721533,430.9466396894301
10.0,1719.0722018585745,405.072483222402
10.0,1857.4090746385718,380.751818327701
10.0,2006.8781676649664,357.8913729379511
10.0,2168.375310987435,336.40347506672106
10.0,2342.8684237322327,316.2057165781034
10.0,2531.403315241567,297.22063714365925
10.0,2735.109953041208,279.37542717467795
10.0,2955.209235202888,262.6016485904662
10.0,3193.020307691027,246.83497235178865
10.0,3449.9684705497157,232.01493175287032
10.0,3727.593720314942,218.08469052581952
10.0,4027.5599798502976,204.99082486812463
10.0,4351.665070924416,192.68311855727958
10.0,4701.851489299852,181.11437036678691
10.0,5080.218046913023,170.24021304495514
10.0,5489.032450921557,160.01894316226205
10.0,5930.744895010559,150.411361174727
10.0,6408.002744415996,141.3806210899261
10.0,6923.6664026787275,132.89208915909893
10.0,7480.826455225086,124.9132110534226
10.0,8082.822192522714,117.41338701505816
10.0,8733.261623828437,110.36385450416356
10.0,9436.04310147889,103.73757789181317
10.0,10195.378685327301,97.50914477578362
10.0,11015.819387358995,91.65466852157043
10.0,11902.282447787144,86.15169665486839
10.0,12860.08080610565,80.97912475419305
10.0,13894.954943731389,76.11711551341317
10.0,15013.107289081743,71.54702266379202
10.0,16221.239391291729,67.25131946376924
10.0,17526.592085367585,63.21353148223702
10.0,18936.988889503602,59.418173417527335
10.0,20460.88289466011,55.850689709804094
10.0,22107.407427431233,52.49739871910431
10.0,23886.430789846003,49.34544025494501
10.0,25808.615404180768,46.38272625626765
10.0,27885.481717262915,43.5978944325716
10.0,30129.47724726992,40.9802646884476
10.0,32554.05118685032,38.51979816439423
10.0,35173.7350096938,36.20705873683506
10.0,38004.22956365882,34.0331768296855
10.0,41062.49917244294,31.989815398683444
