T0_uK,K3_m6_s,value
20.0,9.999999999999999e-43,113757.24067132635
20.0,1.2390917011134509e-42,100888.02018858466
20.0,1.5353482437682257e-42,89833.55773316961
20.0,1.90243726717232e-42,80069.22808403145
20.0,2.3572942296421748e-42,71438.07314605913
20.0,2.920903717032244e-42,63862.91083340226
20.0,3.619267555526085e-42,57238.90049485773
20.0,4.484604392161538e-42,51449.781494376526
20.0,5.556836085104294e-42,46382.420291514805
20.0,6.885429477500488e-42,41944.76534583649
20.0,8.53167852417278e-42,38041.569407618095
20.0,1.0571532055870346e-41,34596.4521118709
20.0,1.3099097638483763e-41,31544.00903209779
20.0,1.6230983175920034e-41,28827.533939106295
20.0,2.0111676554194557e-41,26398.871311054587
20.0,2.492021151378044e-41,24217.53246725776
20.0,3.087842727671721e-41,22251.66028477515
20.0,3.8261202982015517e-41,20473.43234411779
20.0,4.740913908963265e-41,18859.450134225284
20.0,5.874427080289712e-41,17433.218385270862
20.0,7.278953843983101e-41,16182.706127738518
20.0,9.019291300867314e-41,15062.097051583847
20.0,1.117572900082943e-40,14019.878770293139
20.0,1.3847753058820664e-40,12909.775998835976
20.0,1.7158635894253092e-40,11343.428020376246
20.0,2.126112333899673e-40,8519.809233729065
20.0,2.634448148570035e-40,2390.7302971343997
20.0,3.2643228379068263e-40,0.0
20.0,4.044795338205457e-40,0.0
20.0,5.0118723362727555e-40,0.0
22.564102564102566,9.999999999999999e-43,113759.25602681465
22.564102564102566,1.2390917011134509e-42,100891.59900340997
22.564102564102566,1.5353482437682257e-42,89836.24093274408
22.564102564102566,1.90243726717232e-42,80070.53738484552
22.564102564102566,2.3572942296421748e-42,71438.88324271221
22.564102564102566,2.920903717032244e-42,63863.90289450674
22.564102564102566,3.619267555526085e-42,57238.586100727516
22.564102564102566,4.484604392161538e-42,51448.98754957552
22.564102564102566,5.556836085104294e-42,46384.54150170606
22.564102564102566,6.885429477500488e-42,41946.415504479766
22.564102564102566,8.53167852417278e-42,38042.65677639445
22.564102564102566,1.0571532055870346e-41,34597.667188922394
22.564102564102566,1.3099097638483763e-41,31545.42496292662
22.564102564102566,1.6230983175920034e-41,28828.73422158108
22.564102564102566,2.0111676554194557e-41,26400.220667441576
22.564102564102566,2.492021151378044e-41,24219.693901397863
22.564102564102566,3.087842727671721e-41,22252.64285705566
22.564102564102566,3.8261202982015517e-41,20476.320568101488
22.564102564102566,4.740913908963265e-41,18860.650826795747
22.564102564102566,5.874427080289712e-41,17434.680705384337
22.564102564102566,7.278953843983101e-41,16182.147063642638
22.564102564102566,9.019291300867314e-41,15065.925112420315
22.564102564102566,1.117572900082943e-40,14029.861222941488
22.564102564102566,1.3847753058820664e-40,12908.121766998142
22.564102564102566,1.7158635894253092e-40,11340.98380378592
22.564102564102566,2.126112333899673e-40,8516.289114690217
22.564102564102566,2.634448148570035e-40,2385.6278453587656
22.564102564102566,3.2643228379068263e-40,0.0
22.564102564102566,4.044795338205457e-40,0.0
22.564102564102566,5.0118723362727555e-40,0.0
25.12820512820513,9.999999999999999e-43,113763.56550420148
25.12820512820513,1.2390917011134509e-42,100897.4274452494
25.12820512820513,1.5353482437682257e-42,89840.66584293441
25.12820512820513,1.90243726717232e-42,80072.78069511877
25.12820512820513,2.3572942296421748e-42,71440.19584329311
25.12820512820513,2.920903717032244e-42,63864.63997900233
25.12820512820513,3.619267555526085e-42,57238.926256516716
25.12820512820513,4.484604392161538e-42,51448.35482489221
25.12820512820513,5.556836085104294e-42,46387.47432086623
25.12820512820513,6.885429477500488e-42,41948.5563404398
25.12820512820513,8.53167852417278e-42,38044.470514824294
25.12820512820513,1.0571532055870346e-41,34599.57053511935
25.12820512820513,1.3099097638483763e-41,31546.99479377243
25.12820512820513,1.6230983175920034e-41,28830.665791258463
25.12820512820513,2.0111676554194557e-41,26402.053457204616
25.12820512820513,2.492021151378044e-41,24220.184428184395
25.12820512820513,3.087842727671721e-41,22255.940346290845
25.12820512820513,3.8261202982015517e-41,20477.536959494584
25.12820512820513,4.740913908963265e-41,18863.410509790658
25.12820512820513,5.874427080289712e-41,17437.984169438896
25.12820512820513,7.278953843983101e-41,16184.622288639886
25.12820512820513,9.019291300867314e-41,15064.876176032038
25.12820512820513,1.117572900082943e-40,14028.325144794784
25.12820512820513,1.3847753058820664e-40,12915.838279971782
25.12820512820513,1.7158635894253092e-40,11337.569868307306
25.12820512820513,2.126112333899673e-40,8511.314461679376
25.12820512820513,2.634448148570035e-40,2378.299042126273
25.12820512820513,3.2643228379068263e-40,0.0
25.12820512820513,4.044795338205457e-40,0.0
25.12820512820513,5.0118723362727555e-40,0.0
27.692307692307693,9.999999999999999e-43,113772.36089344544
27.692307692307693,1.2390917011134509e-42,100906.57734363704
27.692307692307693,1.5353482437682257e-42,89847.02728957203
27.692307692307693,1.90243726717232e-42,80077.6150914284
27.692307692307693,2.3572942296421748e-42,71443.36331477932
27.692307692307693,2.920903717032244e-42,63866.59991269122
27.692307692307693,3.619267555526085e-42,57239.19830888068
27.692307692307693,4.484604392161538e-42,51451.07592619205
27.692307692307693,5.556836085104294e-42,46391.198248210254
