final_power_scale,nu_final_Hz,N0_final,T_final_K,Tc_K,k3_rate_per_s
0.3,64.8133979959816,1169.8437028010292,3.562916945781736e-8,4.208123835676575e-8,0.16096436296555153
0.35,70.00647103244407,1174.1052950650337,3.843781361412307e-8,4.544162431821912e-8,0.19423578573016864
0.4,74.84006556014866,1176.7929195286883,4.105417766463672e-8,4.8566910758662296e-8,0.22840940534733764
0.45,79.37987679304038,1178.4037194715029,4.3513146265025175e-8,5.1499881651931504e-8,0.26337360992306996
0.5,83.67373701651665,1179.243644361604,4.584016837970078e-8,5.4271695886453566e-8,0.2990396645109069
0.55,87.75775574238499,1179.511577532597,4.8054488407518395e-8,5.690588228640677e-8,0.33533505060079094
0.6,91.65998646940237,1179.342571437501,5.0171079360647136e-8,5.94207255530603e-8,0.37219920169545584
0.65,95.40273867244034,1178.8316654211442,5.220186388954453e-8,6.183077079338505e-8,0.40958063855165
0.7,99.00410078796162,1178.0477616039464,5.415651988468176e-8,6.414781468953587e-8,0.44743496884094436
0.75,102.47898028114733,1177.042090309845,5.604303142782497e-8,6.638158244036429e-8,0.4857234452850427
0.8,105.83983572405383,1175.8535785996232,5.786807710620361e-8,6.854020428566062e-8,0.5244118983113656
0.85,109.09720552207384,1174.5123691179203,5.963731080333933e-8,7.063055969481129e-8,0.5634699278721321
0.9,112.26009834022301,1173.042193235488,6.135556927361881e-8,7.265853154758958e-8,0.6028702794688954
0.95,115.33628703052415,1171.4620118267117,6.302702857229553e-8,7.462919750779952e-8,0.6425883541689695
1.0,118.33253370319751,1169.7871748211273,6.465532395309929e-8,7.654697657827241e-8,0.6826018180758434
1.05,121.254764686792,1168.0302567649308,6.62436431527606e-8,7.841574303627896e-8,0.7228902869425057
1.1,124.10820837430624,1166.2016694829538,6.779479994688709e-8,8.023891620810594e-8,0.7634350684620539
1.15,126.89750514691424,1164.310118389984,6.931129285045862e-8,8.201953206521579e-8,0.8042189494581692
1.2,129.6267959919632,1162.400380500025,7.079478498986497e-8,8.376025178520103e-8,0.845247794459153
1.25,132.29979465506727,1163.0995451838955,7.220531184882549e-8,8.545902642722861e-8,0.8881114730630202
1.3,134.91984691810129,1165.038489799668,7.356257851889719e-8,8.711882130614742e-8,0.9321508454287205
1.35,137.48997970410355,1166.6931701741255,7.489152322118448e-8,8.87435362719519e-8,0.9764450379923983
1.4,140.01294206488814,1171.5656779817987,7.613150713310026e-8,9.032669751255069e-8,1.0234082441507635
1.45,142.49123963351798,1175.8952026316792,7.734542979028189e-8,9.187615978712647e-8,1.070578343097304
1.5,144.92716377176353,1178.5345500759706,7.857003291047305e-8,9.340588135615924e-8,1.1170312476536177
