hold_s,decompress_factor,nu_final_Hz,N0_final
0.5,1.0,143.3704358799978,3169.899610211172
0.5,0.5,101.37820743241755,3434.005060362814
0.5,0.25,71.6852179399989,3846.7860126015166
0.5,0.1,45.337712651192014,4107.533790012789
1.0,1.0,143.3704358799978,1581.3946400442167
1.0,0.5,101.37820743241755,1718.3558022230523
1.0,0.25,71.6852179399989,1999.1320695455815
1.0,0.1,45.337712651192014,2211.9417965287466
2.0,1.0,143.3704358799978,715.0564847474278
2.0,0.5,101.37820743241755,697.7068328195942
2.0,0.25,71.6852179399989,812.2279612576604
2.0,0.1,45.337712651192014,905.8819397331754
