waist_factor,nu_final_Hz,N0_final
0.8,184.90630914792513,1298.6375117162916
0.85,163.78914586989094,1239.398499802858
0.9,146.0934114597541,1143.7261203924568
0.95,131.11797797218887,1137.1157301457874
1.0,118.33253370319751,1169.7871748211273
1.05,107.329971148677,1257.8804858660455
1.1,97.793568524228,651.7259784574044
1.15,89.47393556147172,0.0
1.2,82.17253918206053,0.0
1.25,75.72974710685266,0.0
1.3,70.01602691153829,0.0
1.35,64.92538345953729,0.0
1.4,60.37040695220898,0.0
1.45,56.27849517768806,0.0
1.5,52.58894220725292,0.0
1.55,49.250673645946634,0.0
1.6,46.22046939171828,0.0
1.65,43.46155755584878,0.0
1.7,40.94249352874495,0.0
1.75,38.636259968439205,0.0
1.8,36.51953931555396,0.0
1.85,34.572122047150806,0.0
1.9,32.77642247707328,0.0
1.95,31.117080330789257,0.0
2.0,29.580631158685883,0.0
