power_factor,tau_s,value
0.01,0.05,743.1064072511399
0.01,0.15172413793103448,4250.888880088625
0.01,0.253448275862069,4171.873507348009
0.01,0.35517241379310344,3842.4844953109423
0.01,0.45689655172413796,3498.2117200169378
0.01,0.5586206896551724,3111.5977501099005
0.01,0.6603448275862069,2750.886936402435
0.01,0.7620689655172413,2429.3670208932244
0.01,0.8637931034482759,2181.990821792703
0.01,0.9655172413793104,1958.3316968702402
0.01,1.0672413793103448,1758.294893530806
0.01,1.1689655172413793,1599.8714455745685
0.01,1.2706896551724138,1456.042788143709
0.01,1.3724137931034484,1310.4432016931787
0.01,1.4741379310344827,1193.4591761648862
0.01,1.5758620689655172,1098.7645517279243
0.01,1.6775862068965517,1001.0745923543254
0.01,1.7793103448275862,911.6501838970626
0.01,1.8810344827586207,838.6340381730988
0.01,1.9827586206896552,770.8096679305759
0.01,2.0844827586206898,700.6608259612522
0.01,2.1862068965517243,642.730612185599
0.01,2.287931034482759,588.8981914707283
0.01,2.389655172413793,538.707887007793
0.01,2.4913793103448274,491.7784014778981
0.01,2.593103448275862,452.98871244335623
0.01,2.6948275862068964,411.60800942223386
0.01,2.796551724137931,372.61946699599184
0.01,2.8982758620689655,340.4392016701113
0.01,3.0,305.67213543468915
0.04,0.05,6289.5563890767135
0.04,0.15172413793103448,6667.844752751133
0.04,0.253448275862069,5887.892047234382
0.04,0.35517241379310344,5044.897942362397
0.04,0.45689655172413796,4314.899570487971
0.04,0.5586206896551724,3759.471349091021
0.04,0.6603448275862069,3286.310557532899
0.04,0.7620689655172413,2918.418458019255
0.04,0.8637931034482759,2599.271148397651
0.04,0.9655172413793104,2323.7845422553055
0.04,1.0672413793103448,2085.4070317922387
0.04,1.1689655172413793,1875.708939072536
0.04,1.2706896551724138,1706.3809778128016
0.04,1.3724137931034484,1554.876862370711
0.04,1.4741379310344827,1419.3346837097652
0.04,1.5758620689655172,1297.288746617939
0.04,1.6775862068965517,1195.753539199614
0.04,1.7793103448275862,1096.2161734730657
0.04,1.8810344827586207,1011.822448181103
0.04,1.9827586206896552,928.5528924071255
0.04,2.0844827586206898,858.0847143269139
0.04,2.1862068965517243,793.0463059451258
0.04,2.287931034482759,732.7562453900537
0.04,2.389655172413793,677.1380339736193
0.04,2.4913793103448274,625.2332922643432
0.04,2.593103448275862,576.6552508381906
0.04,2.6948275862068964,535.5709001746609
0.04,2.796551724137931,493.2202637161986
0.04,2.8982758620689655,453.3220197420046
0.04,3.0,419.3605614886819
0.07,0.05,7499.099830452333
0.07,0.15172413793103448,7102.266715731619
0.07,0.253448275862069,6103.049153446424
0.07,0.35517241379310344,5163.920413274976
0.07,0.45689655172413796,4384.7356042709125
0.07,0.5586206896551724,3800.0724743916826
0.07,0.6603448275862069,3344.406987331593
0.07,0.7620689655172413,2930.7141111807814
0.07,0.8637931034482759,2604.8628494841496
0.07,0.9655172413793104,2325.392614672598
0.07,1.0672413793103448,2084.7590386625816
0.07,1.1689655172413793,1887.6966062411893
0.07,1.2706896551724138,1715.1376330542653
0.07,1.3724137931034484,1561.7533504791618
0.07,1.4741379310344827,1425.291010546755
0.07,1.5758620689655172,1302.8451028301124
0.07,1.6775862068965517,1193.3205384444254
0.07,1.7793103448275862,1101.0430069551944
0.07,1.8810344827586207,1010.4249121323433
0.07,1.9827586206896552,933.6920117135733
0.07,2.0844827586206898,863.1876166445181
0.07,2.1862068965517243,798.3310221273282
0.07,2.287931034482759,738.3169025891852
0.07,2.389655172413793,683.0284540099146
0.07,2.4913793103448274,631.5321305413263
0.07,2.593103448275862,583.3718296838115
0.07,2.6948275862068964,542.2577846068552
0.07,2.796551724137931,500.4434335949086
0.07,2.8982758620689655,461.013026610256
0.07,3.0,427.1442961325911
0.1,0.05,8056.451497291038
0.1,0.15172413793103448,7252.285308081464
0.1,0.253448275862069,6142.505070764204
0.1,0.35517241379310344,5158.301782122175
0.1,0.45689655172413796,4418.898691668728
0.1,0.5586206896551724,3807.7156719524846
0.1,0.6603448275862069,3305.4067010531835
0.1,0.7620689655172413,2915.571927513751
0.1,0.8637931034482759,2565.571511476718
0.1,0.9655172413793104,2304.30829419367
0.1,1.0672413793103448,2064.0053802837356
0.1,1.1689655172413793,1866.0526906512569
0.1,1.2706896551724138,1683.902695207692
0.1,1.3724137931034484,1532.7242823204606
0.1,1.4741379310344827,1398.3398280233773
0.1,1.5758620689655172,1285.169425827612
0.1,1.6775862068965517,1177.1810659770772
0.1,1.7793103448275862,1079.7905952846222
0.1,1.8810344827586207,996.749154213856
0.1,1.9827586206896552,920.9572104689528
0.1,2.0844827586206898,851.4537143445473
0.1,2.1862068965517243,787.621069378311
0.1,2.287931034482759,728.6916338470583
0.1,2.389655172413793,674.3816594322093
0.1,2.4913793103448274,623.8743179253397
0.1,2.593103448275862,576.6893747454246
0.1,2.6948275862068964,536.1546469302543
0.1,2.796551724137931,495.2600151734732
0.1,2.8982758620689655,456.7187879962885
0.1,3.0,423.4093345958836
0.13,0.05,8374.482146397013
0.13,0.15172413793103448,7302.4636034952
0.13,0.253448275862069,6122.392850086722
0.13,0.35517241379310344,5111.755299798751
0.13,0.45689655172413796,4362.677091354772
0.13,0.5586206896551724,3749.1965793740137
0.13,0.6603448275862069,3247.711606869223
0.13,0.7620689655172413,2860.3353530935656
0.13,0.8637931034482759,2533.0966769876195
0.13,0.9655172413793104,2255.544909475615
0.13,1.0672413793103448,2031.3313250510282
0.13,1.1689655172413793,1824.0281062973718
0.13,1.2706896551724138,1654.950458520876
0.13,1.3724137931034484,1505.3711837242713
0.13,1.4741379310344827,1372.894373144913
0.13,1.5758620689655172,1254.3976945030931
0.13,1.6775862068965517,1154.8150566845839
0.13,1.7793103448275862,1059.3913117895163
0.13,1.8810344827586207,977.6665264507756
0.13,1.9827586206896552,903.1663034572471
0.13,2.0844827586206898,834.9987931172109
0.13,2.1862068965517243,772.4305536420461
0.13,2.287931034482759,714.7795328277771
0.13,2.389655172413793,661.670472985712
