power_factor,final_nu_Hz
0.01,14.347057239360623
0.04,28.694114478721247
0.07,37.9587455009571
0.1,45.36937859718712
0.13,51.729050528531566
0.16,57.38822895744249
0.19,62.5373726435666
0.22,67.2936633825859
0.25,71.73528619680312
0.28,75.9174910019142
0.31,79.88103400879457
0.34,83.65700059530383
0.37,87.26974219562662
0.4,90.73875719437424
0.43,94.07994585174927
0.46,97.30647648413
0.49,100.42940067552438
0.52,103.45810105706313
0.55,106.40062419282116
0.58,109.26393267181274
0.61,112.05409915393055
0.64,114.77645791488499
0.67,117.43572474241321
0.7,120.03609290569362
0.73,122.58131078738218
0.76,125.0747452871332
0.79,127.51943405979233
0.82,129.91812890131303
0.85,132.27333204961104
0.88,134.5873267651718
0.91,136.86220325598882
0.94,139.09988078489525
0.97,141.3021266246922
1.0,143.47057239360623
