nu_Hz,N0,value
10.0,1000.0,624.8388673288786
10.0,1124.2100350620863,568.9709201419818
10.0,1263.8482029342983,518.0982248289324
10.0,1420.8308325339224,471.77414709333146
10.0,1597.312280060254,429.59198700039855
10.0,1795.714494371641,391.18140837514125
10.0,2018.7602546790388,356.2051874543394
10.0,2269.5105366946686,324.35625224729927
10.0,2551.4065200312875,295.354986612596
10.0,2868.3168133420118,268.94677538207696
10.0,3224.590545296395,244.8997689796669
10.0,3625.1170499885316,223.0028479095539
10.0,4075.392965871778,203.0637692430836
10.0,4581.597669054491,184.9074788315372
10.0,5150.678076168122,168.37457442694404
10.0,5790.443980602489,153.31990621798053
10.0,6509.6752304581705,139.61130249442618
10.0,7318.2422190761745,127.12840925221185
10.0,8227.241341700466,115.76163355143186
10.0,9249.147277217335,105.41118135058255
10.0,10397.984184814899,95.98618136974254
10.0,11689.518164985777,87.40388729069296
10.0,13141.473626117553,79.58895128973549
10.0,14773.776525985128,72.4727625252245
10.0,16608.827826277167,65.99284477209814
10.0,18671.810912919205,60.09230791496934
10.0,20991.037201085546,54.719348484189844
10.0,23598.33466782194,49.8267948498669
10.0,26529.484644318945,45.371693080886324
10.0,29824.71286216888,41.31492983301225
10.0,33529.2414924956,37.62088895522825
10.0,37693.909753883636,34.25713879951243
10.0,42375.87160604064,31.194147488797427
10.0,47639.380104013406,28.405023643325883
10.0,53556.669177068965,25.865280289120257
10.0,60208.94493336126,23.552619875813612
10.0,67687.50009458528,21.446738516415973
10.0,76094.96685459884,19.529147730349074
10.0,85546.72535565685,17.783012124751444
10.0,96172.48711152964,16.19300158898456
10.0,108118.07510766077,14.74515670468967
10.0,121547.4250076286,13.42676618976907
10.0,136644.83492953243,12.226255300317613
10.0,153617.49466718297,11.133084210734683
10.0,172698.3290659436,10.137655479850007
10.0,194149.19457438815,9.231229790666507
10.0,218264.47283974872,8.405849223961752
10.0,245375.11066398167,7.654267392132239
10.0,275853.1617629181,6.969885819894107
10.0,310116.8926574775,6.346696013297794
10.0,348636.52276780875,5.779226708454455
10.0,391940.6774847221,5.262495836847043
10.0,440623.6427773573,4.791966785507655
10.0,495353.52089591697,4.363508568049816
10.0,556881.3990945267,3.9733595568791187
10.0,626051.6572014815,3.6180944581709826
10.0,703813.5554931562,3.2945942396739905
10.0,791234.2618981326,3.0000187473215245
10.0,889513.4973108236,2.7317817702404508
10.0,1.0e6,2.487528335241518
14.067796610169491,1000.0,275.43900617431564
14.067796610169491,1124.2100350620863,250.81151794532448
14.067796610169491,1263.8482029342983,228.38601695442708
14.067796610169491,1420.8308325339224,207.9656196318645
14.067796610169491,1597.312280060254,189.37104611573272
14.067796610169491,1795.714494371641,172.43904627335945
14.067796610169491,2018.7602546790388,157.02096645488962
14.067796610169491,2269.5105366946686,142.98144439596493
14.067796610169491,2551.4065200312875,130.1972208114619
14.067796610169491,2868.3168133420118,118.55605724673269
14.067796610169491,3224.590545296395,107.95575068567975
14.067796610169491,3625.1170499885316,98.30323626446202
14.067796610169491,4075.392965871778,89.51377021315537
14.067796610169491,4581.597669054491,81.51018585204295
14.067796610169491,5150.678076168122,74.22221611059084
14.067796610169491,5790.443980602489,67.5858766211998
14.067796610169491,6509.6752304581705,61.54290397163524
14.067796610169491,7318.2422190761745,56.040244184298594
14.067796610169491,8227.241341700466,51.02958693147231
14.067796610169491,9249.147277217335,46.466941397201914
14.067796610169491,10397.984184814899,42.31225006211706
14.067796610169491,11689.518164985777,38.52903702043391
14.067796610169491,13141.473626117553,35.084087741555855
14.067796610169491,14773.776525985128,31.94715746475527
14.067796610169491,16608.827826277167,29.090705666802375
14.067796610169491,18671.810912919205,26.489654271311892
14.067796610169491,20991.037201085546,24.121167477019892
14.067796610169491,23598.33466782194,21.964451272003238
14.067796610169491,26529.484644318945,20.00057087368677
14.067796610169491,29824.71286216888,18.212284491862203
14.067796610169491,33529.2414924956,16.583891955249115
14.067796610169491,37693.909753883636,15.10109687262279
14.067796610169491,42375.87160604064,13.750881118358825
14.067796610169491,47639.380104013406,12.521390540447289
14.067796610169491,53556.669177068965,11.401830887555173
14.067796610169491,60208.94493336126,10.382373041434048
14.067796610169491,67687.50009458528,9.454066722665626
14.067796610169491,76094.96685459884,8.608761912129106
14.067796610169491,85546.72535565685,7.8390372983139835
14.067796610169491,96172.48711152964,7.138135122284958
14.067796610169491,108118.07510766077,6.499901848273776
14.067796610169491,121547.4250076286,5.918734139018195
14.067796610169491,136644.83492953243,5.389529661541432
14.067796610169491,153617.49466718297,4.907642291473697
14.067796610169491,172698.3290659436,4.468841322634601
14.067796610169491,194149.19457438815,4.06927432375877
14.067796610169491,218264.47283974872,3.7054333162673267
14.067796610169491,245375.11066398167,3.3741239761445545
