K3_m6_s,N0_baseline,N0_timing,N0_decompress
9.999999999999999e-43,91584.49962597819,78424.46323179753,69860.47812958033
1.2390917011134509e-42,83164.64653506145,71918.2644556889,63401.65350439084
1.5353482437682257e-42,74588.76815592499,65747.04668570531,57285.59122986652
1.90243726717232e-42,66070.15634428247,59998.83766018643,51580.95801783357
2.3572942296421748e-42,57816.75061282051,54721.37659625414,46321.78110541258
2.920903717032244e-42,50008.114073970435,49928.80704265116,41511.90596100035
3.619267555526085e-42,42788.38316472588,45608.339134493304,37136.94176123
4.484604392161538e-42,36258.08944048818,41731.15988544242,33157.89006549047
5.556836085104294e-42,30460.817436161888,38253.79031138207,29538.483996006515
6.885429477500488e-42,25404.780213944974,35131.06378300124,26239.708143770564
8.53167852417278e-42,21056.184758720385,32311.965705268758,23225.31944347667
1.0571532055870346e-41,17362.52691406608,29749.38833872031,20462.684703941213
1.3099097638483763e-41,14255.582532595294,27550.756564440908,17989.837161863616
1.6230983175920034e-41,11662.205171272242,25513.515094349106,15710.563537434478
2.0111676554194557e-41,9511.442935630177,23632.987474700116,13625.523786576652
2.492021151378044e-41,7736.67589876553,21894.139120172265,11729.511433241993
3.087842727671721e-41,6278.273984185376,20341.27219604514,10030.857348112146
3.8261202982015517e-41,5083.55646632036,18904.00436346844,8507.070959056144
4.740913908963265e-41,4107.958150102022,17536.864182615827,7148.714056223169
5.874427080289712e-41,3312.982617926821,16426.295753617866,5971.532483878065
7.278953843983101e-41,2666.6804727132658,15388.338823536245,4940.641972540431
9.019291300867314e-41,2142.0779739180934,14368.32982020338,4044.738109787345
1.117572900082943e-40,1716.8665341078975,13304.184178035992,3274.022707554729
1.3847753058820664e-40,1372.4519947313825,12075.659959561774,2615.2648622696297
1.7158635894253092e-40,1093.5486237424352,10334.500550083956,2052.1713440109697
2.126112333899673e-40,867.5563470561192,7408.613214489535,1566.6567035216558
2.634448148570035e-40,684.1520131511759,1519.909038696751,1111.1811781163333
3.2643228379068263e-40,534.7174102328547,0.0,615.3412115019764
4.044795338205457e-40,411.9935908828015,0.0,0.0
5.0118723362727555e-40,309.7312465701016,0.0,0.0
