Omega,frame,t,norm,Fz,Lz,peak,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
-0.5000,1,0.000000e+00,1.000000e+00,5.999994e+00,,1.150572e-02,9.999942e-01,5.846254e-06,3.864994e-11,2.006876e-16,7.918706e-22,2.365987e-27,4.512817e-32,2.149803e-32,1.184433e-32,8.587666e-33,2.424865e-33,6.504003e-33,1.762309e-33
-0.5000,2,1.400000e-01,1.000000e+00,5.999794e+00,,NaN,9.997943e-01,2.056783e-04,4.780766e-08,8.731064e-12,1.212163e-15,1.278444e-19,1.022572e-23,9.768479e-28,5.826370e-28,5.065797e-28,1.861801e-28,7.351256e-28,2.423100e-28
-0.5000,3,2.400000e-01,9.999576e-01,5.996054e+00,,NaN,9.963211e-01,3.666387e-03,1.251558e-05,3.757957e-08,9.183853e-11,1.772166e-13,2.662943e-16,3.075026e-19,2.712828e-22,8.981560e-24,8.478567e-25,1.207337e-23,1.893971e-24
-0.5000,4,3.400000e-01,9.999171e-01,5.987059e+00,,NaN,9.876903e-01,1.217602e-02,1.324435e-04,1.269493e-06,9.988917e-09,6.236624e-11,3.040157e-13,1.140325e-15,3.223623e-18,6.667474e-21,1.186247e-23,4.422384e-23,8.332013e-24
-0.5000,5,4.400000e-01,9.998789e-01,5.973251e+00,,NaN,9.745443e-01,2.489722e-02,5.476994e-04,1.063305e-05,1.706005e-07,2.181531e-09,2.183276e-11,1.683406e-13,9.788154e-16,4.148326e-18,1.209218e-20,1.149938e-22,2.201092e-23
-0.5000,6,5.400000e-01,9.998430e-01,5.955089e+00,,NaN,9.575985e-01,4.087636e-02,1.476650e-03,4.718661e-05,1.254154e-06,2.668058e-08,4.452821e-10,5.732496e-12,5.568211e-14,3.942705e-16,1.919486e-18,5.902075e-21,5.167459e-23
-0.5000,7,6.400000e-01,9.998093e-01,5.932960e+00,,NaN,9.375202e-01,5.920907e-02,3.119100e-03,1.457532e-04,5.699768e-06,1.791285e-07,4.426473e-09,8.448025e-11,1.217217e-12,1.278645e-14,9.233820e-17,4.099256e-19,9.154157e-22
-0.5000,8,7.400000e-01,9.997774e-01,5.907152e+00,,NaN,9.148743e-01,7.911616e-02,5.632868e-03,3.567695e-04,1.902049e-05,8.180463e-07,2.772457e-08,7.265790e-10,1.438383e-11,2.076367e-13,2.060218e-15,1.255460e-17,3.552030e-20
-0.5000,9,8.400000e-01,9.997469e-01,5.877855e+00,,NaN,8.901231e-01,9.995134e-02,9.127847e-03,7.434519e-04,5.125298e-05,2.860889e-06,1.261075e-07,4.303685e-09,1.110132e-10,2.088375e-12,2.699770e-14,2.142388e-16,7.864507e-19
-0.5000,10,9.400000e-01,9.997175e-01,5.845185e+00,,NaN,8.636495e-01,1.211776e-01,1.366834e-02,1.377672e-03,1.181543e-04,8.234840e-06,4.542255e-07,1.942260e-08,6.281490e-10,1.481799e-11,2.401596e-13,2.387921e-15,1.097241e-17
-0.5000,11,1.040000e+00,9.996889e-01,5.809216e+00,,8.233553e-03,8.357875e-01,1.423356e-01,1.927746e-02,2.335577e-03,2.419800e-04,2.044938e-05,1.370894e-06,7.134542e-08,2.810498e-09,8.077595e-11,1.594740e-12,1.930523e-14,1.079064e-16
-0.5000,12,1.140000e+00,9.996605e-01,5.770005e+00,,NaN,8.068470e-01,1.630187e-01,2.594005e-02,3.693382e-03,4.517950e-04,4.525037e-05,3.604257e-06,2.232265e-07,1.047458e-08,3.587396e-10,8.439284e-12,1.216792e-13,8.094207e-16
-0.5000,13,1.240000e+00,9.996320e-01,5.727614e+00,,NaN,7.771329e-01,1.828574e-01,3.360291e-02,5.523073e-03,7.832724e-04,9.130245e-05,8.486646e-06,6.144835e-07,3.374664e-08,1.353455e-09,3.728865e-11,6.294406e-13,4.898819e-15
-0.5000,14,1.340000e+00,9.996032e-01,5.682140e+00,,NaN,7.469597e-01,2.015129e-01,4.217160e-02,7.887284e-03,1.277826e-03,1.708188e-04,1.826113e-05,1.523732e-06,9.656070e-08,4.471954e-09,1.423021e-10,2.773887e-12,2.491679e-14
-0.5000,15,1.440000e+00,9.995735e-01,5.633742e+00,,NaN,7.166620e-01,2.186804e-01,5.150442e-02,1.083232e-02,1.980724e-03,2.999958e-04,3.644463e-05,3.463241e-06,2.503113e-07,1.323305e-08,4.808524e-10,1.070280e-11,1.097309e-13
-0.5000,16,1.540000e+00,9.995427e-01,5.582675e+00,,NaN,6.865937e-01,2.341061e-01,6.140818e-02,1.437912e-02,2.937724e-03,4.990284e-04,6.820231e-05,7.308073e-06,5.965597e-07,3.565508e-08,1.465441e-09,3.689493e-11,4.277366e-13
-0.5000,17,1.640000e+00,9.995104e-01,5.529291e+00,,NaN,6.571085e-01,2.476149e-01,7.164434e-02,1.851423e-02,4.190080e-03,7.914352e-04,1.206485e-04,1.445442e-05,1.321527e-06,8.856323e-08,4.083807e-09,1.153695e-10,1.500503e-12
-0.5000,18,1.740000e+00,9.994762e-01,5.474022e+00,,NaN,6.285247e-01,2.591356e-01,8.195060e-02,2.318511e-02,5.768592e-03,1.202498e-03,2.029542e-04,2.698775e-05,2.743641e-06,2.047019e-07,1.051602e-08,3.310563e-10,4.797595e-12
-0.5000,19,1.840000e+00,9.994399e-01,5.417316e+00,,NaN,6.010884e-01,2.687068e-01,9.207507e-02,2.830439e-02,7.688592e-03,1.756952e-03,3.261536e-04,4.782770e-05,5.372474e-06,4.434879e-07,2.522709e-08,8.796718e-10,1.412009e-11
-0.5000,20,1.940000e+00,9.994011e-01,5.359572e+00,,NaN,5.749502e-01,2.764559e-01,1.018103e-01,3.376422e-02,9.948375e-03,2.476606e-03,5.026563e-04,8.081802e-05,9.974584e-06,9.059897e-07,5.675591e-08,2.180448e-09,3.856252e-11
