frame,t,norm,peak_density,Fz,pop_c1,pop_c2,pop_c3,pop_c4,pop_c5,pop_c6,pop_c7,pop_c8,pop_c9,pop_c10,pop_c11,pop_c12,pop_c13
1,0.000000e+00,1.000000e+00,1.150572e-02,5.999994e+00,9.999942e-01,5.846254e-06,3.864994e-11,2.006876e-16,7.918706e-22,2.365987e-27,4.512817e-32,2.149803e-32,1.184433e-32,8.587666e-33,2.424865e-33,6.504003e-33,1.762309e-33
2,1.400000e-01,1.000000e+00,1.144033e-02,5.999795e+00,9.997947e-01,2.052601e-04,4.761321e-08,8.677825e-12,1.202316e-15,1.265474e-19,1.010114e-23,9.611005e-28,5.756366e-28,5.018606e-28,1.841719e-28,7.284440e-28,2.481535e-28
3,1.600000e-01,9.999914e-01,1.141899e-02,5.999544e+00,9.995957e-01,4.041190e-04,1.849051e-07,6.656817e-11,1.823398e-14,3.796239e-18,6.016998e-22,9.418976e-26,3.754896e-26,4.259536e-26,1.683759e-26,6.624877e-26,2.707585e-26
4,1.800000e-01,9.999828e-01,1.139421e-02,5.999188e+00,9.992917e-01,7.077474e-04,5.679461e-07,3.590564e-10,1.728395e-13,6.326812e-17,1.762911e-20,3.897717e-24,1.339081e-25,1.538362e-25,5.981428e-26,2.349399e-25,9.808833e-26
5,2.000000e-01,9.999743e-01,1.136577e-02,5.998730e+00,9.988852e-01,1.113394e-03,1.407234e-06,1.402861e-09,1.065557e-12,6.157068e-16,2.706707e-19,9.205067e-23,2.875637e-25,3.212045e-25,1.223968e-25,4.768019e-25,2.038269e-25
6,2.200000e-01,9.999659e-01,1.133346e-02,5.998172e+00,9.983791e-01,1.617887e-03,2.974781e-06,4.319073e-09,4.780922e-12,4.027324e-15,2.580721e-18,1.263030e-21,7.902924e-25,5.222645e-25,1.946182e-25,7.515926e-25,3.314195e-25
7,2.400000e-01,9.999576e-01,1.129708e-02,5.997517e+00,9.977767e-01,2.217684e-03,5.595771e-06,1.116243e-08,1.698672e-11,1.967772e-14,1.734095e-17,1.160398e-20,5.809297e-24,7.231341e-25,2.678051e-25,1.016234e-24,4.633727e-25
8,2.600000e-01,9.999493e-01,1.125647e-02,5.996768e+00,9.970814e-01,2.908916e-03,9.639641e-06,2.528472e-08,5.062583e-11,7.718235e-14,8.952031e-17,7.864443e-20,5.004204e-23,8.735891e-25,3.333164e-25,1.236018e-24,5.855073e-25
9,2.800000e-01,9.999411e-01,1.121153e-02,5.995928e+00,9.962970e-01,3.687445e-03,1.551091e-05,5.170909e-08,1.316674e-10,2.553451e-13,3.767505e-16,4.205511e-19,3.438970e-22,9.720378e-25,3.843334e-25,1.388891e-24,6.857864e-25
10,3.000000e-01,9.999330e-01,1.116214e-02,5.995002e+00,9.954273e-01,4.548915e-03,2.364006e-05,9.749390e-08,3.072934e-10,7.378423e-13,1.347904e-15,1.861788e-18,1.898196e-21,1.589365e-24,4.167068e-25,1.468918e-24,7.558742e-25
