branch,frame,t,norm,peak_density,Fz,Fx,Fy,Lz
baseline_no_K3,1,0.000000,1.000000e+00,,,,,
baseline_no_K3,2,0.140000,1.000000e+00,,,,,
baseline_no_K3,3,0.160000,9.999977e-01,,,,,
baseline_no_K3,4,0.180000,9.999953e-01,,,,,
baseline_no_K3,5,0.200000,9.999930e-01,,,,,
baseline_no_K3,6,0.220000,9.999907e-01,,,,,
baseline_no_K3,7,0.240000,9.999884e-01,,,,,
baseline_no_K3,8,0.260000,9.999861e-01,,,,,
baseline_no_K3,9,0.280000,9.999839e-01,,,,,
baseline_no_K3,10,0.300000,9.999816e-01,,,,,
baseline_no_K3,11,0.320000,9.999793e-01,,,,,
baseline_no_K3,12,0.340000,9.999771e-01,,,,,
baseline_no_K3,13,0.360000,9.999749e-01,,,,,
baseline_no_K3,14,0.380000,9.999727e-01,,,,,
baseline_no_K3,15,0.400000,9.999705e-01,,,,,
baseline_no_K3,16,0.420000,9.999683e-01,,,,,
baseline_no_K3,17,0.440000,9.999661e-01,,,,,
K3_dy_like,1,0.000000,1.000000e+00,,,,,
K3_dy_like,2,0.140000,1.000000e+00,,,,,
K3_dy_like,3,0.160000,9.999914e-01,,,,,
K3_dy_like,4,0.180000,9.999828e-01,,,,,
K3_dy_like,5,0.200000,9.999743e-01,,,,,
K3_dy_like,6,0.220000,9.999659e-01,,,,,
K3_dy_like,7,0.240000,9.999576e-01,,,,,
K3_dy_like,8,0.260000,9.999493e-01,,,,,
K3_dy_like,9,0.280000,9.999411e-01,,,,,
K3_dy_like,10,0.300000,9.999330e-01,,,,,
K3_dy_like,11,0.320000,9.999250e-01,,,,,
K3_dy_like,12,0.340000,9.999171e-01,,,,,
K3_dy_like,13,0.360000,9.999093e-01,,,,,
K3_dy_like,14,0.380000,9.999016e-01,,,,,
K3_dy_like,15,0.400000,9.998939e-01,,,,,
K3_dy_like,16,0.420000,9.998864e-01,,,,,
K3_dy_like,17,0.440000,9.998790e-01,,,,,
