t_ms,B_uG,Lz_m6,Lz_m5,Lz_m4,dphi_m5,dphi_m4,w_m5,w_m4,r_ring_m5,r_ring_m4
1.8086,63.0000,-0.000002,-0.978252,-1.919956,+3.140981,+0.105186,-1.000000,-2.000000,3.4232,3.6660
3.6172,63.0000,+0.000001,-0.978777,-1.925671,+3.140680,-0.029832,-1.000000,-2.000000,2.7379,2.7627
5.4257,63.0000,+0.000001,-0.980069,-1.933109,-3.141444,-2.968967,-1.000000,-2.000000,3.0468,3.3948
7.2343,63.0000,-0.000000,-0.978960,-1.928634,-3.140937,+0.000647,-1.000000,-2.000000,3.0755,3.4492
9.0429,63.0000,+0.000000,-0.977618,-1.926593,+3.138656,-0.148305,-1.000000,-2.000000,3.9271,3.1293
10.8515,63.0000,+0.000000,-0.979109,-1.918457,+3.141371,-0.058605,-1.000000,-2.000000,3.1502,2.7761
12.6601,63.0000,-0.000002,-0.978192,-1.915213,+3.140536,+0.847502,-1.000000,-2.000000,3.2543,2.9218
14.4686,63.0000,+0.000001,-0.977520,-1.882536,+3.140777,-0.092815,-1.000000,-2.000000,2.7429,3.2225
16.2772,63.0000,-0.000001,-0.974148,-1.902964,-3.112999,+0.176387,-1.000000,-2.000000,2.6535,3.0882
18.0858,63.0000,+0.000002,-0.968740,-1.865606,+3.138976,-2.323165,-1.000000,-2.000000,2.9150,3.5792
19.8944,63.0000,-0.000006,-0.969785,-1.874097,+3.050933,+1.041152,-1.000000,-2.000000,2.7142,2.4123
21.7029,63.0000,+0.000005,-0.971718,-1.893037,+3.101241,-1.588503,-1.000000,-2.000000,3.2703,2.4018
23.5115,63.0000,-0.000001,-0.971881,-1.908845,-3.137432,-2.392977,-1.000000,-2.000000,2.2276,3.5134
25.3201,63.0000,-0.000014,-0.968270,-1.919604,-3.140840,-2.893564,-1.000000,-2.000000,4.0053,3.0901
27.1287,63.0000,+0.000003,-0.964522,-1.897547,-2.965313,+1.791480,-1.000000,-2.000000,2.8727,3.5545
28.9373,63.0000,-0.000004,-0.973329,-1.902561,-3.131482,-0.919343,-1.000000,-2.000000,3.5378,3.2141
30.7458,63.0000,-0.000008,-0.969392,-1.870889,-3.109135,+0.063902,-1.000000,-2.000000,3.7439,3.1578
32.5544,63.0000,-0.000007,-0.960612,-1.798971,-3.134848,+1.509816,-1.000000,-2.000000,3.1826,2.9959
34.3630,63.0000,+0.000009,-0.959022,-1.825493,-3.108897,+0.010390,-1.000000,-2.000000,3.3581,2.9863
36.1716,63.0000,+0.000002,-0.968906,-1.838287,+2.995938,+3.016536,-1.000000,-2.000000,3.0742,3.0808
37.9802,63.0000,-0.000004,-0.972154,-1.862666,+3.104198,+0.828809,-1.000000,-2.000000,3.1885,4.0478
39.7887,63.0000,-0.000025,-0.972080,-1.873097,+3.090471,+2.481939,-1.000000,-2.000000,3.3653,3.1885
41.5973,63.0000,-0.000005,-0.968222,-1.859116,+3.081260,-1.963226,-1.000000,-2.000000,3.1664,2.7107
43.4059,63.0000,+0.000005,-0.962755,-1.849702,+3.103195,-0.265475,-1.000000,-2.000000,2.9096,2.6175
45.2145,63.0000,-0.000014,-0.967843,-1.845011,+3.094212,-0.053827,-1.000000,-2.000000,3.5123,3.4268
47.0231,63.0000,-0.000013,-0.963480,-1.820766,+3.130262,+1.689060,-1.000000,-2.000000,2.9930,3.0433
48.8316,63.0000,-0.000010,-0.971447,-1.811895,-3.138189,-2.176279,-1.000000,-2.000000,4.0999,2.9918
50.6402,63.0000,+0.000013,-0.958204,-1.855503,+2.983204,-0.081412,-1.000000,-2.000000,2.8960,3.2046
52.4488,63.0000,-0.000004,-0.969318,-1.863539,+3.021220,-0.477418,-1.000000,-2.000000,2.7861,2.6732
54.2574,63.0000,+0.000006,-0.970547,-1.874585,-2.911693,+1.868407,-1.000000,-2.000000,2.6531,2.8261
56.0659,63.0000,-0.000005,-0.968184,-1.879802,+3.133185,+2.791174,-1.000000,-2.000000,3.1189,3.7554
57.8745,63.0000,-0.000006,-0.964487,-1.843203,-3.121064,+0.915872,-1.000000,-2.000000,2.7463,3.2438
59.6831,63.0000,+0.000012,-0.964768,-1.837833,-2.320961,-2.207254,-1.000000,-2.000000,2.9618,3.0790
61.4917,63.0000,+0.000011,-0.968437,-1.781550,+3.100578,-0.416834,-1.000000,-2.000000,3.5562,3.0888
63.3003,63.0000,-0.000007,-0.966757,-1.851570,-3.120924,+1.175021,-1.000000,-2.000000,3.1161,3.1232
65.1088,63.0000,-0.000017,-0.962859,-1.881159,+3.105601,-2.277260,-1.000000,-2.000000,3.3412,3.4662
66.9174,63.0000,+0.000007,-0.968067,-1.886274,+3.121087,-0.609219,-1.000000,-2.000000,3.1525,2.6244
68.7260,63.0000,-0.000012,-0.969583,-1.866526,+2.874559,-2.902896,-1.000000,-2.000000,2.7398,3.3938
70.5346,63.0000,+0.000004,-0.971015,-1.857095,-3.137072,+0.093787,-1.000000,-2.000000,3.4519,2.4747
72.3432,63.0000,-0.000003,-0.958197,-1.837273,-3.125611,+1.883244,-1.000000,-2.000000,2.4594,3.4760
74.1517,63.0000,+0.000002,-0.965397,-1.741303,+1.483390,-0.130767,-1.000000,-2.000000,3.5526,2.8643
75.9603,63.0000,+0.000007,-0.967090,-1.832856,-2.992068,-0.530160,-1.000000,-2.000000,2.5661,2.1036
77.7689,63.0000,-0.000005,-0.969250,-1.853799,+3.014331,-1.354065,-1.000000,-2.000000,3.2152,3.4116
79.5775,63.0000,+0.000035,-0.966539,-1.855113,-3.138335,-1.814264,-1.000000,-2.000000,2.9754,3.6163
81.3860,63.0000,-0.000022,-0.961259,-1.837113,+2.873145,+0.253904,-1.000000,-2.000000,3.4531,3.1663
83.1946,63.0000,-0.000012,-0.959462,-1.836464,-3.099588,-1.308404,-1.000000,-2.000000,3.5262,2.3632
85.0032,63.0000,+0.000005,-0.956894,-1.769784,-3.053793,-0.812950,-1.000000,-2.000000,3.1375,2.5837
86.8118,63.0000,-0.000004,-0.952715,-1.748054,-3.052293,+0.266064,-1.000000,-2.000000,3.2262,2.7401
88.6204,63.0000,+0.000003,-0.957589,-1.806149,-3.099089,+1.025819,-1.000000,-2.000000,3.3734,3.1624
