t_ms,B_uG,Lz_m6,Lz_m5,Lz_m4,dphi_m5,dphi_m4,w_m5,w_m4,r_ring_m5,r_ring_m4
1.8086,9674.4558,-0.000000,-0.976207,-1.905575,+3.139161,+2.976761,-1.000000,-2.000000,3.5258,3.9028
3.6172,9348.9116,-0.000000,-0.976015,-1.904837,-3.141513,+0.564778,-1.000000,-2.000000,3.5110,3.8984
5.4257,9023.3674,+0.000000,-0.976012,-1.904933,+3.140106,-1.742569,-1.000000,-2.000000,3.5180,3.9138
7.2343,8697.8232,-0.000000,-0.975993,-1.904885,-3.141207,+2.563539,-1.000000,-2.000000,3.5080,3.9001
9.0429,8372.2790,+0.000000,-0.975853,-1.904238,+3.141079,+2.887952,-1.000000,-2.000000,3.4979,3.8865
10.8515,8046.7348,-0.000000,-0.975773,-1.903992,-3.141304,+1.646146,-1.000000,-2.000000,3.4879,3.8685
12.6601,7721.1906,-0.000000,-0.975775,-1.903999,+3.141412,-2.414568,-1.000000,-2.000000,3.4918,3.8859
14.4686,7395.6464,+0.000000,-0.975555,-1.903104,+3.141524,-2.094163,-1.000000,-2.000000,3.4748,3.8491
16.2772,7070.1023,+0.000000,-0.975578,-1.903246,-3.141241,-1.745846,-1.000000,-2.000000,3.4774,3.8451
18.0858,6744.5581,-0.000000,-0.975523,-1.903025,-3.141464,-0.795655,-1.000000,-2.000000,3.4584,3.8423
19.8944,6419.0139,+0.000000,-0.975465,-1.902879,-3.140807,+1.231015,-1.000000,-2.000000,3.4646,3.8422
21.7029,6093.4697,-0.000000,-0.975377,-1.902493,-3.141281,-1.867473,-1.000000,-2.000000,3.4434,3.8310
23.5115,5767.9255,+0.000000,-0.975410,-1.902696,-3.140784,-2.299952,-1.000000,-2.000000,3.4436,3.8247
25.3201,5442.3813,+0.000000,-0.975259,-1.902169,-3.141166,-0.076272,-1.000000,-2.000000,3.4365,3.8103
27.1287,5116.8371,-0.000000,-0.975279,-1.902234,-3.140673,+0.393756,-1.000000,-2.000000,3.4310,3.8047
28.9373,4791.2929,+0.000000,-0.975113,-1.901641,-3.141530,-2.526491,-1.000000,-2.000000,3.4181,3.7983
30.7458,4465.7487,+0.000000,-0.975124,-1.901717,-3.141127,+0.885002,-1.000000,-2.000000,3.4208,3.7904
32.5544,4140.2045,+0.000000,-0.974977,-1.901109,-3.141001,-2.646896,-1.000000,-2.000000,3.4048,3.7777
34.3630,3814.6603,+0.000000,-0.975027,-1.901364,-3.141368,+0.029148,-1.000000,-2.000000,3.4010,3.7644
36.1716,3489.1161,-0.000000,-0.974856,-1.900825,-3.141229,-2.712145,-1.000000,-2.000000,3.3969,3.7687
37.9802,3163.5719,+0.000000,-0.975006,-1.901507,-3.141254,-1.867057,-1.000000,-2.000000,3.3922,3.7602
39.7887,2838.0277,+0.000000,-0.974844,-1.901000,-3.141515,+2.275973,-1.000000,-2.000000,3.3767,3.7409
41.5973,2292.0415,+0.000000,-0.974920,-1.901585,-3.141549,-2.633944,-1.000000,-2.000000,3.3812,3.7479
43.4059,1813.9111,+0.000000,-0.974964,-1.902087,-3.141317,-2.058218,-1.000000,-2.000000,3.3672,3.7273
45.2145,1447.3711,-0.000000,-0.975088,-1.902919,+3.141137,-1.459903,-1.000000,-2.000000,3.3626,3.7210
47.0231,1192.4215,+0.000000,-0.974969,-1.902842,+3.141257,-2.752693,-1.000000,-2.000000,3.3542,3.7081
48.8316,1049.0622,+0.000000,-0.975203,-1.903959,-3.141079,+0.540312,-1.000000,-2.000000,3.3518,3.7047
50.6402,995.4293,-0.000000,-0.975063,-1.903497,+3.141336,+0.875768,-1.000000,-2.000000,3.3407,3.6907
52.4488,982.5172,+0.000000,-0.974981,-1.903196,-3.141241,-0.093261,-1.000000,-2.000000,3.3405,3.6894
54.2574,969.6051,+0.000000,-0.974965,-1.903148,+3.140773,+0.172144,-1.000000,-2.000000,3.3352,3.6846
56.0659,956.6930,+0.000000,-0.974967,-1.903190,+3.141283,-0.101184,-1.000000,-2.000000,3.3301,3.6788
57.8745,943.7808,+0.000000,-0.974736,-1.902330,+3.141340,-0.012098,-1.000000,-2.000000,3.3196,3.6638
59.6831,930.8687,-0.000000,-0.974799,-1.902511,+3.141586,+0.032991,-1.000000,-2.000000,3.3108,3.6593
61.4917,917.9566,+0.000000,-0.974770,-1.902507,-3.141123,-0.060931,-1.000000,-2.000000,3.3080,3.6370
63.3003,905.0445,+0.000000,-0.974682,-1.902314,+3.141502,+0.003039,-1.000000,-2.000000,3.3027,3.6518
65.1088,892.1323,+0.000000,-0.974608,-1.901925,+3.141476,+0.044786,-1.000000,-2.000000,3.2949,3.6304
66.9174,879.2202,+0.000000,-0.974599,-1.901895,+3.140819,-0.051459,-1.000000,-2.000000,3.2928,3.6411
68.7260,866.3081,-0.000000,-0.974509,-1.901645,+3.139802,+0.171902,-1.000000,-2.000000,3.2923,3.6413
70.5346,853.3960,+0.000000,-0.974405,-1.901085,+3.141380,-0.143129,-1.000000,-2.000000,3.2776,3.6086
72.3432,840.4839,-0.000000,-0.974443,-1.901415,-3.140720,-0.113322,-1.000000,-2.000000,3.2775,3.6143
74.1517,827.5717,-0.000000,-0.974295,-1.900832,-3.140930,+0.034882,-1.000000,-2.000000,3.2718,3.6143
75.9603,815.3330,+0.000000,-0.974336,-1.901090,-3.141190,-0.003909,-1.000000,-2.000000,3.2623,3.6010
77.7689,803.6892,-0.000000,-0.974224,-1.900511,+3.140722,+0.017998,-1.000000,-2.000000,3.2609,3.6065
79.5775,792.0453,+0.000000,-0.974247,-1.900800,-3.140986,-0.049601,-1.000000,-2.000000,3.2615,3.6050
81.3860,780.4015,-0.000000,-0.974174,-1.900498,-3.140233,+0.012372,-1.000000,-2.000000,3.2417,3.5675
