x,z,n,fz,localF
-5.87500,-2.87500,3.404259e-05,8.612830e-05,5.99992
-5.62500,-2.87500,3.277221e-05,8.019653e-05,5.99988
-5.37500,-2.87500,4.796954e-05,1.191704e-04,5.99985
-5.12500,-2.87500,3.431124e-05,8.802836e-05,5.99961
-4.87500,-2.87500,4.203440e-05,1.183357e-04,5.99966
-4.62500,-2.87500,7.214632e-05,2.034394e-04,5.99879
-4.37500,-2.87500,1.181614e-04,3.128729e-04,5.99995
-4.12500,-2.87500,5.487798e-05,1.302522e-04,5.99748
-3.87500,-2.87500,3.618464e-05,1.131575e-04,5.94988
-3.62500,-2.87500,6.708830e-05,2.118918e-04,5.99479
-3.37500,-2.87500,1.275922e-04,3.158123e-04,5.99986
-3.12500,-2.87500,3.090554e-04,6.854124e-04,5.99989
-2.87500,-2.87500,2.307561e-04,5.067049e-04,5.99975
-2.62500,-2.87500,2.368900e-04,5.490127e-04,5.99990
-2.37500,-2.87500,3.014557e-04,6.709596e-04,5.99998
-2.12500,-2.87500,1.072677e-04,2.043011e-04,5.99942
-1.87500,-2.87500,1.565880e-04,3.797232e-04,5.99994
-1.62500,-2.87500,5.213161e-04,1.404595e-03,5.99987
-1.37500,-2.87500,7.922223e-04,2.034152e-03,5.99983
-1.12500,-2.87500,7.308983e-04,1.814164e-03,5.99993
-0.87500,-2.87500,6.409115e-04,1.540661e-03,5.99996
-0.62500,-2.87500,7.037860e-04,1.565694e-03,5.99996
-0.37500,-2.87500,7.768481e-04,1.648188e-03,5.99996
-0.12500,-2.87500,5.435792e-04,1.216470e-03,5.99999
0.12500,-2.87500,5.473380e-04,1.426060e-03,5.99999
0.37500,-2.87500,7.764169e-04,2.110896e-03,5.99996
0.62500,-2.87500,6.978838e-04,1.828814e-03,5.99996
0.87500,-2.87500,6.445811e-04,1.576142e-03,5.99996
1.12500,-2.87500,7.309619e-04,1.727378e-03,5.99993
1.37500,-2.87500,8.043483e-04,1.828905e-03,5.99984
1.62500,-2.87500,5.363684e-04,1.152541e-03,5.99987
1.87500,-2.87500,1.603152e-04,3.899122e-04,5.99994
2.12500,-2.87500,1.110228e-04,3.260251e-04,5.99948
2.37500,-2.87500,2.998348e-04,7.858681e-04,5.99999
2.62500,-2.87500,2.288674e-04,5.766133e-04,5.99991
2.87500,-2.87500,2.294697e-04,6.036286e-04,5.99978
3.12500,-2.87500,3.104849e-04,8.141086e-04,5.99989
3.37500,-2.87500,1.299720e-04,3.069484e-04,5.99985
3.62500,-2.87500,7.074476e-05,1.160329e-04,5.99491
3.87500,-2.87500,3.949341e-05,6.353322e-05,5.95751
4.12500,-2.87500,5.899956e-05,1.428680e-04,5.99804
4.37500,-2.87500,1.224645e-04,2.680058e-04,5.99995
4.62500,-2.87500,7.585990e-05,1.522038e-04,5.99883
4.87500,-2.87500,4.365638e-05,8.751089e-05,5.99962
5.12500,-2.87500,3.443074e-05,7.816774e-05,5.99958
5.37500,-2.87500,5.084905e-05,1.203681e-04,5.99987
5.62500,-2.87500,3.331760e-05,7.903938e-05,5.99990
5.87500,-2.87500,3.319449e-05,7.623818e-05,5.99995
-5.87500,-2.62500,1.920046e-05,3.982163e-05,5.99969
-5.62500,-2.62500,3.171355e-05,6.715110e-05,5.99924
-5.37500,-2.62500,2.292052e-05,6.442533e-05,5.99978
-5.12500,-2.62500,3.780355e-05,1.119823e-04,5.98827
-4.87500,-2.62500,3.127605e-05,9.008295e-05,5.99554
-4.62500,-2.62500,3.515010e-05,1.106750e-04,5.99509
-4.37500,-2.62500,1.068273e-04,3.197167e-04,5.99841
-4.12500,-2.62500,1.214274e-04,3.192254e-04,5.99939
-3.87500,-2.62500,8.238274e-05,2.134558e-04,5.99084
-3.62500,-2.62500,1.229400e-04,3.572739e-04,5.99811
-3.37500,-2.62500,1.980736e-04,4.845273e-04,5.99980
-3.12500,-2.62500,3.528811e-04,7.766326e-04,5.99955
-2.87500,-2.62500,4.539640e-04,1.022105e-03,5.99980
-2.62500,-2.62500,6.610583e-04,1.560129e-03,5.99996
-2.37500,-2.62500,9.567911e-04,2.159100e-03,5.99996
-2.12500,-2.62500,6.017744e-04,1.237292e-03,5.99965
-1.87500,-2.62500,3.485259e-04,7.705867e-04,5.99989
-1.62500,-2.62500,7.261413e-04,1.819063e-03,5.99996
-1.37500,-2.62500,1.181581e-03,2.936093e-03,5.99988
-1.12500,-2.62500,1.121092e-03,2.783244e-03,5.99997
-0.87500,-2.62500,1.054760e-03,2.493420e-03,5.99998
-0.62500,-2.62500,1.306336e-03,2.846550e-03,5.99987
-0.37500,-2.62500,1.517513e-03,3.211466e-03,5.99970
-0.12500,-2.62500,1.431055e-03,3.201441e-03,5.99996
0.12500,-2.62500,1.436626e-03,3.749554e-03,5.99996
0.37500,-2.62500,1.528211e-03,4.149381e-03,5.99970
0.62500,-2.62500,1.305461e-03,3.470947e-03,5.99987
0.87500,-2.62500,1.058822e-03,2.631832e-03,5.99998
1.12500,-2.62500,1.135851e-03,2.681502e-03,5.99997
1.37500,-2.62500,1.194549e-03,2.808256e-03,5.99989
1.62500,-2.62500,7.350954e-04,1.713449e-03,5.99996
1.87500,-2.62500,3.523672e-04,9.258386e-04,5.99989
2.12500,-2.62500,6.045134e-04,1.679864e-03,5.99967
2.37500,-2.62500,9.579641e-04,2.476138e-03,5.99996
2.62500,-2.62500,6.578348e-04,1.629834e-03,5.99996
2.87500,-2.62500,4.518711e-04,1.163279e-03,5.99981
3.12500,-2.62500,3.466257e-04,9.105495e-04,5.99957
3.37500,-2.62500,1.933116e-04,4.619541e-04,5.99979
3.62500,-2.62500,1.220359e-04,2.311183e-04,5.99786
3.87500,-2.62500,8.391187e-05,1.840202e-04,5.99059
4.12500,-2.62500,1.259582e-04,2.765255e-04,5.99948
4.37500,-2.62500,1.107666e-04,2.029513e-04,5.99848
4.62500,-2.62500,3.682865e-05,6.077915e-05,5.99527
4.87500,-2.62500,3.178908e-05,5.917073e-05,5.99529
5.12500,-2.62500,3.585536e-05,6.276583e-05,5.98648
5.37500,-2.62500,2.255903e-05,4.516601e-05,5.99986
5.62500,-2.62500,3.118849e-05,8.374097e-05,5.99924
