x,z,n,fz,localF
-5.87500,-2.87500,3.389665e-04,7.706916e-04,3.92451
-5.62500,-2.87500,4.896186e-04,-6.676449e-04,4.91483
-5.37500,-2.87500,2.885007e-04,2.150282e-04,4.26363
-5.12500,-2.87500,2.306615e-04,1.660077e-04,4.10444
-4.87500,-2.87500,3.356937e-04,8.335807e-04,4.82069
-4.62500,-2.87500,3.939303e-04,4.603451e-04,4.41469
-4.37500,-2.87500,6.047387e-04,-7.639163e-04,4.93390
-4.12500,-2.87500,7.980548e-04,-1.453845e-03,4.63065
-3.87500,-2.87500,7.254064e-04,-3.461127e-04,4.21778
-3.62500,-2.87500,6.778181e-04,3.706645e-04,4.15363
-3.37500,-2.87500,2.951913e-04,6.986651e-04,3.80881
-3.12500,-2.87500,5.527924e-04,-5.404125e-04,4.03579
-2.87500,-2.87500,6.339680e-04,2.619327e-04,4.28952
-2.62500,-2.87500,3.667126e-04,1.026284e-03,4.38739
-2.37500,-2.87500,4.401552e-04,3.323864e-04,5.02136
-2.12500,-2.87500,7.541122e-04,-3.475793e-04,5.05372
-1.87500,-2.87500,7.025964e-04,4.876140e-04,4.94225
-1.62500,-2.87500,6.063981e-04,-3.093157e-04,4.59676
-1.37500,-2.87500,2.999773e-04,-2.437225e-04,4.23097
-1.12500,-2.87500,6.167802e-04,1.395778e-03,3.49326
-0.87500,-2.87500,7.194038e-04,-8.527295e-04,4.66642
-0.62500,-2.87500,1.036606e-03,-1.469567e-03,5.34681
-0.37500,-2.87500,8.891318e-04,-3.872663e-04,4.93209
-0.12500,-2.87500,9.463414e-04,1.010746e-03,5.19689
0.12500,-2.87500,9.931781e-04,2.625931e-03,4.55114
0.37500,-2.87500,6.488892e-04,9.504492e-04,3.88422
0.62500,-2.87500,4.151990e-04,-2.666014e-04,4.03140
0.87500,-2.87500,8.499593e-04,8.948406e-05,4.41075
1.12500,-2.87500,6.518446e-04,8.343643e-04,3.47853
1.37500,-2.87500,6.093077e-04,1.351127e-03,4.23138
1.62500,-2.87500,5.828090e-04,2.634045e-04,4.51205
1.87500,-2.87500,4.115926e-04,1.170378e-03,4.25221
2.12500,-2.87500,5.200974e-04,8.618132e-04,3.92486
2.37500,-2.87500,3.297744e-04,-2.519732e-04,3.65122
2.62500,-2.87500,5.938247e-04,8.184746e-04,3.60862
2.87500,-2.87500,4.457600e-04,2.973982e-05,4.58450
3.12500,-2.87500,2.959983e-04,2.112374e-04,3.43693
3.37500,-2.87500,2.533736e-04,5.271054e-04,2.94200
3.62500,-2.87500,4.320807e-04,-4.502897e-04,3.72688
3.87500,-2.87500,4.207299e-04,3.697336e-04,4.09780
4.12500,-2.87500,4.734886e-04,7.272084e-04,4.73996
4.37500,-2.87500,2.863438e-04,3.770744e-04,3.76151
4.62500,-2.87500,4.905803e-04,1.479378e-04,4.51169
4.87500,-2.87500,1.024039e-03,9.431713e-04,4.55440
5.12500,-2.87500,4.470223e-04,6.168273e-04,3.77810
5.37500,-2.87500,2.513482e-04,-4.210533e-05,3.75748
5.62500,-2.87500,6.218127e-04,8.426594e-04,5.19158
5.87500,-2.87500,2.391227e-04,7.800859e-05,4.05620
-5.87500,-2.62500,3.912093e-04,3.872365e-04,2.96237
-5.62500,-2.62500,5.232567e-04,-2.995725e-04,4.07705
-5.37500,-2.62500,3.780399e-04,4.086391e-04,4.10119
-5.12500,-2.62500,5.579411e-04,-2.597815e-04,4.65971
-4.87500,-2.62500,4.238888e-04,5.323151e-05,4.76609
