z,Fz_col,N_col,Fmag_col,localF_slice
-2.87500,5.246251e-02,2.168917e-02,1.301147e-01,5.99907
-2.62500,8.065020e-02,3.334515e-02,2.000417e-01,5.99913
-2.37500,1.312378e-01,5.422918e-02,3.253413e-01,5.99938
-2.12500,1.996028e-01,8.245434e-02,4.946914e-01,5.99958
-1.87500,2.759675e-01,1.139555e-01,6.836996e-01,5.99971
-1.62500,3.579110e-01,1.477881e-01,8.866892e-01,5.99973
-1.37500,4.529906e-01,1.870789e-01,1.122442e+00,5.99983
-1.12500,5.528864e-01,2.283606e-01,1.370140e+00,5.99990
-0.87500,6.288369e-01,2.597005e-01,1.558181e+00,5.99992
-0.62500,6.732745e-01,2.779820e-01,1.667873e+00,5.99993
-0.37500,7.084391e-01,2.925185e-01,1.755091e+00,5.99993
-0.12500,7.286670e-01,3.009025e-01,1.805388e+00,5.99991
0.12500,7.287727e-01,3.009009e-01,1.805379e+00,5.99991
0.37500,7.084515e-01,2.925149e-01,1.755069e+00,5.99993
0.62500,6.732649e-01,2.779807e-01,1.667865e+00,5.99993
0.87500,6.290498e-01,2.596990e-01,1.558172e+00,5.99992
1.12500,5.531307e-01,2.283590e-01,1.370130e+00,5.99990
1.37500,4.530504e-01,1.870783e-01,1.122439e+00,5.99983
1.62500,3.578082e-01,1.477886e-01,8.866920e-01,5.99973
1.87500,2.758589e-01,1.139566e-01,6.837057e-01,5.99971
2.12500,1.996081e-01,8.245465e-02,4.946932e-01,5.99958
2.37500,1.312475e-01,5.422884e-02,3.253392e-01,5.99938
2.62500,8.070035e-02,3.334520e-02,2.000419e-01,5.99912
2.87500,5.248608e-02,2.168894e-02,1.301133e-01,5.99906
