z,Fz_col,N_col,Fmag_col,localF_slice
-2.87500,5.293786e-02,6.072026e-02,2.558498e-01,4.21358
-2.62500,5.894988e-02,7.066198e-02,3.037600e-01,4.29878
-2.37500,7.161131e-02,8.015324e-02,3.479005e-01,4.34044
-2.12500,8.694078e-02,9.249310e-02,4.137667e-01,4.47349
-1.87500,9.115286e-02,1.095646e-01,5.051989e-01,4.61097
-1.62500,1.072394e-01,1.282540e-01,6.074026e-01,4.73593
-1.37500,1.085550e-01,1.518238e-01,7.436219e-01,4.89793
-1.12500,1.413757e-01,1.868719e-01,9.473836e-01,5.06969
-0.87500,1.718010e-01,2.219261e-01,1.150801e+00,5.18551
-0.62500,1.967809e-01,2.664203e-01,1.411837e+00,5.29928
-0.37500,1.993460e-01,3.026697e-01,1.630042e+00,5.38555
-0.12500,2.009980e-01,3.279290e-01,1.777651e+00,5.42084
0.12500,1.988287e-01,3.273201e-01,1.774583e+00,5.42155
0.37500,1.967094e-01,3.021088e-01,1.626708e+00,5.38451
0.62500,1.980388e-01,2.658440e-01,1.408207e+00,5.29712
0.87500,1.726263e-01,2.221622e-01,1.152119e+00,5.18594
1.12500,1.422592e-01,1.875997e-01,9.515345e-01,5.07215
1.37500,1.099537e-01,1.522030e-01,7.459783e-01,4.90121
1.62500,1.074094e-01,1.285948e-01,6.094517e-01,4.73932
1.87500,9.121986e-02,1.096874e-01,5.055145e-01,4.60868
2.12500,8.638524e-02,9.291043e-02,4.157413e-01,4.47465
2.37500,7.127804e-02,8.030499e-02,3.491530e-01,4.34784
2.62500,5.951576e-02,7.091763e-02,3.051652e-01,4.30309
2.87500,5.304305e-02,6.085900e-02,2.563601e-01,4.21236
