x,z,n,fz,localF
-5.87500,-2.87500,2.737932e-04,2.633024e-05,0.48740
-5.62500,-2.87500,2.465062e-04,-3.066943e-04,1.30750
-5.37500,-2.87500,4.114228e-04,3.495698e-05,1.42136
-5.12500,-2.87500,2.641453e-04,-1.225697e-04,0.95998
-4.87500,-2.87500,2.988049e-04,-5.466806e-05,0.81359
-4.62500,-2.87500,1.621134e-04,-1.242594e-04,1.61569
-4.37500,-2.87500,2.484926e-04,5.509108e-05,1.69268
-4.12500,-2.87500,2.631226e-04,-2.489066e-04,1.23476
-3.87500,-2.87500,2.678629e-04,1.650552e-04,1.44479
-3.62500,-2.87500,1.579055e-04,1.154618e-04,1.95415
-3.37500,-2.87500,2.772923e-04,7.245723e-04,3.40654
-3.12500,-2.87500,4.212996e-04,2.304946e-04,1.07119
-2.87500,-2.87500,3.568324e-04,-1.729500e-05,0.97272
-2.62500,-2.87500,5.324227e-04,7.555823e-04,2.14919
-2.37500,-2.87500,3.796731e-04,3.573309e-04,2.22548
-2.12500,-2.87500,2.441597e-04,1.949979e-04,1.29880
-1.87500,-2.87500,3.742998e-04,3.343783e-04,1.05499
-1.62500,-2.87500,2.993340e-04,5.602167e-04,2.07223
-1.37500,-2.87500,3.604501e-04,3.859747e-06,1.86996
-1.12500,-2.87500,4.470639e-04,-6.821554e-04,1.62474
-0.87500,-2.87500,5.331148e-04,-6.447905e-04,1.68667
-0.62500,-2.87500,4.972374e-04,-7.704974e-04,1.78365
-0.37500,-2.87500,3.588428e-04,-8.602781e-05,2.05988
-0.12500,-2.87500,5.307377e-04,-2.492278e-04,1.72285
0.12500,-2.87500,4.213653e-04,-9.408173e-05,0.78014
0.37500,-2.87500,5.737544e-04,6.069195e-04,1.13155
0.62500,-2.87500,4.325512e-04,-2.532765e-05,0.76930
0.87500,-2.87500,3.997001e-04,-4.573019e-04,2.49976
1.12500,-2.87500,5.092519e-04,-6.394596e-04,2.40450
1.37500,-2.87500,5.431540e-04,-4.416485e-04,1.22990
1.62500,-2.87500,6.172899e-04,-2.673111e-04,1.44449
1.87500,-2.87500,5.945152e-04,-6.889936e-04,1.66285
2.12500,-2.87500,3.652118e-04,9.118576e-05,2.31064
2.37500,-2.87500,6.001932e-04,1.917058e-06,2.85703
2.62500,-2.87500,3.714299e-04,-3.168266e-04,1.37831
2.87500,-2.87500,1.670097e-04,4.266474e-05,0.37776
3.12500,-2.87500,3.309575e-04,-5.352721e-04,1.73124
3.37500,-2.87500,3.097617e-04,-1.591189e-06,0.29902
3.62500,-2.87500,2.145843e-04,1.709912e-04,2.41448
3.87500,-2.87500,3.330767e-04,-1.845774e-04,1.46655
4.12500,-2.87500,2.464901e-04,4.939690e-05,0.66404
4.37500,-2.87500,2.984890e-04,-3.328390e-04,1.69571
4.62500,-2.87500,2.191376e-04,-2.093809e-04,2.26518
4.87500,-2.87500,2.068570e-04,8.785013e-05,1.37117
5.12500,-2.87500,2.373599e-04,-6.399736e-05,2.56509
5.37500,-2.87500,2.219318e-04,-1.775847e-04,1.33392
5.62500,-2.87500,2.977914e-04,5.639207e-04,2.42926
5.87500,-2.87500,3.216645e-04,-1.099957e-04,1.16440
-5.87500,-2.62500,2.663119e-04,1.923700e-04,2.67053
-5.62500,-2.62500,2.236411e-04,-1.936614e-04,1.18452
-5.37500,-2.62500,2.510043e-04,2.725693e-04,1.42872
-5.12500,-2.62500,2.961745e-04,-8.706008e-05,1.17012
-4.87500,-2.62500,2.021673e-04,1.688652e-06,1.29144
-4.62500,-2.62500,1.865368e-04,3.664575e-05,1.11643
-4.37500,-2.62500,1.900753e-04,2.037888e-04,1.69841
-4.12500,-2.62500,2.683626e-04,3.460011e-04,1.42404
-3.87500,-2.62500,4.726871e-04,7.200271e-05,1.85142
-3.62500,-2.62500,4.760988e-04,-2.938751e-04,1.47422
-3.37500,-2.62500,1.710197e-04,3.371041e-05,1.21034
-3.12500,-2.62500,3.516340e-04,-2.253353e-04,1.12344
-2.87500,-2.62500,4.430946e-04,-4.429706e-04,1.87257
-2.62500,-2.62500,3.217744e-04,-3.699521e-04,1.76644
-2.37500,-2.62500,4.501608e-04,1.402219e-04,0.66096
-2.12500,-2.62500,3.600164e-04,-4.910604e-04,1.91407
-1.87500,-2.62500,2.686847e-04,1.623076e-05,2.40991
-1.62500,-2.62500,3.664279e-04,-8.346081e-04,2.53105
-1.37500,-2.62500,3.513816e-04,-1.483128e-04,1.47730
-1.12500,-2.62500,6.196765e-04,-3.677982e-04,2.31170
-0.87500,-2.62500,9.075811e-04,-6.644443e-04,1.45239
-0.62500,-2.62500,4.231523e-04,-1.267522e-04,1.62728
-0.37500,-2.62500,4.097671e-04,-2.507024e-04,0.70866
-0.12500,-2.62500,3.594427e-04,3.915638e-04,2.08470
0.12500,-2.62500,7.123551e-04,1.075603e-03,2.25743
0.37500,-2.62500,9.182590e-04,1.260970e-03,2.43482
0.62500,-2.62500,6.973769e-04,-8.641023e-04,2.15147
0.87500,-2.62500,7.461578e-04,-4.794213e-04,3.20627
1.12500,-2.62500,4.932014e-04,-6.822519e-04,1.64664
1.37500,-2.62500,6.639005e-04,-9.282521e-04,1.50925
1.62500,-2.62500,7.769360e-04,-5.069933e-04,1.04039
1.87500,-2.62500,7.506720e-04,-6.450773e-04,0.89761
2.12500,-2.62500,5.747455e-04,3.058697e-04,2.11747
2.37500,-2.62500,5.574728e-04,-7.372399e-05,1.23498
2.62500,-2.62500,6.086220e-04,-1.213942e-03,2.53124
2.87500,-2.62500,3.926778e-04,2.801652e-04,0.86828
3.12500,-2.62500,2.969776e-04,-3.043411e-04,1.49807
3.37500,-2.62500,4.847867e-04,-9.197287e-05,0.94329
3.62500,-2.62500,5.450669e-04,-9.839631e-04,2.43204
3.87500,-2.62500,3.449622e-04,-2.643037e-04,1.51541
4.12500,-2.62500,3.834918e-04,1.323522e-04,0.83230
4.37500,-2.62500,2.290728e-04,-3.780833e-04,2.28212
4.62500,-2.62500,2.514414e-04,7.536169e-05,0.89696
4.87500,-2.62500,3.534333e-04,-5.330586e-04,2.31193
5.12500,-2.62500,2.455141e-04,-1.233611e-04,1.32060
5.37500,-2.62500,2.451805e-04,-1.915118e-04,1.72103
5.62500,-2.62500,3.178237e-04,1.896650e-06,1.43412
5.87500,-2.62500,3.911426e-04,2.393149e-05,0.57756
-5.87500,-2.37500,1.970270e-04,2.787908e-04,2.00803
-5.62500,-2.37500,3.944289e-04,-3.082692e-04,2.19078
-5.37500,-2.37500,3.006388e-04,1.618754e-04,2.53994
-5.12500,-2.37500,2.367482e-04,-9.340538e-05,2.09382
-4.87500,-2.37500,2.591533e-04,6.540138e-05,0.89968
-4.62500,-2.37500,2.848865e-04,1.627487e-04,1.91928
-4.37500,-2.37500,5.147516e-04,-1.050827e-04,2.10833
-4.12500,-2.37500,5.709724e-04,-8.570167e-04,2.80955
-3.87500,-2.37500,3.361932e-04,-2.972421e-04,1.73056
-3.62500,-2.37500,5.003578e-04,-8.404771e-04,3.42850
-3.37500,-2.37500,4.320692e-04,-2.552870e-04,1.31777
-3.12500,-2.37500,4.672038e-04,5.030797e-04,1.41620
-2.87500,-2.37500,5.242296e-04,-3.446825e-04,1.23949
-2.62500,-2.37500,5.191673e-04,2.636167e-04,0.97179
-2.37500,-2.37500,6.536688e-04,-9.175516e-04,1.55006
-2.12500,-2.37500,7.229867e-04,-3.507943e-04,1.46188
-1.87500,-2.37500,8.162532e-04,-8.954377e-04,1.98338
-1.62500,-2.37500,6.501703e-04,-8.777409e-04,1.94213
-1.37500,-2.37500,9.229709e-04,-4.081953e-04,2.64348
-1.12500,-2.37500,1.470160e-03,-3.220895e-03,2.54456
-0.87500,-2.37500,1.143046e-03,-2.031687e-03,2.24951
-0.62500,-2.37500,4.275709e-04,-1.169133e-03,3.32833
-0.37500,-2.37500,5.236367e-04,-5.014178e-04,2.48301
-0.12500,-2.37500,7.413947e-04,-7.315722e-04,1.57646
0.12500,-2.37500,1.040235e-03,-5.484177e-04,2.40902
0.37500,-2.37500,1.072850e-03,-3.325145e-04,2.64738
0.62500,-2.37500,1.370356e-03,-7.037093e-04,3.48864
0.87500,-2.37500,1.443400e-03,-9.028627e-04,4.17189
1.12500,-2.37500,1.186439e-03,3.731500e-04,2.27568
1.37500,-2.37500,6.620434e-04,-1.017190e-03,2.50158
1.62500,-2.37500,6.457101e-04,-1.283654e-03,2.59985
1.87500,-2.37500,6.811449e-04,-1.244676e-03,2.05032
2.12500,-2.37500,8.936015e-04,-5.353157e-04,0.81656
2.37500,-2.37500,8.200745e-04,-5.388043e-04,0.84512
2.62500,-2.37500,7.877267e-04,-4.041473e-04,0.68783
2.87500,-2.37500,5.778105e-04,-4.528535e-05,1.05253
3.12500,-2.37500,2.446541e-04,1.516008e-05,1.63229
3.37500,-2.37500,3.026699e-04,6.702875e-05,0.28051
3.62500,-2.37500,4.720355e-04,2.270036e-04,1.04406
3.87500,-2.37500,4.854677e-04,-2.086130e-04,0.49422
4.12500,-2.37500,4.031633e-04,-8.081002e-04,2.44609
4.37500,-2.37500,2.686307e-04,-4.191158e-04,1.58184
4.62500,-2.37500,5.187572e-04,-7.240525e-04,1.44573
